parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.011,0.005,0.003,0.019,1,7819
"alpha[2,1]",0.008,0.004,0.001,0.015,1,6539
"alpha[3,1]",-0.001,0.004,-0.008,0.006,1,6574
"alpha[1,2]",0.079,0.048,-0,0.158,1,7421
"alpha[2,2]",-0.122,0.065,-0.23,-0.017,1,6178
"alpha[3,2]",0.094,0.067,-0.013,0.204,1,6869
"alpha[1,3]",-0.044,0.011,-0.061,-0.026,1,6704
"alpha[2,3]",-0.051,0.008,-0.065,-0.038,1,5482
"alpha[3,3]",-0.07,0.013,-0.09,-0.049,1.001,5809
"alpha[1,4]",0.166,0.106,-0.007,0.341,1,6620
"alpha[2,4]",0.223,0.124,0.02,0.428,1,4820
"alpha[3,4]",0.206,0.192,-0.106,0.523,1.001,4935
"mu_beta[1,1]",-0.855,0.039,-0.92,-0.789,1.001,7619
"mu_beta[2,1]",0.038,0.052,-0.047,0.123,1.001,6567
"mu_beta[3,1]",0.676,0.047,0.599,0.753,1,6669
"mu_beta[1,2]",0.018,0.017,-0.01,0.047,1,8445
"mu_beta[2,2]",0.149,0.019,0.118,0.181,1,8056
"mu_beta[3,2]",0.308,0.032,0.255,0.361,1,7674
"mu_beta[1,3]",7.352,0.079,7.222,7.48,1,6538
"mu_beta[2,3]",6.488,0.101,6.324,6.655,1.001,5007
"mu_beta[3,3]",5.742,0.136,5.516,5.962,1,5585
"mu_beta[1,4]",-0.046,0.011,-0.064,-0.028,1.001,7975
"mu_beta[2,4]",-0.142,0.01,-0.158,-0.126,1,7802
"mu_beta[3,4]",-0.211,0.017,-0.238,-0.183,1,9066
"sigma_beta[1,1]",0.24,0.032,0.187,0.294,1.001,5614
"sigma_beta[2,1]",0.452,0.028,0.408,0.498,1,6436
"sigma_beta[3,1]",0.316,0.032,0.265,0.37,1,5799
"sigma_beta[1,2]",0.055,0.029,0.008,0.104,1.004,1506
"sigma_beta[2,2]",0.207,0.022,0.172,0.243,1,3709
"sigma_beta[3,2]",0.264,0.034,0.209,0.322,1,4156
"sigma_beta[1,3]",0.731,0.039,0.668,0.797,1.001,5609
"sigma_beta[2,3]",1.078,0.043,1.008,1.151,1,5281
"sigma_beta[3,3]",1.151,0.07,1.042,1.27,1,4791
"sigma_beta[1,4]",0.093,0.013,0.072,0.113,1,5737
"sigma_beta[2,4]",0.092,0.011,0.074,0.111,1.001,6166
"sigma_beta[3,4]",0.045,0.028,0.005,0.096,1,4762
"sigma_epsilon[1,1]",0.441,0.014,0.418,0.465,1.001,5935
"sigma_epsilon[2,1]",0.408,0.01,0.391,0.426,1,5442
"sigma_epsilon[3,1]",0.274,0.015,0.25,0.299,1,3689
"sigma_epsilon[1,2]",0.206,0.008,0.194,0.219,1,6466
"sigma_epsilon[2,2]",0.211,0.005,0.203,0.22,1,6894
"sigma_epsilon[3,2]",0.211,0.01,0.195,0.227,1,5820
"L_Rho_beta[1,2,1]",0.027,0.356,-0.528,0.636,1.001,5893
"L_Rho_beta[2,2,1]",0.493,0.129,0.285,0.704,1.001,3099
"L_Rho_beta[3,2,1]",0.448,0.166,0.176,0.725,1,3210
"L_Rho_beta[1,3,1]",0.186,0.118,-0.009,0.378,1.007,1020
"L_Rho_beta[2,3,1]",-0.281,0.065,-0.388,-0.172,1.001,2396
"L_Rho_beta[3,3,1]",-0.502,0.088,-0.638,-0.35,1.003,1811
"L_Rho_beta[1,4,1]",0.132,0.196,-0.186,0.454,1.001,2205
"L_Rho_beta[2,4,1]",-0.317,0.12,-0.513,-0.112,1,5326
"L_Rho_beta[3,4,1]",-0.315,0.348,-0.807,0.334,1,7521
"L_Rho_beta[1,2,2]",0.929,0.096,0.734,1,1.001,6306
"L_Rho_beta[2,2,2]",0.857,0.079,0.71,0.959,1.001,3099
"L_Rho_beta[3,2,2]",0.873,0.095,0.688,0.984,1,3217
"L_Rho_beta[1,3,2]",-0.223,0.309,-0.739,0.285,1.02,225
"L_Rho_beta[2,3,2]",-0.375,0.109,-0.554,-0.199,1.004,714
"L_Rho_beta[3,3,2]",-0.018,0.158,-0.265,0.253,1.002,1071
"L_Rho_beta[1,4,2]",-0.474,0.335,-0.89,0.203,1.003,869
"L_Rho_beta[2,4,2]",-0.783,0.124,-0.946,-0.546,1,2923
"L_Rho_beta[3,4,2]",-0.044,0.389,-0.682,0.616,1.001,7077
"L_Rho_beta[1,3,3]",0.889,0.129,0.605,0.995,1.015,329
"L_Rho_beta[2,3,3]",0.873,0.044,0.791,0.932,1.002,888
"L_Rho_beta[3,3,3]",0.844,0.056,0.745,0.922,1.002,1694
"L_Rho_beta[1,4,3]",0.295,0.252,-0.154,0.68,1.004,686
"L_Rho_beta[2,4,3]",-0.036,0.128,-0.249,0.173,1.001,1705
"L_Rho_beta[3,4,3]",0.198,0.342,-0.41,0.735,1,7778
"L_Rho_beta[1,4,4]",0.64,0.215,0.22,0.911,1.001,1873
"L_Rho_beta[2,4,4]",0.455,0.178,0.145,0.73,1,3036
"L_Rho_beta[3,4,4]",0.647,0.227,0.215,0.951,1,5914
"L_Rho_epsilon[1,2,1]",-0.008,0.05,-0.091,0.073,1.001,4766
"L_Rho_epsilon[2,2,1]",0.019,0.036,-0.041,0.078,1,6774
"L_Rho_epsilon[3,2,1]",-0.087,0.07,-0.2,0.028,1,6858
"L_Rho_epsilon[1,2,2]",0.999,0.002,0.995,1,1.001,7538
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1,7093
"L_Rho_epsilon[3,2,2]",0.994,0.007,0.98,1,1,6980
"z[1,1]",0.266,0.649,-0.794,1.34,1,8694
"z[2,1]",0.287,0.646,-0.775,1.347,1,8660
"z[3,1]",-0.158,0.731,-1.371,1.043,1,8370
