parameter,mean,sd,q05,q95,rhat,ess
"z[4,1]",0.318,0.718,-0.873,1.502,1,7000
"z[5,1]",-0.598,0.645,-1.662,0.476,1,8340
"z[6,1]",-0.314,0.646,-1.378,0.756,1,8328
"z[7,1]",-1.081,0.74,-2.309,0.137,1,8595
"z[8,1]",-0.225,0.788,-1.516,1.072,1,8679
"z[9,1]",0.756,0.785,-0.557,2.011,1.001,3723
"z[10,1]",-1.055,0.668,-2.153,0.038,1.001,8161
"z[11,1]",0.436,0.721,-0.77,1.617,1.001,5511
"z[12,1]",-0.678,0.703,-1.837,0.455,1,6696
"z[13,1]",1.031,0.73,-0.171,2.225,1,8647
"z[14,1]",-0.498,0.69,-1.629,0.628,1,7880
"z[15,1]",0.088,0.672,-1.015,1.184,1.001,8465
"z[16,1]",0.612,0.686,-0.51,1.725,1.001,8668
"z[17,1]",1.277,0.802,-0.013,2.604,1,7067
"z[18,1]",-0.093,0.745,-1.314,1.128,1,6884
"z[19,1]",0.092,0.865,-1.352,1.505,1,2196
"z[20,1]",0.616,0.716,-0.562,1.806,1,8665
"z[21,1]",0.157,0.787,-1.142,1.435,1.001,8813
"z[22,1]",-0.932,0.726,-2.144,0.26,1,8720
"z[23,1]",-0.175,0.724,-1.349,1.017,1.001,8746
"z[24,1]",-0.186,0.644,-1.246,0.875,1,8594
"z[25,1]",-0.936,0.682,-2.047,0.201,1,8213
"z[26,1]",-0.581,0.716,-1.755,0.602,1,8929
"z[27,1]",0.898,0.698,-0.243,2.032,1,6730
"z[28,1]",-0.188,0.685,-1.296,0.949,1,8647
"z[29,1]",0.852,0.8,-0.477,2.155,1,8535
"z[30,1]",0.973,0.745,-0.261,2.208,1,6755
"z[31,1]",-0.063,0.648,-1.122,1.011,1.001,6823
"z[32,1]",1.703,0.708,0.533,2.876,1,7282
"z[33,1]",-0.729,0.676,-1.841,0.375,1,8466
"z[34,1]",1.445,0.775,0.188,2.716,1,8797
"z[35,1]",-0.085,0.642,-1.145,0.963,1,8346
"z[36,1]",0.423,0.804,-0.892,1.75,1,7424
"z[37,1]",0.098,0.693,-1.033,1.234,1,8369
"z[38,1]",0.348,0.738,-0.86,1.575,1,6271
"z[39,1]",-0.21,0.692,-1.345,0.925,1,8265
"z[40,1]",0.424,0.677,-0.702,1.54,1,8352
"z[41,1]",-0.337,0.718,-1.492,0.846,1,8338
"z[42,1]",-0.882,0.67,-1.969,0.231,1.001,5336
"z[43,1]",-0.177,0.703,-1.323,0.975,1,7410
"z[44,1]",-0.064,0.727,-1.261,1.121,1.001,8248
"z[45,1]",-0.293,0.782,-1.579,0.991,1,8717
"z[46,1]",0.006,0.658,-1.074,1.095,1,5948
"z[47,1]",1.111,0.701,-0.024,2.281,1,7858
"z[48,1]",-0.361,0.73,-1.569,0.836,1,8704
"z[49,1]",0.101,0.664,-0.988,1.202,1.001,6609
"z[50,1]",-0.491,0.693,-1.636,0.657,1,7732
"z[51,1]",-0.845,0.666,-1.954,0.246,1,6266
"z[52,1]",-1.105,0.676,-2.208,0.002,1,8975
"z[53,1]",-0.93,0.635,-1.995,0.113,1,8742
"z[54,1]",-0.542,0.694,-1.682,0.585,1,7889
"z[55,1]",-1.129,0.67,-2.218,-0.034,1,8194
"z[56,1]",-0.019,0.672,-1.13,1.095,1.001,8161
"z[57,1]",-0.449,0.698,-1.592,0.718,1,6395
"z[58,1]",-0.66,0.642,-1.712,0.396,1,8444
"z[59,1]",-0.402,0.636,-1.434,0.637,1.001,7691
"z[60,1]",-0.396,0.681,-1.499,0.719,1,6983
"z[61,1]",0.041,0.647,-1.03,1.11,1,7743
"z[62,1]",1.181,0.685,0.055,2.303,1,8092
"z[63,1]",-0.082,0.639,-1.135,0.975,1,9013
"z[64,1]",-0.273,0.672,-1.377,0.824,1,5682
"z[65,1]",-0.786,0.65,-1.865,0.262,1,8380
"z[66,1]",-0.663,0.657,-1.745,0.424,1.001,4153
"z[67,1]",-0.267,0.724,-1.468,0.929,1,8950
"z[68,1]",0.238,0.728,-0.955,1.443,1.001,8415
"z[69,1]",-1.104,0.678,-2.199,0.011,1.001,8158
"z[70,1]",0.088,0.687,-1.052,1.199,1,5825
"z[71,1]",0.318,0.639,-0.734,1.357,1,8289
"z[72,1]",1.59,0.725,0.382,2.767,1,7711
"z[73,1]",0.09,0.643,-0.968,1.144,1.001,7254
"z[74,1]",1.846,0.665,0.739,2.918,1,5615
"z[75,1]",0.599,0.676,-0.521,1.704,1,6288
"z[76,1]",0.106,0.688,-1.024,1.246,1.001,7544
"z[77,1]",1.876,0.733,0.682,3.08,1,7490
"z[78,1]",-0.493,0.681,-1.633,0.604,1.001,6273
"z[79,1]",0.112,0.686,-1.036,1.253,1,7285
"z[80,1]",1.2,0.663,0.129,2.301,1,8972
"z[81,1]",-0.49,0.688,-1.605,0.674,1,8675
"z[82,1]",-0.906,0.689,-2.019,0.23,1.002,4356
"z[83,1]",-0.565,0.721,-1.738,0.629,1,8049
"z[84,1]",-0.816,0.662,-1.912,0.282,1,7084
"z[85,1]",0.649,0.634,-0.389,1.688,1,8914
"z[86,1]",0.673,0.673,-0.421,1.785,1,8662
"z[87,1]",-0.087,0.674,-1.203,1.029,1,7845
"z[88,1]",1.107,0.66,0.014,2.186,1,7498
"z[89,1]",-0.835,0.676,-1.936,0.272,1.001,7953
"z[90,1]",0.589,0.73,-0.618,1.781,1,8112
"z[91,1]",0.116,0.791,-1.166,1.429,1,8030
"z[92,1]",-0.381,0.668,-1.476,0.718,1,7352
"z[93,1]",0.168,0.648,-0.894,1.237,1,8157
"z[94,1]",0.432,0.731,-0.772,1.644,1,7946
"z[95,1]",-0.601,0.705,-1.76,0.541,1.002,5925
"z[96,1]",0.619,0.726,-0.57,1.812,1,8311
"z[97,1]",-0.031,0.739,-1.25,1.208,1,7099
"z[98,1]",0.178,0.704,-0.971,1.329,1.001,6978
"z[99,1]",0.907,0.649,-0.161,1.986,1,8279
"z[100,1]",1.351,0.67,0.249,2.45,1.001,6590
"z[101,1]",-0.425,0.699,-1.58,0.721,1,7691
"z[102,1]",-0.555,0.639,-1.603,0.502,1,8167
"z[103,1]",-0.749,0.637,-1.791,0.292,1,8272
"z[104,1]",-0.362,0.683,-1.471,0.76,1,8410
"z[105,1]",0.59,0.678,-0.539,1.689,1.001,8402
"z[106,1]",-0.099,0.648,-1.173,0.95,1,8358
"z[107,1]",-0.456,0.661,-1.531,0.633,1,7562
"z[108,1]",0.954,0.679,-0.181,2.062,1,7754
"z[109,1]",-0.254,0.685,-1.384,0.878,1,7597
"z[110,1]",0.085,0.741,-1.135,1.289,1,8247
"z[111,1]",-0.341,0.679,-1.46,0.775,1,8013
"z[112,1]",-0.78,0.694,-1.903,0.36,1.001,6812
"z[113,1]",0.619,0.781,-0.665,1.898,1,9245
"z[114,1]",0.237,0.724,-0.954,1.419,1,8492
"z[115,1]",0.705,0.733,-0.49,1.905,1,7716
"z[116,1]",1.131,0.727,-0.054,2.34,1,8684
"z[117,1]",-0.497,0.729,-1.69,0.709,1,7654
"z[118,1]",-0.196,0.774,-1.47,1.065,1,8797
"z[119,1]",0.447,0.652,-0.632,1.52,1.001,7917
"z[120,1]",0.266,0.652,-0.803,1.317,1.001,7560
"z[121,1]",-0.722,0.661,-1.794,0.371,1.001,8092
"z[122,1]",-0.262,0.729,-1.482,0.943,1,8060
"z[123,1]",-0.673,0.746,-1.891,0.567,1,8351
"z[124,1]",-0.498,0.713,-1.654,0.7,1,8486
"z[125,1]",-1.056,0.791,-2.364,0.263,1,8182
"z[126,1]",-0.434,0.688,-1.574,0.701,1,4808
"z[127,1]",-0.25,0.731,-1.46,0.952,1,8753
"z[128,1]",1.443,0.739,0.241,2.65,1,7349
"z[129,1]",0.984,0.796,-0.316,2.278,1,8359
"z[130,1]",-0.551,0.653,-1.624,0.529,1,7767
"z[131,1]",-0.612,0.645,-1.665,0.464,1,7714
"z[132,1]",-0.691,0.639,-1.728,0.381,1,8595
"z[133,1]",0.558,0.686,-0.556,1.693,1,7229
"z[134,1]",0.227,0.685,-0.895,1.378,1,8198
"z[135,1]",-0.788,0.728,-1.985,0.416,1,8533
"z[136,1]",0.809,0.72,-0.361,1.994,1,8811
"z[137,1]",-0.918,0.732,-2.114,0.277,1.001,8853
"z[138,1]",-0.753,0.689,-1.896,0.372,1,7481
"z[139,1]",-0.46,0.683,-1.612,0.655,1,7851
"z[140,1]",0.568,0.727,-0.633,1.761,1,8417
"z[141,1]",0.464,0.756,-0.773,1.708,1.002,7148
"z[142,1]",-0.428,0.718,-1.578,0.76,1.001,3982
"z[143,1]",0.06,0.784,-1.22,1.336,1.001,7832
"z[144,1]",0.529,0.725,-0.681,1.721,1,8314
"z[145,1]",0.313,0.79,-0.982,1.635,1.001,3309
"z[146,1]",-0.913,0.734,-2.134,0.287,1,8234
"z[147,1]",-0.967,0.807,-2.293,0.372,1,8774
"z[148,1]",-0.582,0.67,-1.681,0.53,1,6034
"z[149,1]",-1.219,0.741,-2.426,0.004,1,4863
"z[150,1]",-0.373,0.672,-1.453,0.733,1,8746
"z[151,1]",-0.752,0.656,-1.82,0.32,1,6180
"z[152,1]",0.786,0.723,-0.419,1.94,1.001,4417
"z[153,1]",-0.054,0.694,-1.196,1.08,1.001,6722
"z[154,1]",0.714,0.647,-0.355,1.773,1.001,7840
"z[155,1]",0.164,0.657,-0.908,1.24,1,7472
"z[156,1]",-0.81,0.684,-1.929,0.326,1.001,8568
"z[157,1]",0.446,0.738,-0.775,1.649,1,7462
"z[158,1]",0.235,0.73,-0.961,1.423,1,8978
"z[159,1]",0.122,0.724,-1.065,1.297,1,8917
"z[160,1]",0.561,0.676,-0.541,1.654,1,8332
"z[161,1]",0.492,0.794,-0.797,1.794,1,7595
"z[162,1]",-0.216,0.691,-1.351,0.891,1.001,7283
"z[163,1]",-0.13,0.653,-1.205,0.941,1.001,5534
"z[164,1]",-0.103,0.734,-1.294,1.11,1,9032
"z[165,1]",0.44,0.691,-0.694,1.553,1.001,7888
"z[166,1]",-0.856,0.717,-2.061,0.297,1.001,4416
"z[167,1]",-0.259,0.786,-1.538,1.03,1,8604
"z[168,1]",0.873,0.731,-0.34,2.054,1.001,8681
"z[169,1]",0.312,0.791,-1.006,1.62,1.001,8438
"z[170,1]",1.452,0.722,0.273,2.623,1,8496
"z[171,1]",-0.475,0.692,-1.617,0.661,1,6780
"z[172,1]",-0.348,0.783,-1.63,0.933,1,4734
"z[173,1]",-0.259,0.739,-1.481,0.954,1,7281
"z[174,1]",0.216,0.795,-1.054,1.522,1,7859
"z[175,1]",-0.699,0.701,-1.854,0.441,1.001,5806
"z[176,1]",-0.317,0.729,-1.533,0.883,1,8505
"z[177,1]",-1.011,0.642,-2.059,0.045,1,8020
"z[178,1]",1.486,0.698,0.332,2.623,1,8568
"z[179,1]",0.805,0.68,-0.314,1.925,1,8979
"z[180,1]",-0.203,0.793,-1.505,1.089,1,8050
"z[181,1]",-0.767,0.747,-1.992,0.464,1,7411
"z[182,1]",1.611,0.852,0.195,3.018,1.002,3237
"z[183,1]",1.448,0.692,0.303,2.578,1,8120
"z[184,1]",0.432,0.7,-0.718,1.578,1,7063
"z[185,1]",0.454,0.72,-0.752,1.637,1,8986
"z[186,1]",0.552,0.642,-0.504,1.612,1.001,8057
"z[187,1]",-0.356,0.647,-1.425,0.713,1,8185
"z[188,1]",0.026,0.688,-1.107,1.14,1.001,8687
"z[189,1]",0.025,0.679,-1.085,1.138,1,7903
"z[190,1]",-1.15,0.732,-2.344,0.079,1,7975
"z[191,1]",0.319,0.869,-1.123,1.717,1,8558
"z[192,1]",0.369,0.783,-0.921,1.655,1,8815
"z[193,1]",0.072,0.785,-1.216,1.363,1,9074
"z[194,1]",-0.443,0.727,-1.635,0.747,1,8028
"z[195,1]",-1.002,0.684,-2.131,0.123,1,8222
"z[196,1]",-0.169,0.676,-1.274,0.935,1,8195
"z[197,1]",-1.415,0.704,-2.565,-0.235,1,5407
"z[198,1]",0.427,0.42,-0.266,1.122,1,7506
"z[199,1]",-1.019,0.413,-1.704,-0.338,1,8203
"z[200,1]",0.374,0.477,-0.405,1.166,1.001,8024
"z[201,1]",0.954,0.554,0.014,1.83,1,3215
"z[202,1]",-0.489,0.423,-1.169,0.209,1.001,6171
"z[203,1]",-1.113,0.401,-1.765,-0.446,1,7520
"z[204,1]",-0.508,0.433,-1.213,0.205,1,8469
"z[205,1]",0.273,0.465,-0.488,1.03,1,8189
"z[206,1]",-0.994,0.476,-1.764,-0.215,1,7067
"z[207,1]",-1.184,0.407,-1.846,-0.52,1.001,7479
"z[208,1]",0.551,0.42,-0.132,1.239,1,8107
"z[209,1]",0.642,0.418,-0.037,1.322,1.001,6201
"z[210,1]",-0.105,0.424,-0.792,0.596,1,7412
"z[211,1]",-0.59,0.464,-1.351,0.174,1,8113
"z[212,1]",0.275,0.45,-0.462,1.015,1,7696
"z[213,1]",-0.761,0.455,-1.499,-0.023,1,8493
"z[214,1]",0.216,0.532,-0.642,1.104,1,7503
"z[215,1]",-0.323,0.459,-1.08,0.429,1.001,8262
"z[216,1]",0.596,0.4,-0.059,1.257,1.001,7891
"z[217,1]",-0.433,0.403,-1.101,0.228,1,8038
"z[218,1]",-0.41,0.435,-1.126,0.306,1,7452
"z[219,1]",-0.959,0.413,-1.64,-0.285,1,7511
"z[220,1]",0.952,0.438,0.233,1.686,1,7905
"z[221,1]",1.229,0.52,0.377,2.085,1,8023
"z[222,1]",0.208,0.414,-0.459,0.9,1,7498
"z[223,1]",-1.124,0.407,-1.792,-0.462,1,8444
"z[224,1]",-0.443,0.453,-1.193,0.307,1,8528
"z[225,1]",-1.067,0.406,-1.733,-0.401,1,7746
"z[226,1]",0.363,0.408,-0.295,1.036,1.001,8012
"z[227,1]",0.302,0.425,-0.392,0.998,1,4884
"z[228,1]",0.235,0.431,-0.474,0.942,1,7759
"z[229,1]",0.853,0.426,0.164,1.556,1.001,7626
"z[230,1]",0.862,0.438,0.15,1.589,1,7824
"z[231,1]",0.702,0.41,0.03,1.37,1,7467
"z[232,1]",0.175,0.411,-0.497,0.856,1.001,7748
"z[233,1]",0.278,0.4,-0.398,0.925,1.001,7198
"z[234,1]",-0.199,0.41,-0.872,0.491,1,6242
"z[235,1]",0.411,0.414,-0.268,1.089,1,6034
"z[236,1]",-0.014,0.459,-0.761,0.742,1,8810
"z[237,1]",-0.701,0.402,-1.363,-0.036,1,7858
"z[238,1]",1.566,0.418,0.88,2.269,1,7994
"z[239,1]",-0.528,0.411,-1.209,0.158,1,7722
"z[240,1]",0.077,0.433,-0.637,0.78,1,7229
"z[241,1]",0.265,0.423,-0.434,0.969,1.001,7741
"z[242,1]",-0.352,0.528,-1.211,0.515,1,8170
"z[243,1]",0.183,0.465,-0.585,0.952,1,7203
"z[244,1]",-0.444,0.423,-1.145,0.249,1,8316
"z[245,1]",-2.062,0.52,-2.923,-1.212,1.001,8068
"z[246,1]",-0.585,0.423,-1.285,0.114,1,7679
"z[247,1]",-1.404,0.433,-2.126,-0.695,1,7985
"z[248,1]",0.538,0.447,-0.201,1.267,1,7880
"z[249,1]",-1.521,0.4,-2.194,-0.877,1,8295
"z[250,1]",-0.049,0.455,-0.798,0.698,1.001,8850
"z[251,1]",0.088,0.466,-0.675,0.86,1,8361
"z[252,1]",0.05,0.468,-0.722,0.816,1,6363
"z[253,1]",0.981,0.463,0.211,1.762,1,7949
"z[254,1]",0.598,0.42,-0.098,1.288,1,7443
"z[255,1]",1.662,0.466,0.895,2.424,1,6264
"z[256,1]",-0.232,0.464,-1.001,0.515,1,8019
"z[257,1]",1.177,0.421,0.494,1.861,1,8268
"z[258,1]",-0.242,0.456,-0.988,0.518,1.001,8741
"z[259,1]",0.276,0.463,-0.495,1.039,1,7793
"z[260,1]",-1.073,0.422,-1.764,-0.377,1,7913
"z[261,1]",-0.918,0.462,-1.682,-0.17,1,7751
"z[262,1]",-0.324,0.405,-0.988,0.344,1,7397
"z[263,1]",-0.375,0.444,-1.115,0.355,1,8093
"z[264,1]",0.332,0.408,-0.335,1.001,1,7649
"z[265,1]",-0.037,0.531,-0.914,0.836,1,8400
"z[266,1]",-0.786,0.415,-1.459,-0.092,1,7371
"z[267,1]",-1.979,0.414,-2.662,-1.298,1,7927
"z[268,1]",1.189,0.632,0.145,2.225,1.001,8664
"z[269,1]",0.192,0.464,-0.578,0.947,1,8012
"z[270,1]",0.857,0.456,0.11,1.6,1,8598
"z[271,1]",0.182,0.522,-0.675,1.038,1,8480
"z[272,1]",-0.235,0.448,-0.983,0.503,1,7031
"z[273,1]",0.715,0.434,-0.013,1.416,1,6743
"z[274,1]",1.316,0.414,0.63,2.006,1.001,7883
"z[275,1]",1.095,0.515,0.262,1.945,1,9148
"z[276,1]",-0.874,0.408,-1.559,-0.22,1,7427
"z[277,1]",1.86,0.429,1.169,2.573,1,7847
"z[278,1]",0.083,0.421,-0.613,0.774,1,7804
"z[279,1]",-0.165,0.449,-0.91,0.583,1,7891
"z[280,1]",2.502,0.482,1.713,3.299,1,7587
"z[281,1]",0.11,0.431,-0.605,0.817,1,8344
"z[282,1]",-0.058,0.46,-0.815,0.704,1,8484
"z[283,1]",0.425,0.4,-0.224,1.094,1,7297
"z[284,1]",0.056,0.415,-0.625,0.733,1,6474
"z[285,1]",0.669,0.397,0.015,1.319,1,6937
"z[286,1]",0.755,0.397,0.107,1.413,1,7706
"z[287,1]",1.565,0.467,0.799,2.332,1,8116
"z[288,1]",0.916,0.417,0.23,1.606,1.001,8084
"z[289,1]",1.489,0.408,0.806,2.148,1,8087
"z[290,1]",-0.432,0.451,-1.171,0.317,1,6222
"z[291,1]",0.39,0.643,-0.662,1.458,1,8540
"z[292,1]",0.562,0.429,-0.132,1.272,1.001,5687
"z[293,1]",1.554,0.407,0.892,2.227,1,7458
"z[294,1]",-0.012,0.454,-0.756,0.722,1,8240
"z[295,1]",-1.811,0.456,-2.576,-1.069,1,7960
"z[296,1]",1.026,0.467,0.256,1.799,1,8243
"z[297,1]",1.095,0.433,0.378,1.787,1,7319
"z[298,1]",-1.039,0.425,-1.747,-0.344,1,6825
"z[299,1]",0.4,0.405,-0.26,1.083,1,5061
"z[300,1]",1.234,0.456,0.488,1.989,1,7922
"z[301,1]",0.624,0.53,-0.254,1.494,1,8689
"z[302,1]",1.423,0.535,0.561,2.318,1,9027
"z[303,1]",-1.057,0.4,-1.715,-0.401,1,7634
"z[304,1]",1.324,0.44,0.611,2.048,1,8016
"z[305,1]",-0.822,0.406,-1.494,-0.154,1.001,7524
"z[306,1]",0.651,0.479,-0.159,1.423,1,6947
"z[307,1]",1.043,0.466,0.265,1.812,1,8674
"z[308,1]",0.65,0.41,-0.017,1.329,1.001,8419
"z[309,1]",0.625,0.403,-0.044,1.288,1,6964
"z[310,1]",-1.733,0.436,-2.45,-1.003,1,7922
"z[311,1]",0.206,0.412,-0.477,0.877,1.001,7944
"z[312,1]",-1.255,0.408,-1.94,-0.585,1,8296
"z[313,1]",-1.262,0.472,-2.022,-0.477,1.001,8153
"z[314,1]",-1.633,0.437,-2.353,-0.917,1,7889
"z[315,1]",0.945,0.437,0.233,1.66,1,7889
"z[316,1]",0.418,0.46,-0.335,1.18,1,8296
"z[317,1]",-0.991,0.429,-1.695,-0.277,1,8137
"z[318,1]",1.06,0.456,0.306,1.794,1.001,8166
"z[319,1]",-0.53,0.465,-1.288,0.236,1,7334
"z[320,1]",-1.269,0.455,-2.024,-0.538,1,8366
"z[321,1]",-0.254,0.434,-0.966,0.458,1,8180
"z[322,1]",0.745,0.508,-0.087,1.57,1,7993
"z[323,1]",1.071,0.404,0.404,1.74,1,7622
"z[324,1]",-1.027,0.462,-1.798,-0.286,1,8004
"z[325,1]",-0.297,0.405,-0.971,0.37,1,7911
"z[326,1]",1.005,0.471,0.229,1.769,1.001,8045
"z[327,1]",-0.693,0.427,-1.404,0.013,1.001,7168
"z[328,1]",-0.703,0.406,-1.36,-0.036,1,6662
"z[329,1]",0.865,0.44,0.149,1.601,1.001,6615
"z[330,1]",0.653,0.434,-0.055,1.372,1,6655
"z[331,1]",-0.464,0.414,-1.159,0.21,1,7762
"z[332,1]",0.896,0.423,0.186,1.587,1.001,7300
"z[333,1]",0.821,0.415,0.135,1.51,1,7986
"z[334,1]",-0.114,0.455,-0.857,0.646,1.001,8606
"z[335,1]",0.017,0.408,-0.646,0.693,1,7851
"z[336,1]",-0.739,0.458,-1.496,0.016,1.001,7867
"z[337,1]",-0.487,0.408,-1.168,0.174,1,7581
"z[338,1]",-0.289,0.4,-0.959,0.365,1,7236
"z[339,1]",0.685,0.4,0.034,1.337,1,8178
"z[340,1]",0.997,0.419,0.31,1.692,1,7841
"z[341,1]",0.754,0.438,0.049,1.482,1,6897
"z[342,1]",1.127,0.392,0.472,1.771,1,7203
"z[343,1]",-0.527,0.426,-1.22,0.171,1,8001
"z[344,1]",0.892,0.439,0.166,1.627,1,8129
"z[345,1]",0.706,0.448,-0.034,1.458,1.001,8189
"z[346,1]",0.715,0.393,0.076,1.369,1,7905
"z[347,1]",0.584,0.525,-0.286,1.448,1,8769
"z[348,1]",-0.093,0.403,-0.759,0.57,1,7280
"z[349,1]",0.684,0.421,-0.013,1.381,1,7684
"z[350,1]",-0.366,0.439,-1.083,0.348,1,7832
"z[351,1]",-0.563,0.463,-1.316,0.207,1.001,7794
"z[352,1]",-1.043,0.437,-1.762,-0.332,1,6525
"z[353,1]",1.076,0.409,0.409,1.745,1,7610
"z[354,1]",0.318,0.409,-0.348,0.988,1,8415
"z[355,1]",-0.663,0.447,-1.403,0.071,1,7793
"z[356,1]",1.176,0.428,0.469,1.877,1,8110
"z[357,1]",0.519,0.444,-0.208,1.247,1,7680
"z[358,1]",0.563,0.64,-0.492,1.598,1,9105
"z[359,1]",-0.727,0.457,-1.48,0.029,1,8692
"z[360,1]",-0.173,0.457,-0.922,0.581,1,8668
"z[361,1]",0.049,0.403,-0.605,0.711,1.001,7937
"z[362,1]",0.758,0.53,-0.111,1.619,1,8914
