parameter,mean,sd,q05,q95,rhat,ess
"z[67,1]",-0.221,0.728,-1.395,0.97,1.001,8383
"z[68,1]",0.35,0.727,-0.828,1.551,1.001,8162
"z[69,1]",-1.131,0.683,-2.25,-0.003,1,8475
"z[70,1]",0.134,0.672,-0.984,1.232,1,5745
"z[71,1]",0.292,0.643,-0.751,1.338,1,8260
"z[72,1]",1.511,0.733,0.296,2.7,1,7838
"z[73,1]",0.117,0.647,-0.948,1.19,1,7724
"z[74,1]",1.813,0.657,0.732,2.883,1.001,7434
"z[75,1]",0.693,0.677,-0.438,1.804,1,6349
"z[76,1]",0.127,0.691,-0.998,1.29,1.001,6756
"z[77,1]",1.92,0.74,0.691,3.147,1,7751
"z[78,1]",-0.4,0.69,-1.519,0.734,1.001,6362
"z[79,1]",0.143,0.692,-0.981,1.288,1,8825
"z[80,1]",1.175,0.66,0.079,2.253,1,7981
"z[81,1]",-0.452,0.694,-1.587,0.702,1.001,6847
"z[82,1]",-0.809,0.665,-1.904,0.279,1,5715
"z[83,1]",-0.54,0.728,-1.737,0.656,1,7701
"z[84,1]",-0.852,0.658,-1.949,0.201,1,7972
"z[85,1]",0.612,0.649,-0.452,1.68,1,8517
"z[86,1]",0.669,0.681,-0.458,1.784,1,7171
"z[87,1]",-0.114,0.689,-1.256,1.025,1.001,8369
"z[88,1]",1.119,0.658,0.026,2.201,1,7408
"z[89,1]",-0.821,0.684,-1.933,0.298,1,7811
"z[90,1]",0.582,0.73,-0.609,1.778,1,8243
"z[91,1]",0.151,0.791,-1.134,1.438,1,8350
"z[92,1]",-0.354,0.689,-1.477,0.793,1,7790
"z[93,1]",0.137,0.652,-0.915,1.209,1,7983
"z[94,1]",0.349,0.73,-0.857,1.557,1.001,6794
"z[95,1]",-0.56,0.718,-1.737,0.627,1,6529
"z[96,1]",0.649,0.731,-0.559,1.861,1,8411
"z[97,1]",0.011,0.742,-1.22,1.202,1,7583
"z[98,1]",0.189,0.7,-0.964,1.35,1,5760
"z[99,1]",0.827,0.637,-0.207,1.888,1.001,8429
"z[100,1]",1.382,0.662,0.288,2.472,1,7859
"z[101,1]",-0.43,0.688,-1.552,0.684,1,7138
"z[102,1]",-0.53,0.646,-1.584,0.544,1.001,8643
"z[103,1]",-0.756,0.637,-1.792,0.302,1,8515
"z[104,1]",-0.387,0.69,-1.541,0.749,1,8241
"z[105,1]",0.597,0.685,-0.521,1.721,1,8505
"z[106,1]",-0.18,0.639,-1.237,0.892,1,8345
"z[107,1]",-0.478,0.666,-1.572,0.62,1,7069
"z[108,1]",0.952,0.678,-0.173,2.062,1,7628
"z[109,1]",-0.284,0.692,-1.407,0.87,1,7602
"z[110,1]",0.073,0.749,-1.16,1.294,1.001,8100
"z[111,1]",-0.361,0.691,-1.487,0.777,1,7824
"z[112,1]",-0.768,0.697,-1.926,0.361,1.001,5063
"z[113,1]",0.638,0.783,-0.654,1.927,1,8380
"z[114,1]",0.238,0.727,-0.949,1.442,1.001,8090
"z[115,1]",0.689,0.743,-0.528,1.915,1,8635
"z[116,1]",1.093,0.731,-0.107,2.308,1,7989
"z[117,1]",-0.471,0.73,-1.668,0.734,1,8228
"z[118,1]",-0.226,0.793,-1.537,1.079,1.001,8567
"z[119,1]",0.398,0.653,-0.672,1.487,1,8281
"z[120,1]",0.242,0.648,-0.831,1.299,1,8689
"z[121,1]",-0.747,0.649,-1.805,0.315,1,7849
"z[122,1]",-0.275,0.737,-1.501,0.932,1,7313
"z[123,1]",-0.705,0.734,-1.914,0.495,1,8318
"z[124,1]",-0.588,0.722,-1.75,0.598,1,8110
"z[125,1]",-0.993,0.802,-2.294,0.338,1.001,8023
"z[126,1]",-0.369,0.668,-1.468,0.723,1,6098
"z[127,1]",-0.26,0.73,-1.473,0.942,1,8252
"z[128,1]",1.409,0.733,0.199,2.605,1.001,8286
"z[129,1]",0.969,0.798,-0.337,2.264,1.001,7818
"z[130,1]",-0.586,0.647,-1.638,0.479,1,8368
"z[131,1]",-0.63,0.657,-1.688,0.456,1,6796
"z[132,1]",-0.725,0.654,-1.813,0.358,1,8117
"z[133,1]",0.644,0.673,-0.464,1.762,1,8285
"z[134,1]",0.202,0.691,-0.956,1.344,1,8464
"z[135,1]",-0.647,0.719,-1.807,0.525,1,8396
"z[136,1]",0.781,0.722,-0.401,1.96,1,8802
"z[137,1]",-0.937,0.73,-2.136,0.272,1,8504
"z[138,1]",-0.72,0.689,-1.866,0.408,1,8268
"z[139,1]",-0.437,0.686,-1.581,0.677,1.001,8635
"z[140,1]",0.548,0.738,-0.686,1.75,1,8783
"z[141,1]",0.406,0.751,-0.841,1.618,1,7196
"z[142,1]",-0.454,0.704,-1.592,0.722,1,5809
"z[143,1]",0.018,0.799,-1.3,1.327,1,8354
"z[144,1]",0.506,0.735,-0.705,1.743,1,8199
"z[145,1]",0.298,0.749,-0.928,1.525,1.001,5132
"z[146,1]",-0.954,0.729,-2.161,0.24,1.001,8026
"z[147,1]",-0.923,0.806,-2.255,0.396,1.001,7735
"z[148,1]",-0.576,0.672,-1.686,0.527,1,6638
"z[149,1]",-1.176,0.754,-2.444,0.07,1.001,4091
"z[150,1]",-0.409,0.677,-1.53,0.715,1.001,8171
"z[151,1]",-0.729,0.655,-1.819,0.323,1,7664
"z[152,1]",0.702,0.708,-0.465,1.876,1.002,5151
"z[153,1]",-0.103,0.678,-1.214,1.017,1,8356
"z[154,1]",0.719,0.653,-0.363,1.794,1,5817
"z[155,1]",0.198,0.641,-0.859,1.26,1,7299
"z[156,1]",-0.832,0.679,-1.946,0.284,1,8350
"z[157,1]",0.424,0.742,-0.804,1.633,1,6961
"z[158,1]",0.252,0.723,-0.941,1.445,1,8084
"z[159,1]",0.118,0.729,-1.094,1.322,1,8799
"z[160,1]",0.522,0.67,-0.591,1.628,1,7821
"z[161,1]",0.42,0.813,-0.918,1.754,1,7203
"z[162,1]",-0.252,0.68,-1.358,0.869,1,7259
"z[163,1]",-0.116,0.667,-1.214,0.984,1.001,4809
"z[164,1]",-0.097,0.715,-1.284,1.077,1,8439
"z[165,1]",0.345,0.7,-0.797,1.495,1,7824
"z[166,1]",-0.817,0.718,-2.015,0.344,1.001,4103
"z[167,1]",-0.234,0.779,-1.496,1.061,1.001,8188
"z[168,1]",0.937,0.741,-0.295,2.158,1,8019
"z[169,1]",0.277,0.792,-1.011,1.576,1,8538
"z[170,1]",1.413,0.738,0.197,2.598,1.001,7450
"z[171,1]",-0.488,0.699,-1.634,0.663,1,8425
"z[172,1]",-0.364,0.799,-1.684,0.963,1.001,2644
"z[173,1]",-0.309,0.737,-1.514,0.879,1,7832
"z[174,1]",0.211,0.798,-1.066,1.54,1,8085
"z[175,1]",-0.564,0.698,-1.741,0.577,1,7766
"z[176,1]",-0.353,0.741,-1.583,0.878,1,8848
"z[177,1]",-1.038,0.655,-2.113,0.045,1.001,7958
"z[178,1]",1.518,0.701,0.369,2.659,1,8199
"z[179,1]",0.792,0.687,-0.349,1.895,1.001,7782
"z[180,1]",-0.228,0.787,-1.516,1.046,1,8433
"z[181,1]",-0.81,0.748,-2.04,0.442,1,6858
"z[182,1]",1.578,0.893,0.083,3.005,1.001,2074
"z[183,1]",1.43,0.684,0.3,2.535,1,7904
"z[184,1]",0.466,0.722,-0.699,1.671,1,4400
"z[185,1]",0.435,0.719,-0.737,1.624,1,7970
"z[186,1]",0.574,0.651,-0.496,1.645,1,7800
"z[187,1]",-0.328,0.651,-1.407,0.721,1,8066
"z[188,1]",0.038,0.682,-1.081,1.152,1,8106
"z[189,1]",0.068,0.683,-1.067,1.186,1,8460
"z[190,1]",-1.128,0.735,-2.346,0.081,1,6321
"z[191,1]",0.368,0.869,-1.071,1.814,1,8129
"z[192,1]",0.369,0.796,-0.945,1.67,1,8216
"z[193,1]",-0.024,0.782,-1.309,1.249,1,8307
"z[194,1]",-0.516,0.738,-1.73,0.709,1,8674
"z[195,1]",-0.987,0.681,-2.117,0.103,1,8291
"z[196,1]",-0.164,0.693,-1.277,0.972,1,7850
"z[197,1]",-1.317,0.693,-2.474,-0.178,1,6937
"z[198,1]",0.519,0.421,-0.183,1.22,1,5598
"z[199,1]",-1.04,0.422,-1.735,-0.352,1,7718
"z[200,1]",0.325,0.479,-0.46,1.127,1,8449
"z[201,1]",1.069,0.545,0.148,1.945,1.001,2574
"z[202,1]",-0.415,0.429,-1.116,0.295,1,6671
"z[203,1]",-1.104,0.4,-1.758,-0.437,1,7176
"z[204,1]",-0.513,0.423,-1.213,0.174,1,8376
"z[205,1]",0.282,0.464,-0.476,1.049,1,7932
"z[206,1]",-1.049,0.482,-1.84,-0.254,1,7044
"z[207,1]",-1.191,0.417,-1.875,-0.493,1,6846
"z[208,1]",0.661,0.406,-0,1.341,1,8173
"z[209,1]",0.565,0.417,-0.104,1.268,1,8224
"z[210,1]",-0.082,0.421,-0.768,0.611,1,6678
"z[211,1]",-0.536,0.458,-1.28,0.226,1,7754
"z[212,1]",0.306,0.453,-0.431,1.06,1,8235
"z[213,1]",-0.775,0.457,-1.517,-0.026,1,7423
"z[214,1]",0.162,0.531,-0.7,1.044,1,8286
"z[215,1]",-0.351,0.459,-1.102,0.411,1.001,7751
"z[216,1]",0.633,0.399,-0.004,1.307,1,7408
"z[217,1]",-0.452,0.411,-1.129,0.219,1,7128
"z[218,1]",-0.354,0.433,-1.074,0.352,1,6561
"z[219,1]",-0.95,0.409,-1.622,-0.273,1,6994
"z[220,1]",0.916,0.445,0.195,1.65,1,8441
"z[221,1]",1.255,0.529,0.383,2.126,1,8664
"z[222,1]",0.216,0.413,-0.468,0.895,1,8001
"z[223,1]",-1.075,0.405,-1.739,-0.406,1,7926
"z[224,1]",-0.424,0.462,-1.183,0.333,1,8429
"z[225,1]",-1.152,0.404,-1.824,-0.475,1,7808
"z[226,1]",0.367,0.409,-0.305,1.037,1,7602
"z[227,1]",0.276,0.432,-0.435,1.003,1,4498
"z[228,1]",0.197,0.425,-0.504,0.88,1,7100
"z[229,1]",0.865,0.424,0.174,1.554,1,8192
"z[230,1]",0.862,0.436,0.145,1.57,1,7649
"z[231,1]",0.602,0.404,-0.073,1.259,1.001,7895
"z[232,1]",0.182,0.412,-0.5,0.852,1,8207
"z[233,1]",0.34,0.409,-0.334,1.001,1,6525
"z[234,1]",-0.167,0.418,-0.834,0.528,1,6498
"z[235,1]",0.455,0.411,-0.218,1.131,1,5935
"z[236,1]",0,0.455,-0.746,0.754,1,8284
"z[237,1]",-0.712,0.411,-1.389,-0.035,1,7397
"z[238,1]",1.614,0.428,0.906,2.323,1.001,8287
"z[239,1]",-0.531,0.415,-1.21,0.154,1,7829
"z[240,1]",0.053,0.428,-0.646,0.753,1,7473
"z[241,1]",0.326,0.426,-0.358,1.032,1,8200
"z[242,1]",-0.416,0.527,-1.281,0.45,1,8273
"z[243,1]",0.163,0.461,-0.603,0.921,1,8013
"z[244,1]",-0.416,0.425,-1.112,0.275,1,8628
"z[245,1]",-2.085,0.522,-2.923,-1.226,1,8797
"z[246,1]",-0.604,0.424,-1.307,0.1,1,8350
"z[247,1]",-1.422,0.44,-2.148,-0.697,1,7774
"z[248,1]",0.56,0.45,-0.182,1.302,1.001,6853
"z[249,1]",-1.516,0.406,-2.192,-0.848,1,7824
"z[250,1]",-0.037,0.459,-0.787,0.716,1,8661
"z[251,1]",0.062,0.458,-0.685,0.825,1.001,7741
"z[252,1]",0.031,0.471,-0.735,0.826,1.001,6438
"z[253,1]",0.986,0.466,0.217,1.752,1,8551
"z[254,1]",0.558,0.415,-0.139,1.239,1,8132
"z[255,1]",1.741,0.467,0.969,2.491,1.001,7316
"z[256,1]",-0.173,0.462,-0.94,0.589,1,7807
"z[257,1]",1.215,0.42,0.534,1.906,1,8086
"z[258,1]",-0.25,0.459,-1.001,0.497,1,7740
"z[259,1]",0.271,0.456,-0.472,1.017,1.001,8495
"z[260,1]",-1.092,0.421,-1.779,-0.404,1,8234
"z[261,1]",-0.926,0.463,-1.699,-0.169,1,7964
"z[262,1]",-0.292,0.411,-0.96,0.38,1.001,7526
"z[263,1]",-0.202,0.442,-0.933,0.519,1,7988
"z[264,1]",0.286,0.41,-0.384,0.958,1.001,8207
"z[265,1]",-0.005,0.528,-0.872,0.865,1,8219
"z[266,1]",-0.79,0.427,-1.496,-0.095,1,7833
"z[267,1]",-1.966,0.412,-2.653,-1.302,1,8395
"z[268,1]",1.19,0.628,0.155,2.221,1,8274
"z[269,1]",0.168,0.459,-0.595,0.909,1,8292
"z[270,1]",0.874,0.457,0.127,1.619,1,8164
"z[271,1]",0.203,0.52,-0.65,1.062,1,8824
"z[272,1]",-0.298,0.441,-1.04,0.426,1,8058
"z[273,1]",0.708,0.437,-0.024,1.406,1,6180
"z[274,1]",1.328,0.416,0.646,2.022,1,8463
"z[275,1]",1.099,0.522,0.228,1.952,1,9275
"z[276,1]",-0.934,0.407,-1.609,-0.269,1,8015
"z[277,1]",1.806,0.436,1.1,2.529,1,7772
"z[278,1]",0.009,0.435,-0.71,0.726,1,7094
"z[279,1]",-0.166,0.451,-0.915,0.568,1,6624
"z[280,1]",2.522,0.477,1.738,3.31,1.001,7944
"z[281,1]",0.08,0.428,-0.623,0.789,1,8080
"z[282,1]",-0.087,0.46,-0.848,0.661,1,8386
"z[283,1]",0.513,0.406,-0.154,1.179,1.001,7608
"z[284,1]",-0.073,0.42,-0.759,0.632,1,6279
"z[285,1]",0.634,0.412,-0.047,1.308,1,5343
"z[286,1]",0.688,0.407,0.022,1.348,1,8397
"z[287,1]",1.628,0.458,0.865,2.374,1,8356
"z[288,1]",0.903,0.42,0.228,1.603,1,8716
"z[289,1]",1.486,0.413,0.816,2.168,1,7944
"z[290,1]",-0.399,0.448,-1.121,0.348,1.001,6759
"z[291,1]",0.444,0.647,-0.621,1.497,1,7357
"z[292,1]",0.534,0.427,-0.162,1.245,1.001,6872
"z[293,1]",1.558,0.41,0.896,2.242,1,8117
"z[294,1]",-0.032,0.454,-0.795,0.716,1,8599
"z[295,1]",-1.73,0.465,-2.504,-0.959,1,7690
"z[296,1]",1.044,0.46,0.297,1.795,1,8025
"z[297,1]",1.094,0.437,0.369,1.822,1,7630
"z[298,1]",-0.97,0.442,-1.696,-0.25,1,6779
"z[299,1]",0.367,0.411,-0.297,1.049,1,5300
"z[300,1]",1.253,0.458,0.511,2.006,1,8309
"z[301,1]",0.583,0.525,-0.279,1.441,1,8824
"z[302,1]",1.451,0.533,0.587,2.341,1.001,8014
"z[303,1]",-1.075,0.409,-1.748,-0.408,1,8409
"z[304,1]",1.313,0.443,0.595,2.041,1,7737
"z[305,1]",-0.831,0.402,-1.495,-0.161,1,7857
"z[306,1]",0.679,0.474,-0.105,1.456,1,7595
"z[307,1]",1.024,0.461,0.271,1.791,1,8522
"z[308,1]",0.692,0.417,0.016,1.375,1,7578
"z[309,1]",0.713,0.405,0.042,1.375,1,7268
"z[310,1]",-1.705,0.434,-2.415,-1.005,1,7746
"z[311,1]",0.242,0.413,-0.452,0.918,1,8262
"z[312,1]",-1.303,0.407,-1.978,-0.626,1,8159
"z[313,1]",-1.285,0.487,-2.085,-0.483,1,8105
"z[314,1]",-1.648,0.438,-2.365,-0.934,1,7051
"z[315,1]",1.05,0.429,0.333,1.759,1,5188
"z[316,1]",0.442,0.448,-0.292,1.181,1,8890
"z[317,1]",-0.992,0.425,-1.699,-0.304,1,8138
"z[318,1]",1.04,0.464,0.278,1.785,1,8206
"z[319,1]",-0.529,0.463,-1.29,0.238,1,8618
"z[320,1]",-1.259,0.459,-2.017,-0.505,1,7493
"z[321,1]",-0.238,0.435,-0.957,0.476,1,7504
"z[322,1]",0.738,0.507,-0.096,1.559,1,8092
"z[323,1]",1.075,0.414,0.399,1.752,1,7844
"z[324,1]",-1.007,0.463,-1.774,-0.248,1.001,8546
"z[325,1]",-0.289,0.405,-0.964,0.361,1,8134
"z[326,1]",1.02,0.474,0.249,1.791,1,8185
"z[327,1]",-0.632,0.426,-1.341,0.065,1,7955
"z[328,1]",-0.671,0.41,-1.333,0.019,1,5668
"z[329,1]",0.845,0.437,0.132,1.557,1.001,7669
"z[330,1]",0.646,0.444,-0.083,1.376,1,6159
"z[331,1]",-0.445,0.407,-1.115,0.224,1,8049
"z[332,1]",0.895,0.426,0.193,1.587,1,8745
"z[333,1]",0.959,0.42,0.272,1.657,1,5966
"z[334,1]",-0.117,0.458,-0.878,0.632,1,8396
"z[335,1]",0.01,0.413,-0.672,0.683,1,8189
"z[336,1]",-0.749,0.458,-1.487,-0.002,1,8646
"z[337,1]",-0.514,0.407,-1.183,0.149,1,7468
"z[338,1]",-0.301,0.401,-0.961,0.358,1,7962
"z[339,1]",0.74,0.413,0.072,1.429,1,6880
"z[340,1]",0.956,0.418,0.272,1.649,1,7098
"z[341,1]",0.689,0.45,-0.044,1.437,1,5563
"z[342,1]",1.1,0.4,0.446,1.771,1,6927
"z[343,1]",-0.544,0.424,-1.242,0.16,1,7843
"z[344,1]",0.869,0.437,0.158,1.586,1,8132
"z[345,1]",0.671,0.449,-0.084,1.395,1,7521
"z[346,1]",0.673,0.402,0.013,1.334,1,6473
"z[347,1]",0.587,0.534,-0.288,1.457,1,8405
"z[348,1]",-0.073,0.394,-0.713,0.568,1,8205
"z[349,1]",0.686,0.427,-0.013,1.386,1,7675
"z[350,1]",-0.348,0.439,-1.065,0.382,1,8052
"z[351,1]",-0.606,0.473,-1.373,0.176,1,8229
"z[352,1]",-1.008,0.445,-1.744,-0.288,1.001,4759
"z[353,1]",1.112,0.406,0.445,1.79,1,8560
"z[354,1]",0.32,0.412,-0.352,0.991,1,8296
"z[355,1]",-0.581,0.442,-1.319,0.122,1,8114
"z[356,1]",1.207,0.429,0.505,1.922,1,8024
"z[357,1]",0.515,0.441,-0.219,1.227,1,7912
"z[358,1]",0.541,0.641,-0.509,1.595,1,8169
"z[359,1]",-0.723,0.455,-1.482,0.024,1,8391
"z[360,1]",-0.163,0.457,-0.905,0.591,1,8831
"z[361,1]",0.059,0.408,-0.595,0.736,1,6763
"z[362,1]",0.736,0.537,-0.154,1.605,1.001,8835
"z[363,1]",1.312,0.456,0.56,2.057,1,8314
