parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.011,0.005,0.003,0.019,1,7888
"alpha[2,1]",0.009,0.004,0.001,0.016,1,6673
"alpha[3,1]",-0.001,0.004,-0.008,0.006,1,6366
"alpha[1,2]",0.079,0.048,-0.001,0.158,1.001,7387
"alpha[2,2]",-0.133,0.065,-0.24,-0.028,1,5636
"alpha[3,2]",0.093,0.067,-0.017,0.206,1,6274
"alpha[1,3]",-0.07,0.017,-0.099,-0.042,1.001,5516
"alpha[2,3]",-0.062,0.012,-0.082,-0.043,1,4378
"alpha[3,3]",-0.094,0.018,-0.124,-0.064,1,4377
"alpha[1,4]",0.289,0.168,0.011,0.565,1,5557
"alpha[2,4]",0.222,0.173,-0.06,0.504,1,4518
"alpha[3,4]",0.264,0.271,-0.187,0.699,1.001,4662
"mu_beta[1,1]",-0.856,0.04,-0.92,-0.791,1,7436
"mu_beta[2,1]",0.045,0.052,-0.042,0.131,1,5423
"mu_beta[3,1]",0.677,0.047,0.6,0.755,1,6167
"mu_beta[1,2]",0.019,0.017,-0.008,0.047,1,8591
"mu_beta[2,2]",0.147,0.02,0.115,0.18,1,7201
"mu_beta[3,2]",0.308,0.033,0.253,0.361,1.001,7402
"mu_beta[1,3]",7.995,0.122,7.798,8.197,1,5448
"mu_beta[2,3]",7.117,0.141,6.884,7.352,1,4765
"mu_beta[3,3]",6.192,0.192,5.872,6.505,1,4552
"mu_beta[1,4]",-0.032,0.016,-0.059,-0.006,1,8181
"mu_beta[2,4]",-0.11,0.014,-0.133,-0.087,1,8328
"mu_beta[3,4]",-0.168,0.028,-0.214,-0.123,1,8755
"sigma_beta[1,1]",0.239,0.032,0.188,0.291,1.001,5972
"sigma_beta[2,1]",0.452,0.028,0.408,0.499,1,6091
"sigma_beta[3,1]",0.317,0.031,0.266,0.368,1.001,4556
"sigma_beta[1,2]",0.05,0.029,0.007,0.101,1.001,1269
"sigma_beta[2,2]",0.205,0.022,0.17,0.242,1.001,2780
"sigma_beta[3,2]",0.266,0.034,0.211,0.323,1.001,3945
"sigma_beta[1,3]",1.16,0.062,1.062,1.265,1,6167
"sigma_beta[2,3]",1.503,0.061,1.407,1.607,1,4690
"sigma_beta[3,3]",1.632,0.102,1.476,1.808,1,4215
"sigma_beta[1,4]",0.095,0.028,0.048,0.139,1,3811
"sigma_beta[2,4]",0.078,0.021,0.043,0.113,1,5178
"sigma_beta[3,4]",0.057,0.042,0.004,0.137,1,5127
"sigma_epsilon[1,1]",0.441,0.014,0.418,0.465,1.001,6011
"sigma_epsilon[2,1]",0.408,0.011,0.391,0.426,1,3900
"sigma_epsilon[3,1]",0.273,0.015,0.25,0.299,1,3666
"sigma_epsilon[1,2]",0.353,0.013,0.332,0.374,1.001,4768
"sigma_epsilon[2,2]",0.367,0.009,0.352,0.382,1,7262
"sigma_epsilon[3,2]",0.357,0.016,0.332,0.384,1,6551
"L_Rho_beta[1,2,1]",0.048,0.366,-0.531,0.673,1,5618
"L_Rho_beta[2,2,1]",0.497,0.134,0.276,0.716,1.001,2310
"L_Rho_beta[3,2,1]",0.435,0.164,0.169,0.708,1.001,2795
"L_Rho_beta[1,3,1]",0.136,0.122,-0.069,0.335,1.005,737
"L_Rho_beta[2,3,1]",-0.214,0.067,-0.32,-0.1,1.001,1836
"L_Rho_beta[3,3,1]",-0.461,0.091,-0.606,-0.304,1,1472
"L_Rho_beta[1,4,1]",0.188,0.24,-0.217,0.573,1,3931
"L_Rho_beta[2,4,1]",-0.124,0.207,-0.476,0.206,1,5857
"L_Rho_beta[3,4,1]",-0.252,0.385,-0.802,0.474,1.001,7654
"L_Rho_beta[1,2,2]",0.923,0.107,0.698,1,1,5762
"L_Rho_beta[2,2,2]",0.853,0.084,0.698,0.961,1.001,2309
"L_Rho_beta[3,2,2]",0.881,0.09,0.707,0.986,1.001,2777
"L_Rho_beta[1,3,2]",-0.227,0.338,-0.78,0.339,1.02,170
"L_Rho_beta[2,3,2]",-0.394,0.117,-0.59,-0.209,1.004,513
"L_Rho_beta[3,3,2]",-0.05,0.157,-0.298,0.223,1.002,888
"L_Rho_beta[1,4,2]",-0.36,0.381,-0.862,0.375,1.003,1355
"L_Rho_beta[2,4,2]",-0.737,0.189,-0.958,-0.373,1.001,5310
"L_Rho_beta[3,4,2]",0.021,0.412,-0.665,0.694,1,6577
"L_Rho_beta[1,3,3]",0.883,0.144,0.57,0.996,1.008,260
"L_Rho_beta[2,3,3]",0.882,0.054,0.783,0.947,1.004,582
"L_Rho_beta[3,3,3]",0.866,0.05,0.776,0.936,1,1410
"L_Rho_beta[1,4,3]",0.266,0.292,-0.24,0.73,1.005,973
"L_Rho_beta[2,4,3]",0.157,0.222,-0.196,0.538,1.002,2385
"L_Rho_beta[3,4,3]",0.143,0.379,-0.528,0.74,1,7864
"L_Rho_beta[1,4,4]",0.654,0.222,0.229,0.943,1.001,3487
"L_Rho_beta[2,4,4]",0.497,0.207,0.15,0.826,1,5396
"L_Rho_beta[3,4,4]",0.634,0.228,0.209,0.946,1,6039
"L_Rho_epsilon[1,2,1]",-0.021,0.047,-0.097,0.058,1,6147
"L_Rho_epsilon[2,2,1]",0.01,0.036,-0.05,0.069,1,6672
"L_Rho_epsilon[3,2,1]",-0.092,0.069,-0.205,0.024,1.001,7592
"L_Rho_epsilon[1,2,2]",0.999,0.002,0.995,1,1,6987
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1,7338
"L_Rho_epsilon[3,2,2]",0.993,0.007,0.979,1,1,7275
"z[1,1]",0.246,0.65,-0.822,1.308,1,8708
"z[2,1]",0.233,0.638,-0.813,1.279,1,8674
"z[3,1]",-0.224,0.73,-1.416,0.968,1.001,7870
"z[4,1]",0.278,0.731,-0.961,1.477,1,6519
"z[5,1]",-0.518,0.647,-1.55,0.561,1,7636
"z[6,1]",-0.314,0.646,-1.375,0.736,1,7269
"z[7,1]",-1.038,0.746,-2.267,0.221,1,7654
"z[8,1]",-0.275,0.774,-1.564,0.96,1,8560
"z[9,1]",0.943,0.756,-0.313,2.161,1,3724
"z[10,1]",-1.049,0.675,-2.148,0.045,1,6466
"z[11,1]",0.408,0.702,-0.758,1.549,1.001,4117
"z[12,1]",-0.72,0.69,-1.849,0.412,1,7302
"z[13,1]",1.065,0.727,-0.143,2.272,1.001,8331
"z[14,1]",-0.494,0.688,-1.619,0.62,1,8354
"z[15,1]",0.077,0.68,-1.043,1.191,1,8664
"z[16,1]",0.597,0.682,-0.524,1.721,1,8283
"z[17,1]",1.354,0.797,0.046,2.626,1,7948
"z[18,1]",-0.042,0.749,-1.283,1.171,1,8273
"z[19,1]",0.154,0.811,-1.187,1.48,1,4637
"z[20,1]",0.657,0.725,-0.54,1.837,1,8530
"z[21,1]",0.117,0.787,-1.164,1.412,1,8440
"z[22,1]",-0.868,0.739,-2.079,0.343,1,8402
"z[23,1]",-0.129,0.739,-1.326,1.104,1,8480
"z[24,1]",-0.218,0.646,-1.29,0.838,1,8398
"z[25,1]",-1.051,0.683,-2.163,0.071,1,8117
"z[26,1]",-0.567,0.719,-1.748,0.601,1,8103
"z[27,1]",0.906,0.711,-0.245,2.063,1,6303
"z[28,1]",-0.201,0.677,-1.33,0.928,1,8356
"z[29,1]",0.891,0.798,-0.435,2.207,1,8765
"z[30,1]",1,0.743,-0.224,2.208,1,6720
"z[31,1]",-0.109,0.66,-1.179,0.989,1.001,6010
"z[32,1]",1.719,0.7,0.58,2.868,1,7179
"z[33,1]",-0.731,0.673,-1.837,0.381,1,8496
"z[34,1]",1.502,0.789,0.204,2.802,1,7985
"z[35,1]",-0.051,0.652,-1.128,1.014,1.001,7756
"z[36,1]",0.497,0.814,-0.845,1.852,1,7005
"z[37,1]",0.087,0.696,-1.067,1.231,1.001,7241
"z[38,1]",0.406,0.736,-0.811,1.606,1,6667
"z[39,1]",-0.309,0.688,-1.458,0.82,1,6878
"z[40,1]",0.425,0.669,-0.689,1.53,1,8140
"z[41,1]",-0.318,0.739,-1.535,0.896,1,7445
"z[42,1]",-0.886,0.668,-1.965,0.23,1,6831
"z[43,1]",-0.149,0.698,-1.296,1.001,1,7908
"z[44,1]",-0.078,0.725,-1.26,1.11,1,8520
"z[45,1]",-0.29,0.786,-1.605,0.991,1,8579
"z[46,1]",-0.015,0.663,-1.116,1.077,1,6919
"z[47,1]",1.21,0.71,0.029,2.371,1,6926
"z[48,1]",-0.384,0.73,-1.573,0.818,1,8097
"z[49,1]",0.188,0.662,-0.905,1.277,1,6355
"z[50,1]",-0.504,0.683,-1.632,0.603,1,8202
"z[51,1]",-0.864,0.675,-1.974,0.242,1,8090
"z[52,1]",-1.082,0.686,-2.21,0.05,1.001,8363
"z[53,1]",-0.945,0.636,-1.983,0.101,1,8169
"z[54,1]",-0.583,0.682,-1.708,0.537,1.001,7739
"z[55,1]",-1.067,0.688,-2.198,0.065,1,7742
"z[56,1]",-0.038,0.681,-1.156,1.08,1,7683
"z[57,1]",-0.413,0.696,-1.559,0.73,1.001,6813
"z[58,1]",-0.623,0.647,-1.69,0.444,1,8562
"z[59,1]",-0.383,0.644,-1.439,0.673,1.001,8149
"z[60,1]",-0.367,0.702,-1.528,0.799,1,7081
"z[61,1]",0.022,0.653,-1.058,1.097,1,8538
"z[62,1]",1.192,0.696,0.043,2.332,1.001,7152
"z[63,1]",-0.129,0.65,-1.197,0.92,1,8202
"z[64,1]",-0.218,0.662,-1.303,0.856,1.001,7043
"z[65,1]",-0.849,0.664,-1.926,0.244,1,8261
"z[66,1]",-0.702,0.666,-1.798,0.375,1,5642
