parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.024,0.011,0.006,0.042,1,7735
"alpha[2,1]",0.038,0.016,0.012,0.064,1,7162
"alpha[3,1]",0.01,0.029,-0.037,0.057,1.001,7144
"alpha[1,2]",0.199,0.107,0.023,0.376,1,8034
"alpha[2,2]",-0.463,0.233,-0.851,-0.081,1,7497
"alpha[3,2]",0.639,0.412,-0.044,1.311,1.001,7858
"alpha[1,3]",-0.019,0.008,-0.032,-0.006,1.001,5848
"alpha[2,3]",-0.04,0.007,-0.052,-0.029,1.002,3160
"alpha[3,3]",-0.049,0.01,-0.066,-0.033,1.001,6483
"alpha[1,4]",0.063,0.077,-0.064,0.189,1,5713
"alpha[2,4]",0.198,0.108,0.023,0.376,1.001,2421
"alpha[3,4]",0.143,0.148,-0.105,0.382,1,7127
"mu_beta[1,1]",0.742,0.087,0.601,0.883,1,8574
"mu_beta[2,1]",3.362,0.19,3.048,3.678,1,7474
"mu_beta[3,1]",6.226,0.289,5.752,6.702,1.001,7616
"mu_beta[1,2]",0.065,0.039,0.003,0.129,1,8626
"mu_beta[2,2]",0.99,0.106,0.815,1.164,1.001,8208
"mu_beta[3,2]",2.544,0.275,2.092,3.006,1,8198
"mu_beta[1,3]",6.701,0.058,6.607,6.796,1,5569
"mu_beta[2,3]",5.876,0.087,5.732,6.019,1.001,2783
"mu_beta[3,3]",5.304,0.104,5.136,5.476,1.001,6839
"mu_beta[1,4]",-0.063,0.009,-0.078,-0.048,1,7695
"mu_beta[2,4]",-0.175,0.009,-0.19,-0.159,1,8227
"mu_beta[3,4]",-0.252,0.016,-0.278,-0.226,1,8528
"sigma_beta[1,1]",0.501,0.077,0.375,0.624,1,5933
"sigma_beta[2,1]",1.561,0.113,1.375,1.75,1,4486
"sigma_beta[3,1]",1.839,0.216,1.49,2.198,1,4385
"sigma_beta[1,2]",0.177,0.063,0.071,0.281,1.001,1397
"sigma_beta[2,2]",1.425,0.103,1.259,1.595,1.001,4147
"sigma_beta[3,2]",2.593,0.264,2.17,3.04,1,4674
"sigma_beta[1,3]",0.536,0.029,0.491,0.586,1,5246
"sigma_beta[2,3]",0.923,0.038,0.863,0.986,1.001,3646
"sigma_beta[3,3]",0.874,0.055,0.79,0.968,1,5133
"sigma_beta[1,4]",0.084,0.009,0.069,0.099,1,6049
"sigma_beta[2,4]",0.117,0.009,0.102,0.133,1,5623
"sigma_beta[3,4]",0.086,0.028,0.034,0.128,1,3026
"sigma_epsilon[1,1]",0.958,0.032,0.907,1.012,1,5419
"sigma_epsilon[2,1]",1.65,0.045,1.577,1.725,1.001,4529
"sigma_epsilon[3,1]",1.902,0.104,1.737,2.078,1.001,3024
"sigma_epsilon[1,2]",0.154,0.006,0.145,0.163,1.001,5647
"sigma_epsilon[2,2]",0.163,0.004,0.156,0.171,1,6300
"sigma_epsilon[3,2]",0.173,0.01,0.157,0.19,1,3665
"L_Rho_beta[1,2,1]",0.253,0.324,-0.276,0.778,1.001,2076
"L_Rho_beta[2,2,1]",0.577,0.12,0.38,0.777,1.001,2250
"L_Rho_beta[3,2,1]",0.568,0.148,0.323,0.816,1,2013
"L_Rho_beta[1,3,1]",0.172,0.127,-0.039,0.382,1.008,479
"L_Rho_beta[2,3,1]",-0.281,0.069,-0.393,-0.164,1.006,657
"L_Rho_beta[3,3,1]",-0.476,0.097,-0.629,-0.311,1.002,1724
"L_Rho_beta[1,4,1]",0.027,0.191,-0.287,0.345,1.001,1944
"L_Rho_beta[2,4,1]",-0.422,0.101,-0.586,-0.252,1.001,4700
"L_Rho_beta[3,4,1]",-0.19,0.258,-0.624,0.22,1,5007
"L_Rho_beta[1,2,2]",0.903,0.129,0.626,1,1.001,2529
"L_Rho_beta[2,2,2]",0.803,0.091,0.63,0.925,1.001,2250
"L_Rho_beta[3,2,2]",0.802,0.114,0.578,0.946,1,2012
"L_Rho_beta[1,3,2]",-0.048,0.276,-0.539,0.384,1.017,249
"L_Rho_beta[2,3,2]",-0.148,0.106,-0.314,0.034,1.009,397
"L_Rho_beta[3,3,2]",0.112,0.173,-0.148,0.412,1.002,943
"L_Rho_beta[1,4,2]",-0.456,0.3,-0.871,0.08,1.002,854
"L_Rho_beta[2,4,2]",-0.665,0.116,-0.846,-0.465,1.002,2013
"L_Rho_beta[3,4,2]",-0.266,0.291,-0.723,0.24,1,4484
"L_Rho_beta[1,3,3]",0.931,0.089,0.756,0.996,1.008,355
"L_Rho_beta[2,3,3]",0.94,0.02,0.903,0.969,1.002,1409
"L_Rho_beta[3,3,3]",0.846,0.083,0.698,0.943,1.003,1103
"L_Rho_beta[1,4,3]",0.26,0.193,-0.083,0.549,1.004,584
"L_Rho_beta[2,4,3]",0.065,0.078,-0.061,0.194,1.003,1557
"L_Rho_beta[3,4,3]",0.137,0.249,-0.249,0.561,1.001,4916
"L_Rho_beta[1,4,4]",0.722,0.196,0.318,0.946,1.002,1620
