parameter,mean,sd,q05,q95,rhat,ess
"L_Rho_beta[2,4,4]",0.577,0.113,0.365,0.73,1.001,2031
"L_Rho_beta[3,4,4]",0.794,0.179,0.406,0.976,1,3568
"L_Rho_epsilon[1,2,1]",0.036,0.05,-0.048,0.117,1.001,5053
"L_Rho_epsilon[2,2,1]",0.018,0.038,-0.045,0.082,1.001,5273
"L_Rho_epsilon[3,2,1]",-0.016,0.076,-0.139,0.11,1,6347
"L_Rho_epsilon[1,2,2]",0.998,0.002,0.993,1,1.001,6931
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1.001,7238
"L_Rho_epsilon[3,2,2]",0.997,0.004,0.989,1,1.001,6976
"z[1,1]",0.168,0.642,-0.887,1.236,1,8275
"z[2,1]",0.103,0.659,-0.987,1.195,1,5421
"z[3,1]",-0.281,0.743,-1.502,0.933,1,6217
"z[4,1]",1.129,0.785,-0.208,2.359,1,4087
"z[5,1]",-0.68,0.658,-1.775,0.401,1,4008
"z[6,1]",-0.289,0.641,-1.337,0.774,1,8400
"z[7,1]",-1.05,0.734,-2.256,0.165,1,9265
"z[8,1]",-0.267,0.798,-1.572,1.043,1.001,8659
"z[9,1]",1.174,0.833,-0.196,2.55,1.001,1735
"z[10,1]",-1.104,0.647,-2.164,-0.03,1,8145
"z[11,1]",0.612,0.728,-0.59,1.781,1,4614
"z[12,1]",-0.688,0.712,-1.843,0.496,1.001,4929
"z[13,1]",0.906,0.719,-0.256,2.093,1.001,9197
"z[14,1]",-0.357,0.684,-1.47,0.758,1,7304
"z[15,1]",-0.095,0.687,-1.224,1.034,1,7815
"z[16,1]",0.538,0.682,-0.561,1.665,1,6786
"z[17,1]",1.624,0.806,0.313,2.967,1,7744
"z[18,1]",-0.031,0.762,-1.254,1.239,1.003,3111
"z[19,1]",-0.018,0.731,-1.235,1.185,1,5365
"z[20,1]",0.58,0.73,-0.618,1.772,1,8428
"z[21,1]",0.084,0.786,-1.216,1.394,1,8870
"z[22,1]",-0.771,0.734,-1.955,0.427,1,9145
"z[23,1]",-0.061,0.734,-1.261,1.169,1.001,7425
"z[24,1]",-0.095,0.67,-1.21,0.987,1.001,6504
"z[25,1]",-0.66,0.723,-1.853,0.517,1.001,2552
"z[26,1]",-0.605,0.707,-1.762,0.562,1,8540
"z[27,1]",1.039,0.71,-0.125,2.211,1.001,7115
"z[28,1]",-0.224,0.69,-1.375,0.904,1,7678
"z[29,1]",0.831,0.807,-0.505,2.159,1.001,9101
"z[30,1]",1.072,0.761,-0.168,2.34,1,3942
"z[31,1]",-0.103,0.662,-1.164,1.023,1,7450
"z[32,1]",1.768,0.681,0.666,2.902,1,8699
"z[33,1]",-0.671,0.677,-1.784,0.436,1,8890
"z[34,1]",1.409,0.805,0.096,2.757,1,7576
"z[35,1]",-0.119,0.666,-1.219,0.956,1.001,5462
"z[36,1]",0.501,0.797,-0.797,1.836,1,9174
"z[37,1]",0.179,0.689,-0.975,1.308,1,8748
"z[38,1]",0.313,0.742,-0.917,1.548,1,4037
"z[39,1]",-0.202,0.687,-1.334,0.924,1,5772
"z[40,1]",0.202,0.665,-0.891,1.291,1,8495
"z[41,1]",-0.478,0.717,-1.648,0.704,1,7916
"z[42,1]",-0.754,0.657,-1.839,0.325,1,7225
"z[43,1]",-0.341,0.715,-1.524,0.803,1,5414
"z[44,1]",-0.272,0.734,-1.48,0.937,1,9624
"z[45,1]",-0.342,0.786,-1.615,0.958,1,9689
"z[46,1]",-0.166,0.657,-1.256,0.922,1,6506
"z[47,1]",1.248,0.72,0.078,2.418,1.001,5149
"z[48,1]",-0.318,0.739,-1.537,0.895,1,7943
"z[49,1]",-0.118,0.682,-1.265,0.998,1.001,2683
"z[50,1]",-0.468,0.676,-1.592,0.624,1,8925
"z[51,1]",-0.608,0.69,-1.721,0.529,1,6736
"z[52,1]",-0.895,0.688,-2.028,0.227,1,7780
"z[53,1]",-0.838,0.638,-1.874,0.198,1,8250
"z[54,1]",-0.597,0.681,-1.719,0.508,1,9094
"z[55,1]",-1.114,0.683,-2.229,0.009,1.001,7457
"z[56,1]",-0.083,0.674,-1.205,1.018,1.001,8170
"z[57,1]",-0.394,0.716,-1.587,0.764,1,5775
"z[58,1]",-0.657,0.645,-1.715,0.404,1,7806
"z[59,1]",-0.464,0.637,-1.514,0.575,1,7612
"z[60,1]",-0.417,0.671,-1.517,0.687,1.001,6438
"z[61,1]",-0.063,0.652,-1.138,1.013,1.001,6447
"z[62,1]",0.976,0.687,-0.184,2.07,1,8148
"z[63,1]",-0.062,0.647,-1.139,0.984,1,8326
"z[64,1]",-0.262,0.667,-1.343,0.866,1.001,3029
"z[65,1]",-0.651,0.646,-1.726,0.405,1,8398
"z[66,1]",-0.562,0.652,-1.604,0.533,1,5715
"z[67,1]",-0.415,0.725,-1.607,0.775,1,9090
"z[68,1]",-0.084,0.78,-1.35,1.215,1,5421
"z[69,1]",-0.97,0.673,-2.081,0.149,1,7699
"z[70,1]",0.216,0.711,-0.98,1.348,1,4361
"z[71,1]",0.153,0.66,-0.938,1.245,1,7280
"z[72,1]",1.741,0.726,0.518,2.933,1,7214
"z[73,1]",-0.043,0.639,-1.086,1.004,1,8899
"z[74,1]",2.176,0.681,1.067,3.292,1.001,3794
"z[75,1]",0.571,0.715,-0.612,1.732,1.003,2085
"z[76,1]",0.048,0.68,-1.057,1.176,1,6222
"z[77,1]",2.383,0.755,1.117,3.608,1,7292
"z[78,1]",-0.447,0.704,-1.602,0.708,1.001,4461
"z[79,1]",0.041,0.705,-1.102,1.203,1,7866
"z[80,1]",1.15,0.653,0.061,2.213,1,8439
"z[81,1]",-0.508,0.683,-1.64,0.619,1.001,8165
"z[82,1]",-0.787,0.693,-1.934,0.34,1.001,2174
"z[83,1]",-0.579,0.716,-1.762,0.599,1,8465
"z[84,1]",-0.635,0.662,-1.724,0.423,1,6123
"z[85,1]",0.604,0.662,-0.501,1.688,1.001,6705
"z[86,1]",0.598,0.673,-0.504,1.702,1,8489
"z[87,1]",-0.196,0.69,-1.337,0.955,1,8377
"z[88,1]",1.088,0.661,-0.003,2.175,1,6760
"z[89,1]",-0.733,0.668,-1.82,0.362,1.001,8328
"z[90,1]",0.792,0.735,-0.414,1.993,1.001,7554
"z[91,1]",-0.123,0.807,-1.452,1.194,1,9572
"z[92,1]",-0.329,0.652,-1.41,0.753,1,8767
"z[93,1]",-0.068,0.652,-1.131,1,1,7972
"z[94,1]",0.549,0.746,-0.666,1.8,1,6718
"z[95,1]",-0.786,0.687,-1.903,0.348,1,8321
"z[96,1]",0.336,0.735,-0.87,1.553,1,6927
"z[97,1]",-0.311,0.739,-1.52,0.913,1,6977
"z[98,1]",0.063,0.686,-1.058,1.171,1,8885
"z[99,1]",1.02,0.657,-0.063,2.098,1,6718
"z[100,1]",1.47,0.689,0.313,2.59,1.001,4213
"z[101,1]",-0.334,0.716,-1.512,0.828,1,6563
"z[102,1]",-0.534,0.639,-1.598,0.514,1,8709
"z[103,1]",-0.635,0.637,-1.675,0.414,1,7296
"z[104,1]",-0.415,0.678,-1.551,0.691,1,8295
"z[105,1]",0.418,0.671,-0.658,1.529,1,8830
"z[106,1]",-0.011,0.662,-1.091,1.094,1,6309
"z[107,1]",-0.447,0.661,-1.509,0.656,1,7088
"z[108,1]",0.903,0.699,-0.264,2.037,1.002,3620
"z[109,1]",-0.207,0.679,-1.32,0.902,1,7988
"z[110,1]",0.045,0.736,-1.154,1.272,1,5629
"z[111,1]",-0.268,0.674,-1.358,0.875,1,8925
"z[112,1]",-0.585,0.684,-1.714,0.525,1,7222
"z[113,1]",0.392,0.795,-0.896,1.707,1,9704
"z[114,1]",0.205,0.737,-1.025,1.403,1,9091
"z[115,1]",0.603,0.736,-0.608,1.802,1,8904
"z[116,1]",1.305,0.742,0.092,2.525,1,7573
"z[117,1]",-0.454,0.72,-1.625,0.713,1,9376
"z[118,1]",-0.158,0.799,-1.482,1.145,1,9131
"z[119,1]",0.186,0.649,-0.886,1.236,1,6412
"z[120,1]",0.275,0.652,-0.775,1.338,1,7311
"z[121,1]",-0.705,0.646,-1.76,0.362,1,8384
"z[122,1]",-0.161,0.721,-1.337,1.036,1.001,9315
"z[123,1]",-0.563,0.734,-1.77,0.647,1,7171
"z[124,1]",-0.357,0.726,-1.541,0.849,1,8008
"z[125,1]",-0.968,0.801,-2.261,0.368,1,8707
"z[126,1]",-0.551,0.676,-1.662,0.565,1,5249
"z[127,1]",-0.285,0.724,-1.48,0.909,1,9011
"z[128,1]",1.695,0.737,0.493,2.909,1,7221
"z[129,1]",1.224,0.801,-0.105,2.538,1,8568
"z[130,1]",-0.603,0.677,-1.682,0.517,1,4659
"z[131,1]",-0.537,0.636,-1.569,0.507,1,9048
"z[132,1]",-0.509,0.651,-1.572,0.551,1,7581
"z[133,1]",0.147,0.713,-1.041,1.322,1,5562
"z[134,1]",0.299,0.688,-0.835,1.421,1,7811
"z[135,1]",-0.898,0.75,-2.128,0.35,1,4218
"z[136,1]",0.597,0.725,-0.631,1.769,1,8602
"z[137,1]",-0.718,0.722,-1.893,0.448,1,8339
"z[138,1]",-0.662,0.693,-1.823,0.475,1,9136
"z[139,1]",-0.512,0.687,-1.621,0.618,1,7756
"z[140,1]",0.302,0.727,-0.88,1.51,1,8494
"z[141,1]",0.337,0.732,-0.866,1.545,1,7915
"z[142,1]",-0.563,0.669,-1.638,0.541,1,5935
"z[143,1]",-0.011,0.8,-1.321,1.297,1.001,8796
"z[144,1]",0.417,0.734,-0.777,1.603,1,8454
"z[145,1]",0.084,0.765,-1.199,1.348,1.001,3955
"z[146,1]",-0.793,0.728,-1.983,0.423,1,8991
"z[147,1]",-0.754,0.807,-2.074,0.579,1,9449
"z[148,1]",-0.317,0.673,-1.428,0.768,1.001,6318
"z[149,1]",-0.947,0.723,-2.124,0.253,1,7692
"z[150,1]",-0.212,0.701,-1.364,0.931,1,7669
"z[151,1]",-0.609,0.646,-1.653,0.441,1,7184
"z[152,1]",0.358,0.709,-0.807,1.522,1.002,2567
"z[153,1]",-0.103,0.692,-1.24,1.03,1,7712
"z[154,1]",0.703,0.631,-0.324,1.744,1,8209
"z[155,1]",0.071,0.671,-1.016,1.189,1,3799
"z[156,1]",-0.658,0.673,-1.763,0.455,1,8818
"z[157,1]",0.122,0.729,-1.062,1.329,1,8859
"z[158,1]",0.22,0.727,-0.975,1.426,1,8212
"z[159,1]",-0.003,0.743,-1.213,1.224,1.001,9047
"z[160,1]",0.286,0.683,-0.849,1.418,1,7679
"z[161,1]",0.146,0.79,-1.158,1.464,1,9200
"z[162,1]",-0.174,0.685,-1.288,0.963,1,6415
"z[163,1]",-0.108,0.647,-1.172,0.964,1,8376
"z[164,1]",-0.205,0.749,-1.443,1.025,1,7157
"z[165,1]",0.316,0.703,-0.83,1.459,1,4449
"z[166,1]",-0.65,0.686,-1.768,0.461,1,4524
"z[167,1]",-0.214,0.788,-1.507,1.084,1,8970
"z[168,1]",0.962,0.749,-0.271,2.197,1,7414
"z[169,1]",0.279,0.777,-0.983,1.562,1,9553
"z[170,1]",1.314,0.736,0.097,2.524,1,8698
"z[171,1]",-0.548,0.671,-1.647,0.562,1.001,8071
"z[172,1]",-0.563,0.722,-1.739,0.621,1,8585
"z[173,1]",-0.349,0.733,-1.537,0.842,1,7579
"z[174,1]",0.307,0.79,-1.003,1.593,1,8334
"z[175,1]",-0.78,0.733,-1.973,0.451,1.001,2082
"z[176,1]",-0.279,0.732,-1.48,0.93,1,7309
"z[177,1]",-0.686,0.646,-1.733,0.355,1,6879
"z[178,1]",1.701,0.704,0.51,2.83,1,6374
"z[179,1]",0.784,0.687,-0.361,1.894,1,7963
"z[180,1]",-0.346,0.792,-1.658,0.932,1,9485
"z[181,1]",-0.662,0.729,-1.84,0.527,1,8033
"z[182,1]",1.804,0.859,0.363,3.218,1,4235
"z[183,1]",1.481,0.687,0.362,2.628,1.001,7695
"z[184,1]",0.097,0.696,-1.03,1.258,1,7722
"z[185,1]",0.217,0.706,-0.939,1.386,1,8656
"z[186,1]",0.481,0.667,-0.618,1.577,1,6081
"z[187,1]",-0.471,0.633,-1.506,0.566,1,7648
"z[188,1]",0.033,0.679,-1.087,1.15,1,8160
"z[189,1]",0.104,0.687,-1.035,1.236,1,7832
"z[190,1]",-0.904,0.722,-2.089,0.27,1,7182
"z[191,1]",0.271,0.88,-1.195,1.739,1,8373
"z[192,1]",0.2,0.788,-1.085,1.494,1,9898
"z[193,1]",-0.015,0.786,-1.325,1.262,1,6601
"z[194,1]",-0.481,0.727,-1.679,0.698,1,7964
"z[195,1]",-0.96,0.692,-2.094,0.166,1,8795
"z[196,1]",-0.23,0.684,-1.347,0.888,1.001,8517
"z[197,1]",-1.271,0.716,-2.444,-0.092,1.002,1940
"z[198,1]",0.252,0.474,-0.529,1.036,1,7683
"z[199,1]",-0.922,0.467,-1.697,-0.149,1,8874
"z[200,1]",0.239,0.535,-0.623,1.125,1,7975
"z[201,1]",0.252,0.767,-1.048,1.477,1.001,2402
"z[202,1]",-0.35,0.471,-1.11,0.427,1,7554
"z[203,1]",-1.003,0.47,-1.769,-0.227,1,7350
"z[204,1]",-0.509,0.479,-1.292,0.276,1,8047
"z[205,1]",0.157,0.502,-0.667,0.978,1,9163
"z[206,1]",-0.937,0.518,-1.8,-0.09,1,7880
"z[207,1]",-1.02,0.466,-1.779,-0.263,1,7961
"z[208,1]",0.31,0.493,-0.479,1.125,1,6323
"z[209,1]",0.515,0.468,-0.243,1.274,1.001,6413
"z[210,1]",-0.27,0.487,-1.049,0.544,1,6185
"z[211,1]",-0.744,0.506,-1.577,0.095,1,7726
"z[212,1]",-0.088,0.521,-0.937,0.782,1,6517
"z[213,1]",-0.459,0.495,-1.268,0.353,1,8723
"z[214,1]",0.185,0.569,-0.735,1.109,1,6026
"z[215,1]",-0.481,0.499,-1.301,0.344,1,8672
"z[216,1]",0.495,0.461,-0.252,1.247,1,7300
"z[217,1]",-0.465,0.465,-1.231,0.294,1,7671
"z[218,1]",-0.665,0.484,-1.472,0.121,1,7334
"z[219,1]",-0.835,0.48,-1.631,-0.048,1.001,4350
"z[220,1]",0.849,0.514,0.009,1.702,1,5432
"z[221,1]",1.367,0.556,0.452,2.282,1,8654
"z[222,1]",-0.013,0.475,-0.773,0.778,1,7464
"z[223,1]",-0.982,0.462,-1.736,-0.215,1,7945
"z[224,1]",-0.569,0.496,-1.392,0.236,1,8764
"z[225,1]",-0.642,0.484,-1.454,0.144,1,7111
"z[226,1]",0.222,0.469,-0.549,1.006,1,7893
"z[227,1]",0.23,0.491,-0.565,1.047,1.001,4867
"z[228,1]",0.103,0.48,-0.668,0.903,1,7299
"z[229,1]",0.818,0.473,0.049,1.594,1,8023
"z[230,1]",0.812,0.476,0.042,1.604,1.001,8320
"z[231,1]",0.455,0.486,-0.358,1.236,1,4767
"z[232,1]",-0.073,0.469,-0.834,0.711,1.001,6953
"z[233,1]",-0.123,0.473,-0.905,0.643,1,6835
"z[234,1]",-0.171,0.467,-0.922,0.606,1,6204
"z[235,1]",-0.027,0.471,-0.801,0.751,1,6515
"z[236,1]",-0.223,0.498,-1.047,0.588,1,8077
"z[237,1]",-0.725,0.465,-1.508,0.037,1,7497
"z[238,1]",1.792,0.493,0.972,2.586,1,6344
"z[239,1]",-0.775,0.464,-1.534,-0.021,1,8293
"z[240,1]",-0.074,0.474,-0.846,0.712,1.001,7842
"z[241,1]",0.191,0.477,-0.59,0.974,1,7550
"z[242,1]",-0.419,0.569,-1.346,0.521,1,7498
"z[243,1]",0.187,0.509,-0.651,1.037,1,7385
"z[244,1]",-0.529,0.478,-1.319,0.252,1,8514
"z[245,1]",-1.439,0.561,-2.376,-0.5,1,9255
"z[246,1]",-0.74,0.484,-1.533,0.058,1,8431
"z[247,1]",-0.982,0.493,-1.796,-0.184,1,8584
"z[248,1]",0.054,0.5,-0.757,0.892,1.001,7873
"z[249,1]",-1.038,0.468,-1.807,-0.29,1,8186
"z[250,1]",-0.296,0.492,-1.106,0.519,1,8715
"z[251,1]",-0.14,0.492,-0.942,0.661,1,7289
"z[252,1]",0.033,0.521,-0.82,0.9,1,6776
"z[253,1]",1.058,0.513,0.213,1.899,1,7330
"z[254,1]",0.398,0.464,-0.374,1.17,1,8559
"z[255,1]",1.854,0.554,0.949,2.744,1,6021
"z[256,1]",-0.449,0.531,-1.324,0.411,1,8436
"z[257,1]",1.215,0.475,0.43,1.989,1.001,7001
"z[258,1]",-0.417,0.496,-1.233,0.396,1,9081
"z[259,1]",0.253,0.503,-0.575,1.066,1.001,7418
"z[260,1]",-1.023,0.478,-1.805,-0.249,1,7740
"z[261,1]",-0.777,0.507,-1.622,0.04,1.001,5705
"z[262,1]",-0.353,0.464,-1.119,0.399,1,7699
"z[263,1]",-0.823,0.545,-1.712,0.071,1,6731
"z[264,1]",0.064,0.461,-0.704,0.824,1,8729
"z[265,1]",-0.134,0.565,-1.072,0.792,1,7443
"z[266,1]",-0.717,0.466,-1.474,0.059,1,8074
"z[267,1]",-1.198,0.461,-1.951,-0.439,1,8180
"z[268,1]",1.413,0.649,0.345,2.482,1,7120
"z[269,1]",-0.098,0.523,-0.951,0.754,1,7565
"z[270,1]",0.793,0.497,-0.012,1.614,1,8540
"z[271,1]",0.049,0.551,-0.857,0.957,1,8591
"z[272,1]",-0.295,0.516,-1.163,0.542,1,7266
"z[273,1]",0.759,0.584,-0.215,1.717,1,3492
"z[274,1]",1.463,0.472,0.711,2.245,1,7949
"z[275,1]",1.073,0.554,0.166,1.977,1,9092
"z[276,1]",-0.795,0.462,-1.56,-0.039,1,7927
"z[277,1]",2.41,0.486,1.616,3.213,1,6914
"z[278,1]",0.064,0.474,-0.721,0.842,1.001,8746
"z[279,1]",-0.053,0.509,-0.907,0.756,1,6272
"z[280,1]",3.84,0.559,2.923,4.747,1.001,5699
"z[281,1]",0.06,0.478,-0.714,0.843,1,8453
"z[282,1]",-0.333,0.505,-1.154,0.49,1,8713
"z[283,1]",0.189,0.483,-0.595,1.001,1,6484
"z[284,1]",-0.187,0.468,-0.953,0.582,1.001,7458
"z[285,1]",0.536,0.458,-0.198,1.301,1,7897
"z[286,1]",0.669,0.466,-0.079,1.439,1,7759
"z[287,1]",1.87,0.537,0.998,2.775,1,8462
"z[288,1]",0.775,0.466,0.029,1.538,1,8075
"z[289,1]",1.783,0.474,0.998,2.57,1,8147
"z[290,1]",-0.454,0.509,-1.287,0.395,1.001,5711
"z[291,1]",0.322,0.66,-0.76,1.414,1,8841
"z[292,1]",0.599,0.493,-0.202,1.417,1.001,4735
"z[293,1]",1.873,0.473,1.11,2.664,1,7118
"z[294,1]",-0.241,0.504,-1.076,0.582,1,8853
"z[295,1]",-1.175,0.516,-2.027,-0.328,1,7791
"z[296,1]",1.039,0.517,0.185,1.877,1,8334
"z[297,1]",1.149,0.49,0.326,1.941,1,6734
"z[298,1]",-0.903,0.496,-1.71,-0.088,1,7978
"z[299,1]",0.325,0.47,-0.435,1.104,1.001,5901
"z[300,1]",1.392,0.488,0.591,2.193,1,8939
"z[301,1]",0.642,0.562,-0.275,1.575,1,9092
"z[302,1]",1.607,0.563,0.682,2.541,1,9339
"z[303,1]",-0.855,0.466,-1.622,-0.078,1,8105
"z[304,1]",1.333,0.526,0.471,2.21,1,7518
"z[305,1]",-0.622,0.467,-1.4,0.145,1,6378
"z[306,1]",0.626,0.528,-0.256,1.498,1,7571
"z[307,1]",1.008,0.495,0.193,1.835,1,9097
"z[308,1]",0.371,0.472,-0.419,1.136,1.001,8230
"z[309,1]",0.415,0.469,-0.36,1.187,1,7459
"z[310,1]",-1.096,0.489,-1.899,-0.308,1.001,8002
"z[311,1]",-0.061,0.468,-0.835,0.706,1,7896
"z[312,1]",-1.032,0.465,-1.795,-0.266,1,8081
"z[313,1]",-1.001,0.52,-1.844,-0.149,1,8258
"z[314,1]",-1.35,0.487,-2.161,-0.55,1,7050
"z[315,1]",0.919,0.476,0.151,1.713,1,8072
"z[316,1]",0.27,0.498,-0.556,1.098,1,7976
"z[317,1]",-0.742,0.472,-1.514,0.031,1,6594
"z[318,1]",1.142,0.498,0.316,1.958,1,9321
"z[319,1]",-0.512,0.511,-1.333,0.333,1,5131
"z[320,1]",-0.907,0.488,-1.716,-0.111,1,8046
"z[321,1]",-0.164,0.505,-0.982,0.655,1,5921
"z[322,1]",0.397,0.589,-0.601,1.33,1,7864
"z[323,1]",0.895,0.462,0.127,1.656,1,8155
"z[324,1]",-0.982,0.508,-1.813,-0.144,1.001,8992
"z[325,1]",-0.414,0.464,-1.178,0.348,1,8312
"z[326,1]",0.877,0.513,0.026,1.734,1,7870
"z[327,1]",-0.869,0.492,-1.67,-0.058,1,7093
"z[328,1]",-0.594,0.455,-1.333,0.154,1,6350
"z[329,1]",0.936,0.491,0.126,1.73,1.001,5249
"z[330,1]",0.46,0.492,-0.351,1.267,1.001,8040
"z[331,1]",-0.601,0.463,-1.377,0.167,1,7852
"z[332,1]",0.747,0.469,-0.018,1.519,1,8341
"z[333,1]",0.556,0.478,-0.219,1.35,1,7232
"z[334,1]",-0.221,0.499,-1.037,0.596,1,8554
"z[335,1]",-0.047,0.462,-0.803,0.714,1,6972
"z[336,1]",-0.793,0.504,-1.64,0.032,1,8544
"z[337,1]",-0.549,0.465,-1.322,0.208,1,7986
"z[338,1]",-0.3,0.462,-1.077,0.446,1,6372
"z[339,1]",0.386,0.495,-0.404,1.228,1,5034
"z[340,1]",0.981,0.476,0.201,1.778,1,7886
"z[341,1]",0.732,0.495,-0.084,1.567,1.001,6673
"z[342,1]",0.961,0.46,0.208,1.717,1,7210
"z[343,1]",-0.561,0.467,-1.329,0.206,1,8029
"z[344,1]",0.647,0.502,-0.18,1.495,1,8098
"z[345,1]",0.605,0.499,-0.213,1.43,1,8421
"z[346,1]",0.578,0.462,-0.163,1.346,1,8427
"z[347,1]",0.364,0.564,-0.565,1.277,1.001,9444
"z[348,1]",-0.366,0.465,-1.144,0.396,1,7355
"z[349,1]",0.694,0.477,-0.084,1.479,1.001,8197
"z[350,1]",-0.458,0.496,-1.259,0.375,1,7351
"z[351,1]",-0.634,0.509,-1.464,0.209,1,8283
"z[352,1]",-1.053,0.475,-1.823,-0.287,1.001,7623
"z[353,1]",1.074,0.462,0.311,1.836,1.001,8278
"z[354,1]",0.084,0.474,-0.69,0.868,1,8019
"z[355,1]",-0.689,0.501,-1.522,0.128,1,7929
"z[356,1]",1.109,0.484,0.306,1.894,1.001,8634
"z[357,1]",0.191,0.481,-0.61,0.976,1,8440
"z[358,1]",0.481,0.659,-0.593,1.559,1,9175
"z[359,1]",-0.851,0.498,-1.659,-0.035,1,8032
"z[360,1]",-0.408,0.492,-1.226,0.403,1,8752
"z[361,1]",0.021,0.473,-0.735,0.811,1,7025
