parameter,mean,sd,q05,q95,rhat,ess
"z[547,4]",0.063,0.86,-1.368,1.446,1,9003
"z[548,4]",-0.848,0.939,-2.317,0.759,1,6207
"z[549,4]",0.833,0.899,-0.673,2.276,1,7640
"z[550,4]",0.22,0.91,-1.27,1.729,1,8007
"z[551,4]",0.119,0.963,-1.455,1.677,1,9154
"z[552,4]",0.05,0.946,-1.527,1.607,1,9635
"z[553,4]",-0.519,0.881,-1.929,0.952,1,8795
"z[554,4]",0.065,0.985,-1.574,1.673,1,9333
"z[555,4]",0.374,0.848,-1.052,1.725,1,8538
"z[556,4]",-0.267,0.909,-1.765,1.234,1,9076
"z[557,4]",0.298,0.855,-1.125,1.71,1.001,8902
"z[558,4]",-0.7,0.892,-2.11,0.812,1,7780
"z[559,4]",0.089,0.863,-1.361,1.488,1,8916
"z[560,4]",-0.306,0.953,-1.876,1.23,1,9344
"z[561,4]",-0.703,0.91,-2.148,0.832,1.001,7165
"z[562,4]",-0.173,0.848,-1.552,1.218,1,8952
"z[563,4]",0.4,0.871,-1.041,1.834,1,8570
"z[564,4]",-0.543,0.872,-1.955,0.921,1,8409
"z[565,4]",0.077,0.987,-1.541,1.719,1,9269
"z[566,4]",0.52,0.875,-0.949,1.938,1.001,8696
"z[567,4]",0.243,0.972,-1.367,1.834,1,8782
"z[568,4]",0.286,0.873,-1.137,1.717,1,8817
"z[569,4]",-0.207,0.856,-1.619,1.215,1,8994
"z[570,4]",-0.29,0.879,-1.712,1.159,1,8429
"z[571,4]",-0.084,0.914,-1.574,1.421,1.002,9377
"z[572,4]",-0.838,0.92,-2.284,0.751,1,6497
"z[573,4]",0.537,0.873,-0.944,1.933,1,8076
"z[574,4]",0.264,0.961,-1.307,1.839,1,9033
"z[575,4]",0.057,0.989,-1.569,1.679,1.001,9620
"z[576,4]",0.083,0.867,-1.354,1.51,1.001,9049
"z[577,4]",0.098,0.948,-1.445,1.654,1,9203
"z[578,4]",0.32,0.922,-1.205,1.814,1,9024
"z[579,4]",-0.34,0.908,-1.826,1.159,1,8896
"z[580,4]",0.318,0.854,-1.121,1.698,1,8770
"z[581,4]",0.504,0.879,-0.955,1.919,1,8403
"z[582,4]",-0.351,0.959,-1.913,1.216,1,9257
"z[583,4]",-0.472,0.869,-1.866,1,1,7914
"z[584,4]",0.286,0.913,-1.222,1.768,1,9035
"z[585,4]",0.529,0.885,-0.932,1.961,1,8473
"z[586,4]",-0.107,0.98,-1.726,1.511,1,9692
"z[587,4]",0.482,0.893,-1.004,1.914,1,8460
"z[588,4]",0.291,0.86,-1.138,1.688,1,8455
"z[589,4]",-0.032,0.869,-1.441,1.383,1,9056
"z[590,4]",0.343,0.926,-1.183,1.867,1,8902
"z[591,4]",-0.202,0.86,-1.59,1.24,1,8731
"z[592,4]",0.054,0.862,-1.372,1.458,1,8840
"z[593,4]",0.067,0.876,-1.369,1.506,1,9088
"z[594,4]",-0.084,0.846,-1.483,1.303,1,8175
"z[595,4]",-0.028,0.954,-1.605,1.515,1,9001
"z[596,4]",-0.739,1.02,-2.406,0.928,1,7558
"z[597,4]",0.016,0.87,-1.421,1.473,1,9223
"z[598,4]",0.173,0.839,-1.235,1.549,1,8954
"z[599,4]",0.104,0.991,-1.51,1.734,1,9512
"z[600,4]",-0.024,0.971,-1.596,1.572,1,9586
"z[601,4]",0.262,0.858,-1.154,1.664,1,8557
"z[602,4]",0.043,0.911,-1.454,1.55,1.001,10068
"z[603,4]",0.181,0.968,-1.424,1.746,1,8813
"z[604,4]",-0.065,0.857,-1.468,1.345,1,9149
"z[605,4]",0.067,0.859,-1.34,1.493,1,9233
"z[606,4]",0.235,0.96,-1.356,1.789,1,8779
"z[607,4]",0.032,0.841,-1.362,1.403,1,8713
"z[608,4]",0.142,0.955,-1.441,1.718,1,9024
"z[609,4]",-0.055,0.999,-1.694,1.578,1,9270
"z[610,4]",-0.085,0.989,-1.702,1.554,1,9440
"z[611,4]",0.116,0.974,-1.489,1.716,1.001,9092
"z[612,4]",0.556,0.972,-1.046,2.145,1,8135
"z[613,4]",-1.015,0.899,-2.425,0.511,1,6428
"z[614,4]",-0.035,0.961,-1.603,1.55,1,9491
"z[615,4]",-0.059,0.952,-1.632,1.509,1,9688
"z[616,4]",-0.317,0.97,-1.885,1.308,1,8753
"z[617,4]",-0.41,0.96,-1.995,1.183,1,7891
"z[618,4]",-0.479,0.865,-1.847,0.976,1,8074
"z[619,4]",-0.036,0.983,-1.636,1.58,1,9442
"z[620,4]",-0.201,0.999,-1.83,1.423,1,9301
"z[621,4]",0.279,0.921,-1.252,1.786,1,8990
"z[622,4]",0.215,0.983,-1.385,1.81,1,8869
"z[623,4]",0.094,0.908,-1.388,1.6,1,8515
"z[624,4]",-0.06,0.921,-1.578,1.434,1,9285
"z[625,4]",0.348,0.978,-1.29,1.939,1,8378
"z[626,4]",-1.281,0.985,-2.815,0.416,1.001,5508
"z[627,4]",0.837,0.916,-0.693,2.282,1.001,6765
"z[628,4]",0.281,0.966,-1.353,1.856,1,7994
"z[629,4]",0.256,0.988,-1.366,1.884,1,9275
"z[630,4]",0.027,1.002,-1.658,1.678,1,9747
"z[631,4]",0.032,0.993,-1.628,1.651,1,9576
"z[632,4]",-0.627,1.001,-2.276,1.046,1,8256
"z[633,4]",0.51,0.873,-0.939,1.922,1,8437
"z[634,4]",0.313,0.942,-1.246,1.864,1,8474
"z[635,4]",0.226,0.94,-1.362,1.753,1,9304
"z[636,4]",0.034,0.861,-1.383,1.443,1,8405
"z[637,4]",0.036,0.932,-1.497,1.552,1,9111
"z[638,4]",-0.485,0.882,-1.9,0.969,1,8033
"z[639,4]",0.227,0.972,-1.396,1.814,1,9081
"z[640,4]",0.259,0.959,-1.315,1.837,1,8556
"z[641,4]",-1.412,0.968,-2.9,0.282,1,4719
"z[642,4]",-0.124,0.917,-1.621,1.392,1,9773
"z[643,4]",-0.36,0.967,-1.949,1.242,1.001,7841
"z[644,4]",0.04,0.989,-1.601,1.657,1,9822
"z[645,4]",0.324,0.95,-1.264,1.867,1,9554
"z[646,4]",0.108,0.953,-1.459,1.685,1,9276
"z[647,4]",-0.073,0.951,-1.641,1.486,1,9327
"z[648,4]",-0.461,0.869,-1.851,1.037,1.001,8262
"z[649,4]",-0.33,0.857,-1.735,1.075,1,7922
"z[650,4]",0.036,0.995,-1.608,1.699,1,9421
"z[651,4]",-0.014,0.925,-1.518,1.527,1.001,9502
"z[652,4]",-0.172,0.844,-1.545,1.216,1,8967
"z[653,4]",-0.218,0.98,-1.819,1.403,1,8447
"z[654,4]",0.175,0.889,-1.297,1.615,1,8942
"z[655,4]",-0.504,0.895,-1.925,0.977,1,7305
"z[656,4]",-0.579,0.897,-2.002,0.924,1,7952
"z[657,4]",0.526,0.91,-1.031,2.006,1,8261
"z[658,4]",0.217,0.965,-1.388,1.799,1,9832
"z[659,4]",0.19,0.947,-1.386,1.745,1,8748
"z[660,4]",0.015,0.985,-1.598,1.647,1,9528
"z[661,4]",0.346,0.972,-1.291,1.927,1,9297
"z[662,4]",0.248,0.956,-1.337,1.828,1.001,9070
"z[663,4]",-0.126,0.991,-1.763,1.531,1,8786
"mu_y[1,1]",-0.59,0.156,-0.843,-0.333,1,8920
"mu_y[2,1]",-0.578,0.151,-0.825,-0.329,1,9049
"mu_y[3,1]",-0.564,0.151,-0.812,-0.313,1,9119
"mu_y[4,1]",-0.534,0.167,-0.807,-0.261,1,9078
"mu_y[5,1]",-0.515,0.186,-0.82,-0.213,1,8974
"mu_y[6,1]",-0.758,0.155,-1.012,-0.506,1,7537
"mu_y[7,1]",-0.764,0.15,-1.012,-0.52,1,8780
"mu_y[8,1]",-0.77,0.149,-1.017,-0.528,1,9395
"mu_y[9,1]",-0.783,0.167,-1.06,-0.512,1,8889
"mu_y[10,1]",-0.792,0.189,-1.104,-0.486,1,6981
"mu_y[11,1]",-0.78,0.174,-1.066,-0.492,1,7629
"mu_y[12,1]",-0.809,0.187,-1.12,-0.501,1,8587
"mu_y[13,1]",-0.825,0.212,-1.184,-0.481,1,7547
"mu_y[14,1]",-0.585,0.168,-0.861,-0.311,1.001,8462
"mu_y[15,1]",-0.532,0.162,-0.8,-0.268,1,9188
"mu_y[16,1]",-0.479,0.177,-0.768,-0.189,1,8777
"mu_y[17,1]",-0.432,0.205,-0.759,-0.09,1,7971
"mu_y[18,1]",-1.097,0.158,-1.359,-0.839,1.001,6873
"mu_y[19,1]",-1.085,0.152,-1.336,-0.837,1,8143
"mu_y[20,1]",-1.066,0.152,-1.317,-0.815,1,8866
"mu_y[21,1]",-1.05,0.162,-1.32,-0.785,1,8839
"mu_y[22,1]",-1.024,0.191,-1.341,-0.713,1,8057
"mu_y[23,1]",-0.971,0.153,-1.223,-0.721,1,8192
"mu_y[24,1]",-0.97,0.149,-1.219,-0.725,1,8337
"mu_y[25,1]",-0.969,0.15,-1.217,-0.722,1.001,8864
"mu_y[26,1]",-0.968,0.163,-1.234,-0.701,1,9041
"mu_y[27,1]",-0.966,0.19,-1.286,-0.663,1.001,8748
"mu_y[28,1]",-1,0.179,-1.302,-0.709,1,8234
"mu_y[29,1]",-0.992,0.179,-1.289,-0.696,1,8627
"mu_y[30,1]",-0.983,0.185,-1.294,-0.677,1,9007
"mu_y[31,1]",-0.81,0.189,-1.124,-0.502,1,8119
"mu_y[32,1]",-0.803,0.191,-1.119,-0.491,1,8382
"mu_y[33,1]",-0.651,0.197,-0.977,-0.333,1,2560
"mu_y[34,1]",-0.509,0.169,-0.787,-0.228,1,6926
"mu_y[35,1]",-0.371,0.187,-0.672,-0.06,1,6374
"mu_y[36,1]",-0.231,0.239,-0.607,0.178,1,2947
"mu_y[37,1]",-0.95,0.16,-1.216,-0.69,1.001,8563
"mu_y[38,1]",-0.949,0.155,-1.208,-0.695,1.001,8753
"mu_y[39,1]",-0.948,0.155,-1.2,-0.696,1,8821
"mu_y[40,1]",-0.945,0.169,-1.228,-0.674,1,8735
"mu_y[41,1]",-0.943,0.197,-1.268,-0.634,1,8470
"mu_y[42,1]",-0.745,0.166,-1.019,-0.471,1.001,7323
"mu_y[43,1]",-0.722,0.162,-0.988,-0.456,1,8761
"mu_y[44,1]",-0.7,0.163,-0.965,-0.43,1,8974
"mu_y[45,1]",-0.614,0.212,-0.952,-0.256,1.001,6633
"mu_y[46,1]",-0.919,0.174,-1.206,-0.632,1.001,3967
"mu_y[47,1]",-0.965,0.162,-1.23,-0.699,1,8520
"mu_y[48,1]",-1.006,0.175,-1.293,-0.72,1,8772
"mu_y[49,1]",-1.054,0.212,-1.419,-0.715,1.002,5889
"mu_y[50,1]",-0.569,0.182,-0.865,-0.268,1,8472
"mu_y[51,1]",-0.544,0.18,-0.836,-0.245,1,8676
"mu_y[52,1]",-0.489,0.195,-0.801,-0.163,1,8748
"mu_y[53,1]",-0.941,0.164,-1.214,-0.675,1,8195
"mu_y[54,1]",-0.918,0.161,-1.186,-0.655,1.001,8939
"mu_y[55,1]",-0.894,0.164,-1.166,-0.624,1.001,9198
"mu_y[56,1]",-0.85,0.185,-1.156,-0.545,1.001,8362
"mu_y[57,1]",-0.801,0.162,-1.07,-0.535,1,8442
"mu_y[58,1]",-0.799,0.16,-1.062,-0.536,1,8948
"mu_y[59,1]",-0.796,0.163,-1.063,-0.528,1,9058
"mu_y[60,1]",-0.791,0.184,-1.09,-0.482,1,9012
"mu_y[61,1]",-0.705,0.164,-0.975,-0.432,1.001,7240
"mu_y[62,1]",-0.693,0.161,-0.956,-0.428,1,8671
"mu_y[63,1]",-0.667,0.167,-0.939,-0.389,1,9155
"mu_y[64,1]",-0.642,0.19,-0.949,-0.322,1,8716
"mu_y[65,1]",-0.487,0.202,-0.813,-0.148,1.001,8195
"mu_y[66,1]",-0.466,0.202,-0.797,-0.126,1,8957
"mu_y[67,1]",-0.866,0.176,-1.156,-0.577,1.001,7390
"mu_y[68,1]",-0.875,0.177,-1.17,-0.584,1.001,8831
"mu_y[69,1]",-0.89,0.197,-1.212,-0.565,1.001,8409
"mu_y[70,1]",-0.794,0.166,-1.065,-0.522,1.001,7119
"mu_y[71,1]",-0.759,0.163,-1.025,-0.489,1,8241
"mu_y[72,1]",-0.689,0.174,-0.97,-0.4,1.001,8394
"mu_y[73,1]",-0.619,0.203,-0.942,-0.278,1.001,6505
"mu_y[74,1]",-0.694,0.176,-0.98,-0.399,1.001,7984
"mu_y[75,1]",-0.679,0.176,-0.965,-0.389,1.001,8525
"mu_y[76,1]",-0.664,0.181,-0.961,-0.369,1.001,8816
"mu_y[77,1]",-0.766,0.186,-1.072,-0.458,1.001,8938
"mu_y[78,1]",-0.761,0.188,-1.069,-0.45,1.001,8883
"mu_y[79,1]",-1.096,0.174,-1.388,-0.81,1.001,9242
"mu_y[80,1]",-1.086,0.173,-1.375,-0.8,1.001,9416
"mu_y[81,1]",-1.076,0.179,-1.366,-0.784,1.001,9440
"mu_y[82,1]",-0.822,0.174,-1.107,-0.536,1,7907
"mu_y[83,1]",-0.809,0.176,-1.097,-0.52,1,8725
"mu_y[84,1]",-0.797,0.195,-1.121,-0.478,1,8544
"mu_y[85,1]",-0.861,0.156,-1.119,-0.607,1,7203
"mu_y[86,1]",-0.847,0.152,-1.096,-0.6,1,8171
"mu_y[87,1]",-0.831,0.152,-1.078,-0.582,1,8840
"mu_y[88,1]",-0.8,0.164,-1.068,-0.528,1,8954
"mu_y[89,1]",-0.77,0.19,-1.076,-0.45,1.001,8335
"mu_y[90,1]",-0.984,0.174,-1.271,-0.701,1.001,4515
"mu_y[91,1]",-0.994,0.168,-1.27,-0.72,1,6938
"mu_y[92,1]",-1.003,0.169,-1.286,-0.732,1,7889
"mu_y[93,1]",-1.024,0.191,-1.35,-0.717,1,5691
"mu_y[94,1]",-0.928,0.173,-1.219,-0.648,1.001,8922
"mu_y[95,1]",-0.92,0.172,-1.205,-0.644,1.001,9036
"mu_y[96,1]",-0.887,0.206,-1.232,-0.557,1,8377
"mu_y[97,1]",-0.656,0.168,-0.93,-0.382,1,8547
"mu_y[98,1]",-0.611,0.165,-0.881,-0.339,1,8966
"mu_y[99,1]",-0.568,0.179,-0.856,-0.269,1,8994
"mu_y[100,1]",-0.518,0.211,-0.848,-0.151,1,8402
"mu_y[101,1]",-0.918,0.166,-1.192,-0.646,1,7161
"mu_y[102,1]",-0.897,0.163,-1.166,-0.628,1,7900
"mu_y[103,1]",-0.875,0.166,-1.149,-0.604,1,8395
"mu_y[104,1]",-0.833,0.187,-1.14,-0.527,1,8094
"mu_y[105,1]",-0.71,0.197,-1.028,-0.381,1,8868
"mu_y[106,1]",-0.674,0.203,-1.003,-0.331,1,9107
"mu_y[107,1]",-0.577,0.185,-0.87,-0.262,1.001,5770
"mu_y[108,1]",-0.545,0.187,-0.855,-0.237,1,9100
"mu_y[109,1]",-0.528,0.214,-0.883,-0.173,1,7019
"mu_y[110,1]",-0.866,0.155,-1.113,-0.614,1,7869
"mu_y[111,1]",-0.874,0.149,-1.116,-0.63,1,8739
"mu_y[112,1]",-0.883,0.149,-1.127,-0.639,1.001,9264
"mu_y[113,1]",-0.901,0.162,-1.172,-0.638,1,8432
"mu_y[114,1]",-0.922,0.196,-1.26,-0.613,1,6528
"mu_y[115,1]",-0.386,0.168,-0.659,-0.106,1,8528
"mu_y[116,1]",-0.375,0.165,-0.643,-0.104,1,8748
"mu_y[117,1]",-0.364,0.167,-0.639,-0.089,1,8956
"mu_y[118,1]",-0.342,0.188,-0.648,-0.028,1,9086
"mu_y[119,1]",-0.976,0.161,-1.246,-0.713,1.001,9192
"mu_y[120,1]",-0.971,0.16,-1.238,-0.711,1.001,9317
"mu_y[121,1]",-0.967,0.163,-1.24,-0.7,1.001,9411
"mu_y[122,1]",-0.958,0.184,-1.266,-0.659,1,9432
"mu_y[123,1]",-0.566,0.2,-0.883,-0.232,1,7691
"mu_y[124,1]",-0.548,0.199,-0.865,-0.219,1,8405
"mu_y[125,1]",-0.781,0.156,-1.041,-0.533,1,7275
"mu_y[126,1]",-0.753,0.15,-0.999,-0.509,1,8515
"mu_y[127,1]",-0.719,0.149,-0.963,-0.472,1,9213
"mu_y[128,1]",-0.663,0.162,-0.923,-0.392,1,8762
"mu_y[129,1]",-0.604,0.19,-0.908,-0.277,1,7078
"mu_y[130,1]",-0.599,0.194,-0.909,-0.274,1.001,8412
"mu_y[131,1]",-0.562,0.199,-0.888,-0.235,1,8769
"mu_y[132,1]",-0.594,0.164,-0.867,-0.329,1.001,8506
"mu_y[133,1]",-0.574,0.161,-0.841,-0.309,1.001,8712
"mu_y[134,1]",-0.555,0.161,-0.823,-0.292,1.001,8868
"mu_y[135,1]",-0.475,0.2,-0.81,-0.147,1.001,8642
"mu_y[136,1]",-0.805,0.184,-1.105,-0.497,1.001,5670
"mu_y[137,1]",-0.772,0.183,-1.076,-0.472,1,8479
"mu_y[138,1]",-0.747,0.208,-1.093,-0.411,1,7309
"mu_y[139,1]",-0.838,0.166,-1.108,-0.566,1.001,6667
"mu_y[140,1]",-0.849,0.162,-1.111,-0.586,1,8457
"mu_y[141,1]",-0.871,0.169,-1.146,-0.601,1,8813
"mu_y[142,1]",-0.893,0.196,-1.223,-0.584,1.001,8126
"mu_y[143,1]",-0.754,0.161,-1.015,-0.485,1,9230
"mu_y[144,1]",-0.741,0.159,-1,-0.475,1,9293
"mu_y[145,1]",-0.728,0.16,-0.99,-0.46,1,9284
"mu_y[146,1]",-0.677,0.203,-1.009,-0.337,1,8924
"mu_y[147,1]",-0.806,0.176,-1.096,-0.51,1.001,7138
"mu_y[148,1]",-0.804,0.173,-1.094,-0.514,1.001,8633
"mu_y[149,1]",-0.794,0.222,-1.169,-0.437,1.001,7712
"mu_y[150,1]",-1.003,0.158,-1.263,-0.743,1,6220
"mu_y[151,1]",-1.01,0.153,-1.26,-0.761,1,6931
"mu_y[152,1]",-1.018,0.152,-1.264,-0.769,1,7589
"mu_y[153,1]",-1.033,0.165,-1.309,-0.764,1,7568
"mu_y[154,1]",-1.047,0.193,-1.374,-0.74,1.001,6710
"mu_y[155,1]",-0.726,0.171,-1.005,-0.449,1.001,5899
"mu_y[156,1]",-0.662,0.161,-0.925,-0.4,1,8545
"mu_y[157,1]",-0.6,0.172,-0.877,-0.313,1,8785
"mu_y[158,1]",-0.536,0.2,-0.855,-0.199,1,7002
"mu_y[159,1]",-0.797,0.171,-1.084,-0.516,1.002,9126
"mu_y[160,1]",-0.79,0.171,-1.078,-0.509,1.002,9286
"mu_y[161,1]",-0.783,0.177,-1.077,-0.493,1.001,9454
"mu_y[162,1]",-0.829,0.188,-1.139,-0.522,1,9048
"mu_y[163,1]",-0.819,0.19,-1.138,-0.51,1,9157
"mu_y[164,1]",-0.79,0.157,-1.048,-0.531,1,7716
"mu_y[165,1]",-0.79,0.153,-1.04,-0.537,1,8545
"mu_y[166,1]",-0.79,0.152,-1.041,-0.538,1,8918
"mu_y[167,1]",-0.789,0.164,-1.061,-0.52,1,8701
"mu_y[168,1]",-0.789,0.192,-1.105,-0.481,1,7454
"mu_y[169,1]",-0.409,0.173,-0.69,-0.122,1,5141
"mu_y[170,1]",-0.363,0.167,-0.636,-0.088,1,6810
"mu_y[171,1]",-0.316,0.168,-0.591,-0.037,1,7925
"mu_y[172,1]",-0.223,0.192,-0.528,0.102,1,7134
"mu_y[173,1]",-0.967,0.176,-1.259,-0.678,1,8446
"mu_y[174,1]",-0.973,0.174,-1.261,-0.686,1,8899
"mu_y[175,1]",-0.988,0.198,-1.32,-0.669,1,7998
"mu_y[176,1]",-0.838,0.162,-1.099,-0.569,1,4830
"mu_y[177,1]",-0.802,0.154,-1.049,-0.546,1,7439
"mu_y[178,1]",-0.762,0.152,-1.011,-0.512,1,8907
"mu_y[179,1]",-0.694,0.17,-0.966,-0.414,1,8036
"mu_y[180,1]",-0.638,0.198,-0.952,-0.306,1,5287
"mu_y[181,1]",-0.9,0.165,-1.171,-0.631,1,9662
"mu_y[182,1]",-0.87,0.16,-1.131,-0.606,1,9780
"mu_y[183,1]",-0.841,0.172,-1.12,-0.558,1,9237
"mu_y[184,1]",-0.815,0.195,-1.129,-0.492,1,8721
"mu_y[185,1]",-1.133,0.162,-1.401,-0.872,1.001,7494
"mu_y[186,1]",-1.142,0.155,-1.399,-0.888,1,8304
"mu_y[187,1]",-1.153,0.155,-1.408,-0.898,1,8675
"mu_y[188,1]",-1.166,0.168,-1.443,-0.89,1,8611
"mu_y[189,1]",-1.181,0.195,-1.507,-0.871,1,7532
"mu_y[190,1]",-1.063,0.168,-1.338,-0.792,1.001,7441
"mu_y[191,1]",-1.051,0.163,-1.321,-0.782,1,8074
"mu_y[192,1]",-1.026,0.169,-1.303,-0.743,1,8617
"mu_y[193,1]",-1,0.194,-1.318,-0.683,1,8172
"mu_y[194,1]",-0.988,0.158,-1.252,-0.735,1,7892
"mu_y[195,1]",-0.981,0.152,-1.234,-0.732,1,8275
"mu_y[196,1]",-0.973,0.151,-1.223,-0.724,1,8575
"mu_y[197,1]",-0.958,0.163,-1.23,-0.693,1,8801
"mu_y[198,1]",-0.943,0.19,-1.258,-0.634,1,8818
"mu_y[199,1]",-0.953,0.164,-1.223,-0.687,1,8398
"mu_y[200,1]",-0.958,0.162,-1.226,-0.695,1,8676
"mu_y[201,1]",-0.963,0.164,-1.239,-0.695,1,8798
"mu_y[202,1]",-0.975,0.185,-1.286,-0.676,1,8632
"mu_y[203,1]",-1.058,0.171,-1.345,-0.786,1.001,7521
"mu_y[204,1]",-1.044,0.165,-1.32,-0.78,1.001,8351
"mu_y[205,1]",-1.006,0.175,-1.299,-0.724,1,9146
"mu_y[206,1]",-0.98,0.202,-1.315,-0.653,1,8901
"mu_y[207,1]",-0.794,0.163,-1.062,-0.522,1,8847
"mu_y[208,1]",-0.792,0.159,-1.054,-0.527,1,9066
"mu_y[209,1]",-0.786,0.173,-1.072,-0.501,1,9128
"mu_y[210,1]",-0.782,0.197,-1.111,-0.468,1,8995
"mu_y[211,1]",-0.857,0.175,-1.149,-0.577,1.001,5374
"mu_y[212,1]",-0.791,0.165,-1.067,-0.519,1,9072
"mu_y[213,1]",-0.721,0.176,-1.01,-0.429,1,9149
"mu_y[214,1]",-0.643,0.211,-0.981,-0.292,1.001,6242
"mu_y[215,1]",-0.88,0.155,-1.135,-0.636,1,8081
"mu_y[216,1]",-0.869,0.15,-1.119,-0.631,1,8685
"mu_y[217,1]",-0.854,0.15,-1.106,-0.613,1,8883
"mu_y[218,1]",-0.826,0.163,-1.098,-0.558,1,8830
"mu_y[219,1]",-0.801,0.188,-1.106,-0.496,1,8531
"mu_y[220,1]",-0.907,0.157,-1.164,-0.649,1.001,9109
"mu_y[221,1]",-0.888,0.153,-1.144,-0.637,1.001,9147
"mu_y[222,1]",-0.869,0.153,-1.128,-0.619,1.001,8944
"mu_y[223,1]",-0.833,0.167,-1.108,-0.56,1.001,8464
"mu_y[224,1]",-0.797,0.193,-1.114,-0.482,1,7995
"mu_y[225,1]",-0.925,0.165,-1.191,-0.65,1,8149
"mu_y[226,1]",-0.918,0.161,-1.178,-0.652,1,8748
"mu_y[227,1]",-0.897,0.173,-1.183,-0.608,1.001,9200
"mu_y[228,1]",-0.882,0.2,-1.208,-0.553,1.001,8924
"mu_y[229,1]",-0.814,0.156,-1.075,-0.556,1.001,7728
"mu_y[230,1]",-0.799,0.152,-1.054,-0.549,1.001,8326
"mu_y[231,1]",-0.784,0.152,-1.037,-0.534,1,8615
"mu_y[232,1]",-0.757,0.165,-1.031,-0.484,1,8511
"mu_y[233,1]",-0.727,0.191,-1.038,-0.41,1,7699
"mu_y[234,1]",-0.557,0.166,-0.826,-0.282,1.001,8492
"mu_y[235,1]",-0.538,0.165,-0.811,-0.265,1,8637
"mu_y[236,1]",-0.498,0.176,-0.785,-0.208,1,8591
"mu_y[237,1]",-0.458,0.204,-0.785,-0.116,1,8259
"mu_y[238,1]",-0.812,0.154,-1.065,-0.56,1,7964
"mu_y[239,1]",-0.802,0.15,-1.049,-0.556,1,8335
"mu_y[240,1]",-0.793,0.15,-1.039,-0.545,1,8533
"mu_y[241,1]",-0.772,0.163,-1.043,-0.503,1,8348
"mu_y[242,1]",-0.751,0.191,-1.062,-0.434,1,7838
"mu_y[243,1]",-0.967,0.162,-1.231,-0.696,1.001,4253
"mu_y[244,1]",-0.962,0.155,-1.217,-0.705,1.001,5882
"mu_y[245,1]",-0.956,0.153,-1.209,-0.705,1.001,8414
"mu_y[246,1]",-0.946,0.166,-1.222,-0.678,1,8667
"mu_y[247,1]",-0.935,0.197,-1.265,-0.621,1,5622
"mu_y[248,1]",-0.968,0.158,-1.233,-0.712,1,6321
"mu_y[249,1]",-0.975,0.152,-1.232,-0.727,1,7510
"mu_y[250,1]",-0.982,0.152,-1.235,-0.734,1,8211
"mu_y[251,1]",-0.998,0.168,-1.28,-0.73,1,7924
"mu_y[252,1]",-1.011,0.195,-1.34,-0.703,1,6946
"mu_y[253,1]",-0.994,0.16,-1.266,-0.737,1,5462
"mu_y[254,1]",-0.99,0.154,-1.248,-0.741,1,7535
"mu_y[255,1]",-0.986,0.153,-1.241,-0.739,1,8640
"mu_y[256,1]",-0.978,0.164,-1.252,-0.712,1,8863
"mu_y[257,1]",-0.969,0.194,-1.291,-0.658,1,7558
"mu_y[258,1]",-0.784,0.177,-1.079,-0.5,1,8934
"mu_y[259,1]",-0.766,0.175,-1.058,-0.483,1,9283
"mu_y[260,1]",-0.727,0.187,-1.038,-0.428,1,9590
"mu_y[261,1]",-0.76,0.186,-1.069,-0.459,1,5676
"mu_y[262,1]",-0.718,0.18,-1.018,-0.426,1,7553
"mu_y[263,1]",-0.552,0.215,-0.902,-0.197,1.001,6856
"mu_y[264,1]",-1.005,0.166,-1.279,-0.739,1,8312
"mu_y[265,1]",-1.011,0.162,-1.278,-0.749,1,8616
"mu_y[266,1]",-1.017,0.164,-1.284,-0.752,1,8903
"mu_y[267,1]",-1.041,0.21,-1.397,-0.711,1,8169
"mu_y[268,1]",-0.672,0.162,-0.942,-0.409,1.001,5755
"mu_y[269,1]",-0.629,0.154,-0.886,-0.376,1,7251
"mu_y[270,1]",-0.588,0.152,-0.843,-0.337,1,8633
"mu_y[271,1]",-0.505,0.166,-0.783,-0.232,1,8482
"mu_y[272,1]",-0.419,0.2,-0.739,-0.082,1,5737
"mu_y[273,1]",-0.72,0.155,-0.97,-0.464,1.001,8248
"mu_y[274,1]",-0.711,0.151,-0.957,-0.462,1.001,8623
"mu_y[275,1]",-0.701,0.151,-0.946,-0.454,1.001,9010
"mu_y[276,1]",-0.683,0.162,-0.95,-0.416,1,9124
"mu_y[277,1]",-0.664,0.188,-0.971,-0.353,1,9011
"mu_y[278,1]",-0.37,0.182,-0.66,-0.065,1,7995
"mu_y[279,1]",-0.347,0.18,-0.639,-0.048,1,8616
"mu_y[280,1]",-0.323,0.199,-0.648,0.007,1,8878
"mu_y[281,1]",-0.84,0.155,-1.1,-0.59,1,8538
"mu_y[282,1]",-0.827,0.151,-1.082,-0.585,1,8597
"mu_y[283,1]",-0.815,0.151,-1.065,-0.573,1,8638
"mu_y[284,1]",-0.789,0.164,-1.059,-0.519,1,8637
"mu_y[285,1]",-0.762,0.19,-1.067,-0.448,1,8548
"mu_y[286,1]",-0.362,0.168,-0.637,-0.078,1,5580
"mu_y[287,1]",-0.336,0.16,-0.597,-0.066,1,7000
"mu_y[288,1]",-0.309,0.158,-0.566,-0.048,1,8086
"mu_y[289,1]",-0.248,0.177,-0.532,0.048,1.001,7810
"mu_y[290,1]",-0.203,0.207,-0.53,0.149,1.001,6634
"mu_y[291,1]",-0.608,0.165,-0.87,-0.336,1.001,3680
"mu_y[292,1]",-0.572,0.156,-0.82,-0.314,1,6238
