parameter,mean,sd,q05,q95,rhat,ess
"mu_beta[3,4]",-0.251,0.015,-0.277,-0.226,1,7344
"mu_beta[1,5]",7.993,0.121,7.792,8.192,1.001,6214
"mu_beta[2,5]",7.131,0.14,6.903,7.365,1.001,3296
"mu_beta[3,5]",6.212,0.19,5.903,6.526,1,4397
"mu_beta[1,6]",-0.033,0.016,-0.059,-0.007,1,8347
"mu_beta[2,6]",-0.11,0.014,-0.133,-0.087,1.001,8071
"mu_beta[3,6]",-0.168,0.028,-0.214,-0.122,1,8220
"sigma_beta[1,1]",0.236,0.031,0.185,0.287,1.001,5086
"sigma_beta[2,1]",0.452,0.028,0.408,0.498,1,6003
"sigma_beta[3,1]",0.316,0.032,0.265,0.369,1,5085
"sigma_beta[1,2]",0.049,0.028,0.006,0.097,1.003,722
"sigma_beta[2,2]",0.208,0.021,0.174,0.243,1.003,2154
"sigma_beta[3,2]",0.267,0.035,0.211,0.326,1,3821
"sigma_beta[1,3]",0.534,0.029,0.49,0.583,1,5667
"sigma_beta[2,3]",0.922,0.037,0.864,0.984,1.001,3193
"sigma_beta[3,3]",0.868,0.053,0.785,0.96,1.001,4719
"sigma_beta[1,4]",0.082,0.009,0.067,0.098,1,5590
"sigma_beta[2,4]",0.112,0.009,0.097,0.127,1,6021
"sigma_beta[3,4]",0.076,0.031,0.017,0.122,1.003,1094
"sigma_beta[1,5]",1.167,0.063,1.069,1.275,1.001,6189
"sigma_beta[2,5]",1.503,0.061,1.405,1.607,1,4501
"sigma_beta[3,5]",1.631,0.101,1.475,1.805,1,5098
"sigma_beta[1,6]",0.099,0.022,0.063,0.136,1,4786
"sigma_beta[2,6]",0.087,0.019,0.056,0.119,1,5243
"sigma_beta[3,6]",0.064,0.046,0.005,0.151,1,4545
"sigma_epsilon[1,1]",0.443,0.014,0.42,0.466,1,4968
"sigma_epsilon[2,1]",0.408,0.01,0.391,0.425,1.001,3692
"sigma_epsilon[3,1]",0.274,0.015,0.25,0.299,1.001,3581
"sigma_epsilon[1,2]",0.154,0.006,0.145,0.164,1,5840
"sigma_epsilon[2,2]",0.163,0.004,0.157,0.171,1,6536
"sigma_epsilon[3,2]",0.176,0.01,0.159,0.193,1.002,1975
"sigma_epsilon[1,3]",0.351,0.012,0.332,0.372,1.001,6591
"sigma_epsilon[2,3]",0.365,0.009,0.351,0.38,1,6777
"sigma_epsilon[3,3]",0.358,0.016,0.332,0.384,1,7087
"L_Rho_beta[1,2,1]",0.065,0.32,-0.446,0.599,1.001,4902
"L_Rho_beta[2,2,1]",0.477,0.126,0.271,0.683,1.004,2081
"L_Rho_beta[3,2,1]",0.427,0.16,0.166,0.696,1,2483
"L_Rho_beta[1,3,1]",0.213,0.117,0.017,0.402,1.006,883
"L_Rho_beta[2,3,1]",-0.304,0.066,-0.408,-0.193,1.005,620
"L_Rho_beta[3,3,1]",-0.444,0.09,-0.585,-0.291,1.002,1588
"L_Rho_beta[1,4,1]",-0.025,0.176,-0.306,0.278,1.002,1160
"L_Rho_beta[2,4,1]",-0.456,0.089,-0.596,-0.303,1.001,3707
"L_Rho_beta[3,4,1]",-0.139,0.245,-0.555,0.26,1,5367
"L_Rho_beta[1,5,1]",0.125,0.119,-0.069,0.323,1.013,593
"L_Rho_beta[2,5,1]",-0.21,0.067,-0.32,-0.097,1.004,1492
"L_Rho_beta[3,5,1]",-0.446,0.092,-0.591,-0.289,1.002,1747
"L_Rho_beta[1,6,1]",0.14,0.215,-0.215,0.492,1.001,2476
"L_Rho_beta[2,6,1]",-0.099,0.175,-0.387,0.193,1,6313
"L_Rho_beta[3,6,1]",-0.193,0.332,-0.699,0.406,1,7246
"L_Rho_beta[1,2,2]",0.942,0.08,0.778,1,1,5583
"L_Rho_beta[2,2,2]",0.867,0.073,0.73,0.962,1.004,2081
"L_Rho_beta[3,2,2]",0.886,0.085,0.718,0.986,1,2490
"L_Rho_beta[1,3,2]",-0.145,0.294,-0.627,0.358,1.021,253
"L_Rho_beta[2,3,2]",-0.258,0.113,-0.443,-0.07,1.011,288
"L_Rho_beta[3,3,2]",0.046,0.153,-0.201,0.306,1.002,834
"L_Rho_beta[1,4,2]",-0.416,0.33,-0.843,0.225,1.012,399
"L_Rho_beta[2,4,2]",-0.629,0.121,-0.814,-0.418,1.006,1171
"L_Rho_beta[3,4,2]",-0.152,0.286,-0.61,0.342,1,4080
"L_Rho_beta[1,5,2]",-0.178,0.329,-0.677,0.417,1.035,152
"L_Rho_beta[2,5,2]",-0.36,0.109,-0.538,-0.18,1.017,430
"L_Rho_beta[3,5,2]",-0.056,0.153,-0.299,0.205,1.004,973
"L_Rho_beta[1,6,2]",-0.328,0.337,-0.795,0.313,1.009,598
"L_Rho_beta[2,6,2]",-0.687,0.172,-0.914,-0.365,1.001,2581
"L_Rho_beta[3,6,2]",0.015,0.353,-0.585,0.58,1,7587
"L_Rho_beta[1,3,3]",0.908,0.098,0.705,0.993,1.011,400
"L_Rho_beta[2,3,3]",0.907,0.03,0.853,0.949,1.005,647
"L_Rho_beta[3,3,3]",0.875,0.054,0.776,0.947,1.002,1321
"L_Rho_beta[1,4,3]",0.234,0.196,-0.12,0.528,1.014,623
"L_Rho_beta[2,4,3]",-0.029,0.087,-0.173,0.115,1.006,864
"L_Rho_beta[3,4,3]",0.122,0.239,-0.261,0.528,1.001,4445
"L_Rho_beta[1,5,3]",0.306,0.163,-0.009,0.512,1.013,363
"L_Rho_beta[2,5,3]",0.417,0.059,0.314,0.508,1.004,749
"L_Rho_beta[3,5,3]",0.467,0.079,0.333,0.586,1.003,1740
"L_Rho_beta[1,6,3]",0.265,0.219,-0.127,0.603,1.007,1042
"L_Rho_beta[2,6,3]",-0.098,0.174,-0.38,0.192,1.003,1753
"L_Rho_beta[3,6,3]",-0.035,0.318,-0.558,0.497,1,7414
"L_Rho_beta[1,4,4]",0.753,0.163,0.431,0.949,1.006,819
"L_Rho_beta[2,4,4]",0.596,0.106,0.403,0.749,1.006,1182
"L_Rho_beta[3,4,4]",0.853,0.131,0.58,0.986,1,2015
"L_Rho_beta[1,5,4]",0.249,0.247,-0.229,0.616,1.056,87
"L_Rho_beta[2,5,4]",-0.111,0.129,-0.343,0.082,1.032,275
"L_Rho_beta[3,5,4]",0.163,0.21,-0.177,0.516,1.008,287
"L_Rho_beta[1,6,4]",0.531,0.241,0.074,0.85,1.002,1909
"L_Rho_beta[2,6,4]",0.295,0.243,-0.136,0.665,1.003,1996
"L_Rho_beta[3,6,4]",-0.019,0.377,-0.629,0.599,1,5343
"L_Rho_beta[1,5,5]",0.755,0.133,0.474,0.896,1.01,422
"L_Rho_beta[2,5,5]",0.775,0.054,0.67,0.844,1.022,422
"L_Rho_beta[3,5,5]",0.68,0.088,0.51,0.783,1.005,529
"L_Rho_beta[1,6,5]",-0.022,0.203,-0.347,0.326,1.002,3225
"L_Rho_beta[2,6,5]",0.236,0.176,-0.056,0.526,1.001,2496
"L_Rho_beta[3,6,5]",0.169,0.338,-0.436,0.689,1,7083
"L_Rho_beta[1,6,6]",0.426,0.18,0.129,0.72,1,5212
"L_Rho_beta[2,6,6]",0.393,0.176,0.111,0.686,1,5533
"L_Rho_beta[3,6,6]",0.541,0.218,0.164,0.879,1,5719
"L_Rho_epsilon[1,2,1]",0.005,0.049,-0.076,0.084,1,4225
"L_Rho_epsilon[2,2,1]",0.006,0.037,-0.055,0.068,1,4704
"L_Rho_epsilon[3,2,1]",-0.004,0.074,-0.125,0.118,1.001,5427
"L_Rho_epsilon[1,3,1]",-0.015,0.045,-0.089,0.06,1,7458
"L_Rho_epsilon[2,3,1]",0.015,0.035,-0.044,0.072,1,6956
"L_Rho_epsilon[3,3,1]",-0.092,0.068,-0.204,0.021,1,7895
"L_Rho_epsilon[1,2,2]",0.999,0.002,0.995,1,1,7582
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1,7625
"L_Rho_epsilon[3,2,2]",0.997,0.004,0.989,1,1.001,7900
"L_Rho_epsilon[1,3,2]",0.237,0.048,0.158,0.314,1.001,6504
"L_Rho_epsilon[2,3,2]",0.146,0.035,0.088,0.204,1,6614
"L_Rho_epsilon[3,3,2]",0.149,0.064,0.042,0.254,1,6652
"L_Rho_epsilon[1,3,3]",0.969,0.012,0.948,0.987,1,6485
"L_Rho_epsilon[2,3,3]",0.988,0.005,0.978,0.996,1,6634
"L_Rho_epsilon[3,3,3]",0.98,0.013,0.956,0.996,1,6767
"z[1,1]",0.33,0.649,-0.755,1.386,1,7531
"z[2,1]",0.28,0.647,-0.8,1.33,1,6538
"z[3,1]",-0.259,0.748,-1.475,0.992,1,5545
"z[4,1]",0.425,0.715,-0.756,1.585,1,5284
"z[5,1]",-0.713,0.662,-1.782,0.38,1.001,4326
"z[6,1]",-0.316,0.641,-1.378,0.76,1,8324
"z[7,1]",-1.142,0.737,-2.366,0.095,1,8145
"z[8,1]",-0.203,0.782,-1.504,1.071,1,8425
"z[9,1]",0.792,0.813,-0.58,2.091,1.002,1833
"z[10,1]",-1.079,0.671,-2.174,0.028,1.002,4910
"z[11,1]",0.431,0.702,-0.708,1.599,1.001,3703
"z[12,1]",-0.831,0.72,-1.984,0.374,1.001,3330
"z[13,1]",1.054,0.724,-0.135,2.24,1,8222
"z[14,1]",-0.418,0.679,-1.55,0.679,1,7144
"z[15,1]",0.053,0.69,-1.077,1.19,1,8061
"z[16,1]",0.672,0.687,-0.436,1.792,1,7881
"z[17,1]",1.215,0.805,-0.101,2.541,1.001,6881
"z[18,1]",-0.259,0.751,-1.467,0.982,1,4733
"z[19,1]",0.159,0.775,-1.116,1.413,1,3252
"z[20,1]",0.555,0.724,-0.626,1.748,1,7610
"z[21,1]",0.133,0.77,-1.117,1.41,1,8699
"z[22,1]",-0.922,0.726,-2.11,0.271,1,7954
"z[23,1]",-0.167,0.72,-1.359,1.02,1,7946
"z[24,1]",-0.124,0.648,-1.208,0.959,1.002,7374
"z[25,1]",-0.769,0.723,-1.938,0.436,1.001,4154
"z[26,1]",-0.564,0.718,-1.749,0.616,1.001,7517
"z[27,1]",0.866,0.701,-0.291,1.995,1,7691
"z[28,1]",-0.12,0.682,-1.233,1.01,1,7558
"z[29,1]",0.78,0.789,-0.514,2.081,1,7957
"z[30,1]",0.857,0.753,-0.378,2.094,1.001,4136
"z[31,1]",-0.084,0.66,-1.162,1.003,1,6027
"z[32,1]",1.697,0.69,0.557,2.834,1,7134
"z[33,1]",-0.734,0.677,-1.865,0.374,1,9068
"z[34,1]",1.259,0.809,-0.099,2.584,1.001,6632
"z[35,1]",0.025,0.655,-1.055,1.102,1,5977
"z[36,1]",0.485,0.817,-0.876,1.837,1.001,6963
"z[37,1]",0.212,0.708,-0.942,1.373,1.001,6954
"z[38,1]",0.259,0.747,-0.984,1.474,1.001,5292
"z[39,1]",-0.156,0.701,-1.297,1.008,1,7400
"z[40,1]",0.431,0.673,-0.67,1.561,1.001,8308
"z[41,1]",-0.413,0.713,-1.577,0.754,1.001,7743
"z[42,1]",-0.916,0.649,-1.976,0.153,1,6044
"z[43,1]",-0.042,0.704,-1.209,1.102,1,5370
"z[44,1]",-0.107,0.726,-1.297,1.065,1,8317
"z[45,1]",-0.285,0.771,-1.577,0.971,1,8588
"z[46,1]",-0.067,0.653,-1.157,0.987,1.002,6696
"z[47,1]",1.171,0.722,-0.023,2.36,1,5369
"z[48,1]",-0.41,0.726,-1.607,0.774,1,7918
"z[49,1]",0.052,0.679,-1.084,1.14,1,4376
"z[50,1]",-0.437,0.68,-1.57,0.678,1,7103
"z[51,1]",-0.892,0.676,-2.003,0.231,1,8091
"z[52,1]",-0.985,0.669,-2.118,0.11,1,7230
"z[53,1]",-0.88,0.642,-1.929,0.164,1.001,8108
"z[54,1]",-0.575,0.69,-1.714,0.567,1,7895
"z[55,1]",-1.088,0.69,-2.223,0.042,1,6336
"z[56,1]",0.012,0.685,-1.116,1.142,1.001,8062
"z[57,1]",-0.263,0.712,-1.424,0.915,1.001,3629
"z[58,1]",-0.664,0.635,-1.719,0.374,1,8349
"z[59,1]",-0.392,0.631,-1.412,0.642,1,7082
"z[60,1]",-0.421,0.689,-1.559,0.697,1,6993
"z[61,1]",0.102,0.639,-0.94,1.158,1.001,6731
"z[62,1]",1.103,0.685,-0.013,2.239,1.001,5137
"z[63,1]",-0.029,0.653,-1.104,1.025,1,7560
"z[64,1]",-0.338,0.663,-1.42,0.763,1.001,6091
"z[65,1]",-0.753,0.657,-1.82,0.336,1.001,7364
"z[66,1]",-0.607,0.658,-1.695,0.476,1.001,4216
"z[67,1]",-0.202,0.714,-1.365,0.981,1.001,8407
"z[68,1]",0.404,0.772,-0.87,1.684,1,4939
"z[69,1]",-1.1,0.667,-2.198,-0.013,1,7321
"z[70,1]",0.187,0.673,-0.932,1.298,1.001,3601
"z[71,1]",0.349,0.638,-0.688,1.398,1.001,8321
"z[72,1]",1.595,0.715,0.418,2.758,1,7916
"z[73,1]",0.106,0.64,-0.96,1.163,1,8084
"z[74,1]",1.929,0.652,0.857,2.989,1,5687
"z[75,1]",0.478,0.688,-0.651,1.608,1.002,3240
"z[76,1]",0.103,0.681,-1.004,1.208,1,6324
"z[77,1]",1.834,0.746,0.594,3.041,1,8304
"z[78,1]",-0.517,0.703,-1.668,0.659,1.001,5887
"z[79,1]",0.04,0.687,-1.08,1.157,1,8240
"z[80,1]",1.162,0.654,0.085,2.229,1,8103
"z[81,1]",-0.465,0.675,-1.569,0.67,1,7666
"z[82,1]",-0.953,0.678,-2.068,0.153,1.002,3149
"z[83,1]",-0.59,0.73,-1.786,0.629,1,8459
"z[84,1]",-0.772,0.642,-1.812,0.275,1,8075
"z[85,1]",0.763,0.653,-0.322,1.826,1.001,7252
"z[86,1]",0.699,0.675,-0.403,1.808,1,8337
"z[87,1]",-0.047,0.675,-1.134,1.079,1,7830
"z[88,1]",1.187,0.652,0.129,2.252,1,6853
"z[89,1]",-0.809,0.67,-1.917,0.292,1.001,7450
"z[90,1]",0.702,0.732,-0.503,1.888,1,6976
"z[91,1]",0.081,0.779,-1.209,1.355,1,8513
"z[92,1]",-0.348,0.667,-1.451,0.756,1.001,7834
"z[93,1]",0.129,0.637,-0.929,1.186,1,7874
"z[94,1]",0.51,0.725,-0.656,1.705,1,5861
"z[95,1]",-0.648,0.707,-1.802,0.506,1.001,4211
"z[96,1]",0.508,0.729,-0.694,1.696,1,6424
"z[97,1]",-0.148,0.728,-1.339,1.084,1.001,5946
"z[98,1]",0.132,0.702,-1.022,1.281,1.002,4486
"z[99,1]",0.878,0.658,-0.215,1.951,1,6724
"z[100,1]",1.428,0.683,0.311,2.527,1.001,3959
"z[101,1]",-0.267,0.704,-1.43,0.897,1.001,4588
"z[102,1]",-0.547,0.634,-1.593,0.485,1.001,7349
"z[103,1]",-0.701,0.638,-1.741,0.356,1,8339
"z[104,1]",-0.329,0.689,-1.456,0.821,1,8154
"z[105,1]",0.578,0.679,-0.543,1.704,1,7689
"z[106,1]",-0.093,0.655,-1.161,0.982,1,5679
"z[107,1]",-0.529,0.663,-1.612,0.574,1.001,5865
"z[108,1]",1.071,0.684,-0.06,2.195,1,6005
"z[109,1]",-0.229,0.678,-1.348,0.887,1,7902
"z[110,1]",-0.026,0.732,-1.204,1.19,1.001,6639
"z[111,1]",-0.344,0.675,-1.451,0.76,1,8180
"z[112,1]",-0.756,0.69,-1.872,0.381,1.001,5774
"z[113,1]",0.531,0.792,-0.786,1.851,1,8234
"z[114,1]",0.203,0.734,-0.994,1.414,1,8382
"z[115,1]",0.775,0.73,-0.437,1.967,1.001,8493
"z[116,1]",1.201,0.722,0.021,2.402,1.001,7905
"z[117,1]",-0.48,0.728,-1.676,0.724,1.001,8410
"z[118,1]",-0.083,0.782,-1.361,1.203,1,8073
"z[119,1]",0.472,0.651,-0.596,1.535,1.001,5654
"z[120,1]",0.297,0.64,-0.755,1.377,1,8838
"z[121,1]",-0.74,0.647,-1.783,0.335,1.001,7958
"z[122,1]",-0.224,0.727,-1.39,0.982,1.001,8469
"z[123,1]",-0.755,0.746,-1.962,0.502,1,7478
"z[124,1]",-0.502,0.722,-1.68,0.69,1,6858
"z[125,1]",-1.105,0.801,-2.409,0.233,1,7702
"z[126,1]",-0.41,0.69,-1.566,0.718,1.001,3083
"z[127,1]",-0.287,0.728,-1.492,0.903,1,8281
"z[128,1]",1.492,0.726,0.307,2.687,1,8054
"z[129,1]",1.022,0.77,-0.237,2.291,1,8504
"z[130,1]",-0.445,0.667,-1.535,0.662,1,6565
"z[131,1]",-0.61,0.646,-1.672,0.462,1,5921
"z[132,1]",-0.722,0.653,-1.795,0.343,1,7779
"z[133,1]",0.584,0.713,-0.587,1.759,1.001,5031
"z[134,1]",0.154,0.678,-0.951,1.258,1,8461
"z[135,1]",-0.839,0.746,-2.043,0.393,1.002,4268
"z[136,1]",0.781,0.721,-0.401,1.97,1.001,7540
"z[137,1]",-0.912,0.728,-2.112,0.295,1.001,8587
"z[138,1]",-0.778,0.674,-1.894,0.341,1,6921
"z[139,1]",-0.391,0.686,-1.501,0.74,1,7971
"z[140,1]",0.58,0.735,-0.623,1.801,1,8365
"z[141,1]",0.435,0.742,-0.783,1.65,1.001,5702
"z[142,1]",-0.5,0.684,-1.612,0.633,1,5510
"z[143,1]",0.095,0.794,-1.222,1.394,1,8038
"z[144,1]",0.527,0.734,-0.696,1.719,1,7750
"z[145,1]",0.087,0.772,-1.177,1.379,1.001,2648
"z[146,1]",-0.878,0.721,-2.071,0.321,1,7917
"z[147,1]",-0.899,0.79,-2.203,0.408,1,7078
"z[148,1]",-0.502,0.657,-1.586,0.57,1.001,6472
"z[149,1]",-1.118,0.739,-2.31,0.113,1.002,4090
"z[150,1]",-0.272,0.688,-1.404,0.848,1,6353
"z[151,1]",-0.702,0.651,-1.79,0.375,1,6964
"z[152,1]",0.822,0.713,-0.367,1.993,1.002,4013
"z[153,1]",-0.005,0.676,-1.119,1.108,1,6677
"z[154,1]",0.745,0.647,-0.315,1.804,1.001,7511
"z[155,1]",0.046,0.652,-1.027,1.123,1,4825
"z[156,1]",-0.8,0.682,-1.94,0.328,1.001,7287
"z[157,1]",0.274,0.742,-0.93,1.486,1,5975
"z[158,1]",0.252,0.72,-0.934,1.426,1,8382
"z[159,1]",0.055,0.731,-1.136,1.282,1,8694
"z[160,1]",0.564,0.683,-0.54,1.684,1,7969
"z[161,1]",0.469,0.8,-0.821,1.779,1.001,6300
"z[162,1]",-0.173,0.686,-1.31,0.954,1,7144
"z[163,1]",-0.199,0.651,-1.248,0.871,1.002,3673
"z[164,1]",-0.182,0.735,-1.396,1.022,1,7267
"z[165,1]",0.454,0.692,-0.682,1.598,1.001,5396
"z[166,1]",-0.678,0.704,-1.827,0.47,1.002,2414
"z[167,1]",-0.187,0.774,-1.446,1.086,1,8598
"z[168,1]",0.842,0.724,-0.353,2.02,1.001,6724
"z[169,1]",0.309,0.781,-0.964,1.6,1,8335
"z[170,1]",1.392,0.738,0.199,2.607,1,8342
"z[171,1]",-0.467,0.682,-1.577,0.652,1,8231
"z[172,1]",-0.526,0.801,-1.843,0.809,1.003,2724
"z[173,1]",-0.306,0.749,-1.527,0.9,1.001,7130
"z[174,1]",0.261,0.785,-1.049,1.527,1,7540
"z[175,1]",-0.784,0.722,-1.965,0.41,1.001,3562
"z[176,1]",-0.232,0.725,-1.429,0.939,1,7790
"z[177,1]",-1.015,0.644,-2.1,0.018,1,5950
"z[178,1]",1.425,0.694,0.283,2.551,1,7128
"z[179,1]",0.775,0.683,-0.381,1.879,1,7468
"z[180,1]",-0.239,0.772,-1.524,1.044,1,7780
"z[181,1]",-0.809,0.741,-2.029,0.414,1,6673
"z[182,1]",1.444,0.861,-0.001,2.875,1.003,1862
"z[183,1]",1.401,0.679,0.297,2.537,1.001,7265
"z[184,1]",0.327,0.727,-0.879,1.528,1.004,2376
"z[185,1]",0.486,0.717,-0.697,1.65,1,7821
"z[186,1]",0.658,0.659,-0.425,1.741,1,7081
"z[187,1]",-0.369,0.638,-1.411,0.7,1,7972
"z[188,1]",-0.022,0.669,-1.138,1.053,1,8218
"z[189,1]",0.056,0.675,-1.044,1.16,1,7646
"z[190,1]",-1.167,0.737,-2.385,0.049,1.001,5602
"z[191,1]",0.261,0.867,-1.146,1.689,1.001,7550
"z[192,1]",0.35,0.779,-0.944,1.626,1,8484
"z[193,1]",0.181,0.784,-1.077,1.486,1.002,6433
"z[194,1]",-0.413,0.728,-1.618,0.774,1.001,6733
"z[195,1]",-1.012,0.678,-2.12,0.107,1,8293
"z[196,1]",-0.226,0.676,-1.332,0.874,1,8579
"z[197,1]",-1.514,0.701,-2.653,-0.354,1.001,3993
"z[198,1]",0.531,0.429,-0.179,1.238,1,5113
"z[199,1]",-1.051,0.421,-1.749,-0.37,1,7096
"z[200,1]",0.367,0.478,-0.426,1.149,1,8219
"z[201,1]",0.884,0.562,-0.075,1.776,1.002,1829
"z[202,1]",-0.432,0.426,-1.119,0.282,1,6378
"z[203,1]",-1.142,0.408,-1.808,-0.464,1.001,6379
"z[204,1]",-0.498,0.428,-1.2,0.209,1,7981
"z[205,1]",0.32,0.471,-0.46,1.101,1,7548
"z[206,1]",-0.982,0.472,-1.76,-0.218,1,7474
"z[207,1]",-1.189,0.421,-1.883,-0.499,1.001,6870
"z[208,1]",0.555,0.418,-0.122,1.247,1.001,6432
"z[209,1]",0.681,0.424,-0.019,1.377,1.001,5113
"z[210,1]",-0.123,0.429,-0.822,0.588,1,6414
"z[211,1]",-0.537,0.462,-1.29,0.23,1,7499
"z[212,1]",0.236,0.456,-0.503,0.984,1,7346
"z[213,1]",-0.771,0.456,-1.523,-0.013,1,8055
"z[214,1]",0.228,0.533,-0.633,1.109,1,6982
"z[215,1]",-0.346,0.461,-1.112,0.413,1.001,8008
"z[216,1]",0.644,0.398,0.003,1.301,1,7374
"z[217,1]",-0.455,0.413,-1.137,0.224,1.001,5832
"z[218,1]",-0.388,0.433,-1.114,0.321,1,7230
"z[219,1]",-0.884,0.431,-1.605,-0.172,1,3760
"z[220,1]",0.873,0.455,0.128,1.618,1,5196
"z[221,1]",1.239,0.521,0.36,2.087,1,8074
"z[222,1]",0.186,0.413,-0.488,0.868,1,8430
"z[223,1]",-1.083,0.412,-1.762,-0.408,1,8018
"z[224,1]",-0.467,0.455,-1.219,0.27,1,7400
"z[225,1]",-1.016,0.422,-1.71,-0.319,1.001,4931
"z[226,1]",0.355,0.409,-0.307,1.029,1,7442
"z[227,1]",0.283,0.43,-0.421,1.009,1.002,3289
"z[228,1]",0.24,0.426,-0.459,0.937,1,6681
"z[229,1]",0.913,0.426,0.202,1.617,1,7666
"z[230,1]",0.839,0.432,0.115,1.556,1,8386
"z[231,1]",0.638,0.413,-0.053,1.308,1,6478
"z[232,1]",0.121,0.416,-0.549,0.799,1,6272
"z[233,1]",0.233,0.407,-0.442,0.897,1.001,7013
"z[234,1]",-0.132,0.417,-0.8,0.559,1.001,4942
"z[235,1]",0.385,0.411,-0.294,1.06,1,6488
"z[236,1]",-0.035,0.458,-0.801,0.719,1,8208
"z[237,1]",-0.688,0.418,-1.376,0,1.001,6459
"z[238,1]",1.601,0.434,0.892,2.317,1,7557
"z[239,1]",-0.561,0.413,-1.239,0.105,1,8028
"z[240,1]",0.067,0.433,-0.641,0.776,1,8024
"z[241,1]",0.313,0.422,-0.367,1.006,1.001,8007
"z[242,1]",-0.341,0.532,-1.225,0.526,1.001,7531
"z[243,1]",0.207,0.461,-0.543,0.974,1,7293
"z[244,1]",-0.421,0.429,-1.125,0.288,1,7533
"z[245,1]",-2.114,0.521,-2.987,-1.268,1,8009
"z[246,1]",-0.583,0.426,-1.278,0.113,1.001,6887
"z[247,1]",-1.41,0.446,-2.148,-0.676,1,7833
"z[248,1]",0.546,0.456,-0.192,1.306,1.001,5073
"z[249,1]",-1.518,0.403,-2.184,-0.866,1,8103
"z[250,1]",-0.049,0.456,-0.797,0.705,1,8295
"z[251,1]",0.089,0.461,-0.652,0.866,1,8304
"z[252,1]",0.079,0.468,-0.688,0.84,1,6055
"z[253,1]",1.03,0.463,0.27,1.791,1,7628
"z[254,1]",0.628,0.417,-0.067,1.31,1.001,7297
"z[255,1]",1.665,0.472,0.888,2.437,1.001,5264
"z[256,1]",-0.247,0.461,-1.004,0.493,1,7698
"z[257,1]",1.154,0.423,0.453,1.849,1,7722
"z[258,1]",-0.286,0.457,-1.027,0.47,1,7038
"z[259,1]",0.306,0.456,-0.434,1.058,1.001,7846
"z[260,1]",-1.15,0.423,-1.847,-0.453,1,7522
"z[261,1]",-0.877,0.465,-1.64,-0.116,1.001,6397
"z[262,1]",-0.257,0.408,-0.93,0.404,1,7732
"z[263,1]",-0.412,0.473,-1.197,0.359,1.002,4144
"z[264,1]",0.296,0.411,-0.378,0.981,1,8157
"z[265,1]",-0.017,0.532,-0.897,0.847,1,7766
"z[266,1]",-0.808,0.431,-1.512,-0.103,1,7510
"z[267,1]",-1.954,0.417,-2.636,-1.259,1,6981
"z[268,1]",1.358,0.633,0.316,2.378,1,8099
"z[269,1]",0.162,0.47,-0.614,0.942,1,7649
"z[270,1]",0.876,0.459,0.12,1.636,1,8230
"z[271,1]",0.193,0.524,-0.673,1.063,1,8468
"z[272,1]",-0.204,0.448,-0.939,0.531,1,6415
"z[273,1]",0.689,0.431,-0.029,1.387,1.001,6104
"z[274,1]",1.297,0.422,0.614,1.988,1,8092
"z[275,1]",1.088,0.511,0.253,1.928,1,8224
"z[276,1]",-0.883,0.41,-1.561,-0.225,1,8350
"z[277,1]",1.747,0.447,1.019,2.485,1.001,5552
"z[278,1]",-0.006,0.442,-0.728,0.716,1,4790
"z[279,1]",-0.192,0.447,-0.938,0.546,1.001,5941
"z[280,1]",2.46,0.487,1.647,3.258,1,7589
