parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.011,0.005,0.003,0.018,1,7768
"alpha[2,1]",0.009,0.004,0.002,0.016,1,6099
"alpha[3,1]",-0,0.005,-0.008,0.007,1,5136
"alpha[1,2]",0.08,0.049,-0.002,0.161,1,6739
"alpha[2,2]",-0.117,0.062,-0.218,-0.015,1.001,5203
"alpha[3,2]",0.097,0.067,-0.015,0.208,1,5520
"alpha[1,3]",-0.019,0.008,-0.032,-0.006,1,5829
"alpha[2,3]",-0.041,0.007,-0.053,-0.029,1,2867
"alpha[3,3]",-0.048,0.01,-0.065,-0.031,1.002,3163
"alpha[1,4]",0.058,0.077,-0.068,0.185,1.001,5001
"alpha[2,4]",0.22,0.106,0.048,0.396,1.001,2350
"alpha[3,4]",0.145,0.149,-0.099,0.39,1.001,3411
"alpha[1,5]",-0.059,0.016,-0.087,-0.032,1,6119
"alpha[2,5]",-0.062,0.012,-0.082,-0.042,1,3459
"alpha[3,5]",-0.1,0.019,-0.131,-0.069,1,3121
"alpha[1,6]",0.28,0.165,0.009,0.551,1.001,6092
"alpha[2,6]",0.201,0.172,-0.083,0.484,1,3358
"alpha[3,6]",0.215,0.272,-0.235,0.666,1,4122
"mu_beta[1,1]",-0.856,0.039,-0.92,-0.792,1,6928
"mu_beta[2,1]",0.034,0.05,-0.05,0.117,1,5166
"mu_beta[3,1]",0.676,0.047,0.599,0.753,1,5392
"mu_beta[1,2]",0.02,0.017,-0.008,0.048,1,8317
"mu_beta[2,2]",0.15,0.02,0.118,0.182,1,6826
"mu_beta[3,2]",0.306,0.032,0.254,0.359,1,7673
"mu_beta[1,3]",6.702,0.056,6.611,6.795,1.001,5123
"mu_beta[2,3]",5.861,0.086,5.717,6.003,1.001,2181
"mu_beta[3,3]",5.294,0.104,5.125,5.465,1.001,3634
"mu_beta[1,4]",-0.062,0.009,-0.076,-0.047,1,7779
"mu_beta[2,4]",-0.174,0.009,-0.189,-0.159,1,7382
