description,group,mean,sd,q05,q95
random intercept sd transformed_MMSE_loss,MCI,0.452,0.028,0.408,0.498
random intercept sd transformed_MMSE_loss,AD,0.316,0.032,0.265,0.369
random slope sd transformed_MMSE_loss,CN,0.049,0.028,0.006,0.097
random slope sd transformed_MMSE_loss,MCI,0.208,0.021,0.174,0.243
random slope sd transformed_MMSE_loss,AD,0.267,0.035,0.211,0.326
random intercept sd FSLong,CN,0.534,0.029,0.49,0.583
random intercept sd FSLong,MCI,0.922,0.037,0.864,0.984
random intercept sd FSLong,AD,0.868,0.053,0.785,0.96
random slope sd FSLong,CN,0.082,0.009,0.067,0.098
random slope sd FSLong,MCI,0.112,0.009,0.097,0.127
random slope sd FSLong,AD,0.076,0.031,0.017,0.122
random intercept sd ANTsSST,CN,1.167,0.063,1.069,1.275
random intercept sd ANTsSST,MCI,1.503,0.061,1.405,1.607
random intercept sd ANTsSST,AD,1.631,0.101,1.475,1.805
random slope sd ANTsSST,CN,0.099,0.022,0.063,0.136
random slope sd ANTsSST,MCI,0.087,0.019,0.056,0.119
random slope sd ANTsSST,AD,0.064,0.046,0.005,0.151
error/residual sd transformed_MMSE_loss,CN,0.443,0.014,0.42,0.466
error/residual sd transformed_MMSE_loss,MCI,0.408,0.01,0.391,0.425
error/residual sd transformed_MMSE_loss,AD,0.274,0.015,0.25,0.299
error/residual sd FSLong,CN,0.154,0.006,0.145,0.164
error/residual sd FSLong,MCI,0.163,0.004,0.157,0.171
error/residual sd FSLong,AD,0.176,0.01,0.159,0.193
error/residual sd ANTsSST,CN,0.351,0.012,0.332,0.372
error/residual sd ANTsSST,MCI,0.365,0.009,0.351,0.38
error/residual sd ANTsSST,AD,0.358,0.016,0.332,0.384
"random effects correlation 1,2",CN,0.065,0.32,-0.446,0.599
"random effects correlation 1,2",MCI,0.477,0.126,0.271,0.683
"random effects correlation 1,2",AD,0.427,0.16,0.166,0.696
"random effects correlation 1,3",CN,0.213,0.117,0.017,0.402
"random effects correlation 1,3",MCI,-0.304,0.066,-0.408,-0.193
"random effects correlation 1,3",AD,-0.444,0.09,-0.585,-0.291
"random effects correlation 1,4",CN,-0.025,0.176,-0.306,0.278
"random effects correlation 1,4",MCI,-0.456,0.089,-0.596,-0.303
"random effects correlation 1,4",AD,-0.139,0.245,-0.555,0.26
"random effects correlation 1,5",CN,0.125,0.119,-0.069,0.323
"random effects correlation 1,5",MCI,-0.21,0.067,-0.32,-0.097
"random effects correlation 1,5",AD,-0.446,0.092,-0.591,-0.289
"random effects correlation 1,6",CN,0.14,0.215,-0.215,0.492
"random effects correlation 1,6",MCI,-0.099,0.175,-0.387,0.193
"random effects correlation 1,6",AD,-0.193,0.332,-0.699,0.406
"random effects correlation 2,3",CN,-0.122,0.276,-0.58,0.35
"random effects correlation 2,3",MCI,-0.37,0.087,-0.512,-0.223
"random effects correlation 2,3",AD,-0.154,0.123,-0.351,0.052
"random effects correlation 2,4",CN,-0.406,0.315,-0.819,0.199
"random effects correlation 2,4",MCI,-0.767,0.09,-0.902,-0.609
"random effects correlation 2,4",AD,-0.199,0.248,-0.6,0.216
"random effects correlation 2,5",CN,-0.162,0.307,-0.636,0.394
"random effects correlation 2,5",MCI,-0.413,0.084,-0.549,-0.273
"random effects correlation 2,5",AD,-0.246,0.121,-0.441,-0.038
"random effects correlation 2,6",CN,-0.309,0.326,-0.776,0.298
"random effects correlation 2,6",MCI,-0.648,0.15,-0.859,-0.368
"random effects correlation 2,6",AD,-0.069,0.337,-0.616,0.496
"random effects correlation 3,4",CN,0.295,0.107,0.12,0.471
"random effects correlation 3,4",MCI,0.274,0.079,0.142,0.401
"random effects correlation 3,4",AD,0.16,0.226,-0.194,0.551
"random effects correlation 3,5",CN,0.389,0.064,0.28,0.49
"random effects correlation 3,5",MCI,0.544,0.041,0.475,0.608
"random effects correlation 3,5",AD,0.624,0.054,0.529,0.708
"random effects correlation 3,6",CN,0.353,0.154,0.104,0.614
"random effects correlation 3,6",MCI,0.118,0.157,-0.134,0.374
"random effects correlation 3,6",AD,0.057,0.316,-0.483,0.567
"random effects correlation 4,5",CN,0.398,0.106,0.221,0.567
"random effects correlation 4,5",MCI,0.25,0.077,0.123,0.374
"random effects correlation 4,5",AD,0.27,0.226,-0.095,0.647
"random effects correlation 4,6",CN,0.736,0.137,0.49,0.921
"random effects correlation 4,6",MCI,0.682,0.135,0.442,0.875
"random effects correlation 4,6",AD,-0.002,0.366,-0.598,0.606
"random effects correlation 5,6",CN,0.315,0.169,0.041,0.6
"random effects correlation 5,6",MCI,0.387,0.152,0.135,0.643
"random effects correlation 5,6",AD,0.186,0.322,-0.396,0.677
"error/residual correlation 1,2",CN,0.005,0.049,-0.076,0.084
"error/residual correlation 1,2",MCI,0.006,0.037,-0.055,0.068
"error/residual correlation 1,2",AD,-0.004,0.074,-0.125,0.118
"error/residual correlation 1,3",CN,-0.015,0.045,-0.089,0.06
"error/residual correlation 1,3",MCI,0.015,0.035,-0.044,0.072
"error/residual correlation 1,3",AD,-0.092,0.068,-0.204,0.021
"error/residual correlation 2,3",CN,0.237,0.048,0.158,0.314
"error/residual correlation 2,3",MCI,0.146,0.035,0.089,0.204
"error/residual correlation 2,3",AD,0.149,0.064,0.042,0.254
