description,group,mean,sd,q05,q95
age(c) coef transformed_MMSE_loss,CN,0.011,0.005,0.003,0.018
age(c) coef transformed_MMSE_loss,MCI,0.009,0.004,0.002,0.016
age(c) coef transformed_MMSE_loss,AD,-0,0.005,-0.008,0.007
male coef transformed_MMSE_loss,CN,0.08,0.049,-0.002,0.161
male coef transformed_MMSE_loss,MCI,-0.117,0.062,-0.218,-0.015
male coef transformed_MMSE_loss,AD,0.097,0.067,-0.015,0.208
age(c) coef FSLong,CN,-0.019,0.008,-0.032,-0.006
age(c) coef FSLong,MCI,-0.041,0.007,-0.053,-0.029
age(c) coef FSLong,AD,-0.048,0.01,-0.065,-0.031
male coef FSLong,CN,0.058,0.077,-0.068,0.185
male coef FSLong,MCI,0.22,0.106,0.048,0.396
male coef FSLong,AD,0.145,0.149,-0.099,0.39
age(c) coef ANTsSST,CN,-0.059,0.016,-0.087,-0.032
age(c) coef ANTsSST,MCI,-0.062,0.012,-0.082,-0.042
age(c) coef ANTsSST,AD,-0.1,0.019,-0.131,-0.069
male coef ANTsSST,CN,0.28,0.165,0.009,0.551
male coef ANTsSST,MCI,0.201,0.172,-0.083,0.484
male coef ANTsSST,AD,0.215,0.272,-0.235,0.666
random intercept mean transformed_MMSE_loss,CN,-0.856,0.039,-0.92,-0.792
random intercept mean transformed_MMSE_loss,MCI,0.034,0.05,-0.05,0.117
random intercept mean transformed_MMSE_loss,AD,0.676,0.047,0.599,0.753
random slope mean transformed_MMSE_loss,CN,0.02,0.017,-0.008,0.048
random slope mean transformed_MMSE_loss,MCI,0.15,0.02,0.118,0.182
random slope mean transformed_MMSE_loss,AD,0.306,0.032,0.254,0.359
random intercept mean FSLong,CN,6.702,0.056,6.611,6.795
random intercept mean FSLong,MCI,5.861,0.086,5.717,6.003
random intercept mean FSLong,AD,5.294,0.104,5.125,5.465
random slope mean FSLong,CN,-0.062,0.009,-0.076,-0.047
random slope mean FSLong,MCI,-0.174,0.009,-0.189,-0.159
random slope mean FSLong,AD,-0.251,0.015,-0.277,-0.226
random intercept mean ANTsSST,CN,7.993,0.121,7.792,8.192
random intercept mean ANTsSST,MCI,7.131,0.14,6.903,7.365
random intercept mean ANTsSST,AD,6.212,0.19,5.903,6.526
random slope mean ANTsSST,CN,-0.033,0.016,-0.059,-0.007
random slope mean ANTsSST,MCI,-0.11,0.014,-0.133,-0.087
random slope mean ANTsSST,AD,-0.168,0.028,-0.214,-0.122
random intercept sd transformed_MMSE_loss,CN,0.236,0.031,0.185,0.287
