parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.025,0.011,0.007,0.043,1,6720
"alpha[2,1]",0.037,0.016,0.011,0.063,1,7727
"alpha[3,1]",0.005,0.028,-0.04,0.05,1.001,7137
"alpha[1,2]",0.196,0.107,0.018,0.372,1,8196
"alpha[2,2]",-0.479,0.239,-0.88,-0.09,1,6891
"alpha[3,2]",0.644,0.41,-0.03,1.307,1,7578
"alpha[1,3]",-0.044,0.011,-0.062,-0.027,1.001,5733
"alpha[2,3]",-0.051,0.008,-0.065,-0.037,1.001,3531
"alpha[3,3]",-0.073,0.013,-0.094,-0.053,1.001,6165
"alpha[1,4]",0.164,0.106,-0.013,0.339,1,5717
"alpha[2,4]",0.183,0.123,-0.022,0.389,1,3253
"alpha[3,4]",0.204,0.185,-0.103,0.509,1,7131
"mu_beta[1,1]",0.742,0.086,0.6,0.883,1,7814
"mu_beta[2,1]",3.379,0.192,3.061,3.696,1,7059
"mu_beta[3,1]",6.204,0.291,5.728,6.674,1,7427
"mu_beta[1,2]",0.065,0.039,0.001,0.129,1,8962
"mu_beta[2,2]",0.982,0.104,0.814,1.155,1,7748
"mu_beta[3,2]",2.56,0.272,2.113,3.015,1,7660
"mu_beta[1,3]",7.354,0.076,7.231,7.479,1,5530
"mu_beta[2,3]",6.516,0.098,6.354,6.679,1.001,3464
"mu_beta[3,3]",5.759,0.132,5.546,5.976,1,6471
"mu_beta[1,4]",-0.046,0.011,-0.063,-0.027,1,7791
"mu_beta[2,4]",-0.142,0.01,-0.158,-0.127,1,7419
"mu_beta[3,4]",-0.211,0.017,-0.238,-0.183,1,9116
"sigma_beta[1,1]",0.506,0.077,0.376,0.631,1.001,6017
"sigma_beta[2,1]",1.566,0.113,1.385,1.754,1,5876
"sigma_beta[3,1]",1.857,0.212,1.514,2.205,1.001,4661
"sigma_beta[1,2]",0.183,0.065,0.072,0.288,1.005,1290
"sigma_beta[2,2]",1.413,0.102,1.25,1.586,1,4146
