parameter,mean,sd,q05,q95,rhat,ess
"sigma_beta[3,2]",2.585,0.259,2.18,3.03,1.001,5105
"sigma_beta[1,3]",0.732,0.04,0.669,0.799,1,5389
"sigma_beta[2,3]",1.079,0.043,1.012,1.153,1,3833
"sigma_beta[3,3]",1.146,0.07,1.038,1.267,1.001,5398
"sigma_beta[1,4]",0.093,0.013,0.071,0.114,1.001,5336
"sigma_beta[2,4]",0.095,0.012,0.076,0.114,1,6575
"sigma_beta[3,4]",0.048,0.028,0.006,0.097,1,4968
"sigma_epsilon[1,1]",0.956,0.032,0.904,1.01,1.001,4040
"sigma_epsilon[2,1]",1.651,0.045,1.577,1.725,1,4914
"sigma_epsilon[3,1]",1.896,0.104,1.733,2.073,1.001,3301
"sigma_epsilon[1,2]",0.206,0.008,0.194,0.219,1,5634
"sigma_epsilon[2,2]",0.211,0.005,0.203,0.22,1,7250
"sigma_epsilon[3,2]",0.21,0.01,0.195,0.227,1,6197
"L_Rho_beta[1,2,1]",0.212,0.324,-0.31,0.755,1.003,2059
"L_Rho_beta[2,2,1]",0.578,0.115,0.387,0.762,1,2986
"L_Rho_beta[3,2,1]",0.546,0.148,0.302,0.791,1.001,2852
"L_Rho_beta[1,3,1]",0.128,0.124,-0.073,0.33,1.004,415
"L_Rho_beta[2,3,1]",-0.269,0.07,-0.382,-0.151,1.008,898
"L_Rho_beta[3,3,1]",-0.511,0.095,-0.662,-0.346,1.001,1149
"L_Rho_beta[1,4,1]",0.157,0.202,-0.179,0.488,1.001,1972
"L_Rho_beta[2,4,1]",-0.317,0.132,-0.531,-0.098,1,5134
"L_Rho_beta[3,4,1]",-0.363,0.339,-0.844,0.264,1,7566
"L_Rho_beta[1,2,2]",0.914,0.119,0.654,1,1.001,2518
"L_Rho_beta[2,2,2]",0.803,0.086,0.647,0.922,1,2986
"L_Rho_beta[3,2,2]",0.818,0.107,0.611,0.953,1.001,2853
"L_Rho_beta[1,3,2]",0.012,0.268,-0.445,0.445,1.021,156
"L_Rho_beta[2,3,2]",-0.22,0.101,-0.383,-0.049,1.015,394
"L_Rho_beta[3,3,2]",0.002,0.169,-0.249,0.301,1.004,741
"L_Rho_beta[1,4,2]",-0.405,0.314,-0.829,0.185,1.003,819
"L_Rho_beta[2,4,2]",-0.769,0.127,-0.941,-0.535,1,3360
"L_Rho_beta[3,4,2]",-0.052,0.38,-0.674,0.587,1.001,6942
"L_Rho_beta[1,3,3]",0.944,0.069,0.807,0.997,1.016,412
"L_Rho_beta[2,3,3]",0.929,0.023,0.887,0.963,1.003,1051
"L_Rho_beta[3,3,3]",0.834,0.071,0.709,0.922,1.003,956
"L_Rho_beta[1,4,3]",0.405,0.19,0.083,0.703,1.006,594
"L_Rho_beta[2,4,3]",0.1,0.108,-0.077,0.278,1.003,1851
"L_Rho_beta[3,4,3]",0.163,0.341,-0.438,0.707,1.001,7708
"L_Rho_beta[1,4,4]",0.656,0.203,0.254,0.913,1.001,2564
"L_Rho_beta[2,4,4]",0.474,0.17,0.164,0.731,1.001,3165
"L_Rho_beta[3,4,4]",0.642,0.227,0.212,0.946,1,6307
"L_Rho_epsilon[1,2,1]",-0.015,0.049,-0.095,0.066,1,4242
"L_Rho_epsilon[2,2,1]",0.004,0.037,-0.057,0.064,1.001,6831
"L_Rho_epsilon[3,2,1]",-0.114,0.07,-0.229,0.002,1,7605
"L_Rho_epsilon[1,2,2]",0.999,0.002,0.995,1,1,6573
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1.001,7387
"L_Rho_epsilon[3,2,2]",0.991,0.009,0.973,1,1,7654
"z[1,1]",0.111,0.651,-0.955,1.173,1,8758
"z[2,1]",0.044,0.642,-1.024,1.107,1.001,8388
"z[3,1]",-0.314,0.735,-1.514,0.906,1,7696
"z[4,1]",0.941,0.8,-0.436,2.196,1.001,4168
"z[5,1]",-0.504,0.647,-1.565,0.564,1,8124
"z[6,1]",-0.306,0.65,-1.377,0.753,1,7706
"z[7,1]",-0.938,0.729,-2.123,0.278,1,8785
"z[8,1]",-0.303,0.801,-1.635,1.011,1.001,8600
"z[9,1]",1.201,0.807,-0.161,2.494,1.002,2029
"z[10,1]",-1.077,0.675,-2.174,0.049,1,5316
"z[11,1]",0.591,0.754,-0.676,1.825,1,2335
"z[12,1]",-0.634,0.699,-1.767,0.538,1.001,6446
"z[13,1]",0.883,0.725,-0.283,2.091,1,8068
"z[14,1]",-0.413,0.687,-1.532,0.722,1,7804
"z[15,1]",-0.096,0.684,-1.229,1.009,1,8188
"z[16,1]",0.515,0.686,-0.628,1.642,1.001,8246
"z[17,1]",1.657,0.822,0.305,2.979,1,5968
"z[18,1]",0.157,0.775,-1.091,1.45,1.001,5702
"z[19,1]",-0.278,0.874,-1.724,1.167,1.001,3139
"z[20,1]",0.672,0.731,-0.55,1.871,1,9200
"z[21,1]",0.118,0.787,-1.185,1.418,1.001,8363
"z[22,1]",-0.711,0.729,-1.909,0.495,1,7924
"z[23,1]",-0.034,0.73,-1.233,1.173,1,8380
"z[24,1]",-0.11,0.652,-1.192,0.948,1,8028
"z[25,1]",-0.81,0.696,-1.965,0.326,1,7106
"z[26,1]",-0.584,0.723,-1.766,0.615,1,9017
"z[27,1]",0.947,0.72,-0.265,2.098,1.001,5910
"z[28,1]",-0.283,0.689,-1.418,0.833,1,7672
"z[29,1]",0.87,0.799,-0.445,2.173,1.001,8477
"z[30,1]",1.111,0.755,-0.12,2.387,1,4996
"z[31,1]",-0.132,0.661,-1.215,0.969,1,5018
"z[32,1]",1.921,0.716,0.765,3.119,1.001,6162
"z[33,1]",-0.682,0.679,-1.794,0.448,1,8674
"z[34,1]",1.629,0.791,0.345,2.93,1.001,7950
"z[35,1]",-0.121,0.652,-1.167,0.962,1.001,7202
"z[36,1]",0.484,0.809,-0.838,1.804,1,6369
"z[37,1]",0.09,0.699,-1.059,1.257,1,7196
"z[38,1]",0.339,0.746,-0.89,1.564,1,6750
"z[39,1]",-0.351,0.686,-1.476,0.776,1,7257
"z[40,1]",0.156,0.677,-0.954,1.277,1,7655
"z[41,1]",-0.499,0.729,-1.677,0.701,1,8476
"z[42,1]",-0.692,0.673,-1.795,0.432,1,6829
"z[43,1]",-0.397,0.698,-1.556,0.741,1,7698
"z[44,1]",-0.232,0.729,-1.429,0.974,1,8741
"z[45,1]",-0.343,0.78,-1.621,0.921,1,8263
"z[46,1]",-0.133,0.652,-1.21,0.936,1.001,5858
"z[47,1]",1.38,0.701,0.212,2.514,1,6389
"z[48,1]",-0.332,0.719,-1.495,0.844,1,8562
"z[49,1]",-0.046,0.665,-1.138,1.038,1,4874
"z[50,1]",-0.485,0.681,-1.604,0.627,1,8303
"z[51,1]",-0.614,0.671,-1.713,0.492,1,7676
"z[52,1]",-0.904,0.681,-2,0.218,1,8537
"z[53,1]",-0.861,0.648,-1.939,0.207,1,8278
"z[54,1]",-0.538,0.691,-1.695,0.601,1,7273
"z[55,1]",-0.985,0.664,-2.067,0.083,1,8643
"z[56,1]",-0.163,0.682,-1.288,0.956,1,6622
"z[57,1]",-0.458,0.691,-1.587,0.674,1.001,6855
"z[58,1]",-0.617,0.651,-1.695,0.451,1,7382
"z[59,1]",-0.433,0.648,-1.499,0.634,1,8763
"z[60,1]",-0.355,0.702,-1.516,0.803,1,5923
"z[61,1]",-0.066,0.644,-1.136,0.993,1,8023
"z[62,1]",0.999,0.694,-0.147,2.122,1,7952
"z[63,1]",-0.157,0.651,-1.221,0.893,1,8520
"z[64,1]",-0.186,0.668,-1.269,0.907,1.001,4247
"z[65,1]",-0.728,0.658,-1.801,0.391,1,7895
"z[66,1]",-0.669,0.673,-1.791,0.44,1,4137
"z[67,1]",-0.374,0.735,-1.578,0.82,1,8977
"z[68,1]",-0,0.723,-1.164,1.199,1,7767
"z[69,1]",-0.988,0.683,-2.095,0.119,1,8074
"z[70,1]",0.102,0.714,-1.087,1.275,1.002,3109
"z[71,1]",0.137,0.632,-0.895,1.177,1,8200
"z[72,1]",1.688,0.732,0.477,2.89,1,7655
"z[73,1]",0.065,0.653,-1.02,1.138,1,7057
"z[74,1]",2.056,0.666,0.956,3.149,1,5883
"z[75,1]",0.613,0.676,-0.508,1.718,1.001,4176
"z[76,1]",0.024,0.693,-1.101,1.181,1,6725
"z[77,1]",2.418,0.753,1.204,3.645,1,7974
"z[78,1]",-0.45,0.696,-1.589,0.698,1,4840
"z[79,1]",0.119,0.691,-1.004,1.267,1.001,8178
"z[80,1]",1.082,0.656,0.018,2.16,1,8296
"z[81,1]",-0.515,0.69,-1.624,0.611,1,7416
"z[82,1]",-0.666,0.679,-1.788,0.434,1,2514
"z[83,1]",-0.586,0.735,-1.768,0.63,1,7880
"z[84,1]",-0.688,0.663,-1.772,0.403,1,6903
"z[85,1]",0.538,0.643,-0.512,1.608,1,8633
"z[86,1]",0.57,0.676,-0.536,1.709,1.001,8273
"z[87,1]",-0.24,0.682,-1.356,0.87,1,7306
"z[88,1]",0.972,0.655,-0.127,2.023,1.001,6397
"z[89,1]",-0.7,0.681,-1.824,0.417,1,7163
"z[90,1]",0.746,0.728,-0.414,1.934,1,8285
"z[91,1]",-0.092,0.792,-1.399,1.217,1.001,7987
"z[92,1]",-0.225,0.685,-1.361,0.909,1,7145
"z[93,1]",-0.122,0.649,-1.186,0.955,1,8093
"z[94,1]",0.4,0.745,-0.814,1.629,1,7341
"z[95,1]",-0.752,0.697,-1.898,0.391,1,6891
"z[96,1]",0.448,0.73,-0.744,1.668,1,8284
"z[97,1]",-0.13,0.739,-1.34,1.078,1,7307
"z[98,1]",0.103,0.704,-1.074,1.26,1,5802
"z[99,1]",0.948,0.654,-0.116,2.018,1.001,7889
"z[100,1]",1.476,0.683,0.361,2.596,1.001,5782
"z[101,1]",-0.466,0.704,-1.622,0.688,1,5769
"z[102,1]",-0.492,0.645,-1.542,0.565,1,7467
"z[103,1]",-0.676,0.646,-1.745,0.376,1,8311
"z[104,1]",-0.415,0.688,-1.524,0.732,1,8367
"z[105,1]",0.456,0.668,-0.65,1.526,1,8713
"z[106,1]",-0.1,0.648,-1.14,0.978,1,7467
"z[107,1]",-0.339,0.662,-1.416,0.751,1,6020
"z[108,1]",0.858,0.685,-0.25,1.983,1.001,8125
"z[109,1]",-0.211,0.678,-1.312,0.934,1.001,7180
"z[110,1]",0.108,0.738,-1.087,1.336,1.001,6826
"z[111,1]",-0.268,0.695,-1.416,0.866,1,7453
"z[112,1]",-0.608,0.697,-1.759,0.538,1,3685
"z[113,1]",0.476,0.805,-0.846,1.809,1,8043
"z[114,1]",0.222,0.739,-0.987,1.439,1,8441
"z[115,1]",0.519,0.737,-0.692,1.74,1,8071
"z[116,1]",1.181,0.733,-0.014,2.385,1,8697
"z[117,1]",-0.454,0.746,-1.68,0.767,1,8291
"z[118,1]",-0.262,0.794,-1.583,1.047,1,8297
"z[119,1]",0.207,0.652,-0.858,1.286,1,7499
"z[120,1]",0.197,0.651,-0.901,1.241,1.001,7276
"z[121,1]",-0.71,0.663,-1.789,0.378,1,7249
"z[122,1]",-0.186,0.722,-1.387,0.983,1,8121
"z[123,1]",-0.539,0.726,-1.717,0.677,1,8195
"z[124,1]",-0.471,0.731,-1.663,0.716,1,8198
"z[125,1]",-0.904,0.795,-2.213,0.406,1,7791
"z[126,1]",-0.586,0.695,-1.716,0.572,1,5095
"z[127,1]",-0.237,0.735,-1.473,0.962,1.001,8039
"z[128,1]",1.613,0.737,0.372,2.809,1,8018
"z[129,1]",1.153,0.797,-0.151,2.474,1.001,9034
"z[130,1]",-0.644,0.657,-1.704,0.438,1.001,5197
"z[131,1]",-0.559,0.653,-1.612,0.513,1,6666
"z[132,1]",-0.586,0.648,-1.649,0.498,1.001,8123
"z[133,1]",0.248,0.692,-0.896,1.385,1.001,8446
"z[134,1]",0.277,0.676,-0.82,1.41,1.001,8864
"z[135,1]",-0.748,0.725,-1.932,0.445,1,7851
"z[136,1]",0.583,0.716,-0.589,1.746,1,8880
"z[137,1]",-0.76,0.735,-1.963,0.428,1,8211
"z[138,1]",-0.656,0.674,-1.782,0.459,1,8797
"z[139,1]",-0.538,0.681,-1.638,0.594,1.001,8300
"z[140,1]",0.306,0.74,-0.925,1.513,1.001,8247
"z[141,1]",0.439,0.759,-0.813,1.652,1,5388
"z[142,1]",-0.365,0.721,-1.525,0.838,1.001,4563
"z[143,1]",-0.019,0.795,-1.336,1.286,1.001,7251
"z[144,1]",0.436,0.744,-0.789,1.637,1,7326
"z[145,1]",0.354,0.794,-0.95,1.643,1.001,3706
"z[146,1]",-0.812,0.736,-2.015,0.403,1,8020
"z[147,1]",-0.803,0.803,-2.098,0.514,1,7598
"z[148,1]",-0.427,0.678,-1.55,0.678,1.001,5149
"z[149,1]",-0.967,0.753,-2.222,0.274,1,3923
"z[150,1]",-0.29,0.681,-1.42,0.829,1,8210
"z[151,1]",-0.641,0.66,-1.725,0.439,1,6719
"z[152,1]",0.356,0.719,-0.833,1.537,1.001,2691
"z[153,1]",-0.169,0.683,-1.288,0.954,1,7889
"z[154,1]",0.678,0.642,-0.376,1.739,1.001,6955
"z[155,1]",0.135,0.652,-0.926,1.194,1,7565
"z[156,1]",-0.682,0.678,-1.792,0.42,1,7846
"z[157,1]",0.271,0.747,-0.974,1.48,1,6385
"z[158,1]",0.181,0.728,-1.018,1.373,1,8501
"z[159,1]",0.038,0.722,-1.161,1.214,1,8578
"z[160,1]",0.256,0.691,-0.876,1.419,1,8268
"z[161,1]",0.2,0.822,-1.138,1.556,1,5353
"z[162,1]",-0.129,0.688,-1.275,0.993,1,8042
"z[163,1]",-0.142,0.653,-1.215,0.94,1.001,5089
"z[164,1]",-0.173,0.722,-1.369,1.006,1,8489
"z[165,1]",0.208,0.694,-0.919,1.366,1.001,5636
"z[166,1]",-0.808,0.706,-1.968,0.337,1.001,2885
"z[167,1]",-0.266,0.8,-1.571,1.06,1.001,8506
"z[168,1]",0.981,0.736,-0.234,2.181,1.001,7974
"z[169,1]",0.289,0.782,-1.009,1.561,1,8237
"z[170,1]",1.356,0.729,0.163,2.536,1,7183
"z[171,1]",-0.622,0.697,-1.757,0.523,1,6720
"z[172,1]",-0.333,0.764,-1.586,0.918,1.002,2220
"z[173,1]",-0.306,0.749,-1.54,0.947,1.001,6933
"z[174,1]",0.343,0.792,-0.94,1.642,1,7968
"z[175,1]",-0.667,0.705,-1.835,0.495,1,3479
"z[176,1]",-0.336,0.727,-1.518,0.853,1,8313
"z[177,1]",-0.733,0.649,-1.793,0.33,1,5735
"z[178,1]",1.749,0.702,0.579,2.871,1,6919
"z[179,1]",0.757,0.692,-0.398,1.878,1,6766
"z[180,1]",-0.31,0.793,-1.626,0.975,1,8332
"z[181,1]",-0.687,0.758,-1.939,0.541,1,4977
"z[182,1]",1.862,0.921,0.291,3.342,1.001,1459
"z[183,1]",1.454,0.689,0.331,2.603,1,8458
"z[184,1]",0.143,0.724,-1.044,1.323,1,3486
"z[185,1]",0.223,0.707,-0.933,1.399,1,8314
"z[186,1]",0.535,0.639,-0.514,1.574,1,8247
"z[187,1]",-0.437,0.65,-1.514,0.639,1,8631
"z[188,1]",0.07,0.672,-1.048,1.174,1,8362
"z[189,1]",0.114,0.678,-1.002,1.221,1.001,8838
"z[190,1]",-0.92,0.737,-2.133,0.294,1,6022
"z[191,1]",0.285,0.879,-1.134,1.756,1,6628
"z[192,1]",0.193,0.785,-1.093,1.501,1,8686
"z[193,1]",-0.179,0.778,-1.478,1.094,1,8513
"z[194,1]",-0.523,0.731,-1.737,0.674,1,8480
"z[195,1]",-0.935,0.695,-2.076,0.208,1,7442
"z[196,1]",-0.213,0.682,-1.327,0.903,1,8590
"z[197,1]",-1.133,0.716,-2.296,0.042,1,2553
"z[198,1]",0.183,0.47,-0.579,0.963,1.001,8483
"z[199,1]",-0.912,0.468,-1.673,-0.142,1,8440
"z[200,1]",0.255,0.529,-0.605,1.132,1,8887
"z[201,1]",0.374,0.737,-0.865,1.532,1.002,2764
"z[202,1]",-0.372,0.472,-1.134,0.405,1.001,7879
"z[203,1]",-1.033,0.455,-1.772,-0.294,1,8003
"z[204,1]",-0.561,0.476,-1.34,0.217,1.001,8392
"z[205,1]",0.137,0.51,-0.703,0.973,1,8454
"z[206,1]",-0.941,0.521,-1.803,-0.092,1,8236
"z[207,1]",-1.048,0.468,-1.808,-0.267,1,8619
"z[208,1]",0.323,0.477,-0.441,1.115,1,7951
"z[209,1]",0.592,0.474,-0.177,1.369,1,8409
"z[210,1]",-0.167,0.477,-0.95,0.623,1.001,7450
"z[211,1]",-0.752,0.504,-1.579,0.091,1.001,7630
"z[212,1]",0.034,0.51,-0.78,0.886,1,8197
"z[213,1]",-0.551,0.501,-1.377,0.279,1,8816
"z[214,1]",0.009,0.557,-0.906,0.909,1,6610
"z[215,1]",-0.476,0.5,-1.314,0.335,1,8700
"z[216,1]",0.409,0.454,-0.341,1.153,1,8610
"z[217,1]",-0.566,0.464,-1.33,0.196,1,8240
"z[218,1]",-0.55,0.483,-1.342,0.23,1,7600
"z[219,1]",-0.939,0.473,-1.719,-0.176,1,6642
"z[220,1]",0.859,0.504,0.027,1.706,1.001,6235
"z[221,1]",1.342,0.56,0.43,2.263,1,8152
"z[222,1]",0.038,0.462,-0.724,0.8,1,8146
"z[223,1]",-1.008,0.462,-1.768,-0.252,1.001,8273
"z[224,1]",-0.539,0.495,-1.358,0.269,1,8318
"z[225,1]",-0.742,0.464,-1.496,0.015,1,7892
"z[226,1]",0.209,0.463,-0.539,0.971,1,7982
"z[227,1]",0.301,0.49,-0.492,1.128,1,6715
"z[228,1]",0.035,0.478,-0.751,0.805,1.001,5043
"z[229,1]",0.783,0.468,0.016,1.55,1,8702
"z[230,1]",0.837,0.473,0.049,1.615,1,7459
"z[231,1]",0.511,0.48,-0.284,1.288,1.001,6569
"z[232,1]",-0.053,0.465,-0.811,0.715,1,8389
"z[233,1]",-0.042,0.471,-0.826,0.733,1.001,6323
"z[234,1]",-0.244,0.47,-0.999,0.542,1,7821
"z[235,1]",0.079,0.467,-0.702,0.843,1,6548
"z[236,1]",-0.219,0.497,-1.038,0.6,1,7971
"z[237,1]",-0.764,0.465,-1.516,0.006,1,6731
"z[238,1]",1.848,0.484,1.05,2.645,1,7210
"z[239,1]",-0.616,0.471,-1.393,0.148,1,7918
"z[240,1]",-0.123,0.479,-0.903,0.671,1.001,8067
"z[241,1]",0.174,0.488,-0.627,0.984,1.001,8198
"z[242,1]",-0.454,0.57,-1.381,0.48,1,8527
"z[243,1]",0.169,0.513,-0.67,1.009,1.001,7835
"z[244,1]",-0.616,0.473,-1.379,0.162,1,8935
"z[245,1]",-1.426,0.549,-2.329,-0.522,1,8652
"z[246,1]",-0.721,0.481,-1.521,0.063,1,7742
"z[247,1]",-1.013,0.502,-1.849,-0.194,1,8699
"z[248,1]",0.273,0.5,-0.547,1.083,1,7208
"z[249,1]",-1.061,0.45,-1.798,-0.325,1,8067
"z[250,1]",-0.259,0.498,-1.079,0.56,1,8681
"z[251,1]",-0.167,0.506,-1.001,0.667,1,8211
"z[252,1]",0.002,0.511,-0.855,0.844,1.001,6015
"z[253,1]",1.021,0.518,0.174,1.877,1,8288
"z[254,1]",0.411,0.463,-0.352,1.165,1,8549
"z[255,1]",1.872,0.54,0.952,2.739,1.001,6555
"z[256,1]",-0.413,0.517,-1.274,0.424,1,8482
"z[257,1]",1.19,0.474,0.41,1.974,1,8787
"z[258,1]",-0.389,0.506,-1.211,0.455,1,9087
"z[259,1]",0.215,0.503,-0.623,1.029,1,7719
"z[260,1]",-0.937,0.473,-1.71,-0.16,1,7438
"z[261,1]",-0.8,0.508,-1.632,0.026,1.001,8149
"z[262,1]",-0.535,0.466,-1.292,0.238,1,7259
"z[263,1]",-0.575,0.504,-1.415,0.245,1,8808
"z[264,1]",0.098,0.459,-0.654,0.852,1.001,8256
"z[265,1]",-0.121,0.564,-1.033,0.799,1,8675
"z[266,1]",-0.634,0.471,-1.398,0.15,1,8464
"z[267,1]",-1.214,0.463,-1.976,-0.458,1,8262
"z[268,1]",1.327,0.652,0.244,2.393,1,9099
"z[269,1]",-0.061,0.518,-0.898,0.804,1,8496
"z[270,1]",0.757,0.493,-0.052,1.578,1,8039
"z[271,1]",0.026,0.56,-0.908,0.949,1,8722
"z[272,1]",-0.374,0.513,-1.218,0.47,1,7978
"z[273,1]",0.733,0.568,-0.214,1.652,1,4539
"z[274,1]",1.432,0.471,0.661,2.215,1,8507
"z[275,1]",1.077,0.556,0.166,1.998,1,8873
"z[276,1]",-0.783,0.459,-1.548,-0.031,1.001,8469
"z[277,1]",2.477,0.49,1.658,3.273,1,8015
"z[278,1]",0.066,0.483,-0.739,0.861,1.001,7066
"z[279,1]",-0.031,0.504,-0.885,0.764,1,6972
"z[280,1]",3.849,0.564,2.899,4.755,1,5238
"z[281,1]",0.032,0.476,-0.749,0.823,1.001,7310
"z[282,1]",-0.294,0.494,-1.105,0.528,1,9076
"z[283,1]",0.249,0.455,-0.485,1.012,1,7555
"z[284,1]",0.003,0.469,-0.758,0.778,1,7965
"z[285,1]",0.569,0.463,-0.18,1.335,1,6159
"z[286,1]",0.603,0.462,-0.138,1.378,1,8434
"z[287,1]",1.862,0.526,1.015,2.74,1.001,7702
"z[288,1]",0.811,0.472,0.047,1.583,1,7708
"z[289,1]",1.783,0.476,0.999,2.562,1,7938
"z[290,1]",-0.476,0.511,-1.309,0.379,1.001,5945
"z[291,1]",0.284,0.664,-0.798,1.38,1.001,8796
"z[292,1]",0.545,0.486,-0.237,1.345,1.001,5931
"z[293,1]",1.948,0.475,1.163,2.72,1,7737
"z[294,1]",-0.24,0.491,-1.052,0.559,1,7453
"z[295,1]",-1.338,0.517,-2.178,-0.48,1,7314
"z[296,1]",0.988,0.516,0.144,1.846,1,8792
"z[297,1]",1.06,0.487,0.246,1.848,1,8153
"z[298,1]",-0.868,0.485,-1.663,-0.065,1.001,4874
"z[299,1]",0.344,0.474,-0.431,1.126,1.001,5883
"z[300,1]",1.402,0.495,0.58,2.216,1,7963
"z[301,1]",0.549,0.57,-0.385,1.487,1,8847
"z[302,1]",1.619,0.566,0.693,2.561,1,8705
"z[303,1]",-0.936,0.466,-1.7,-0.161,1,8329
"z[304,1]",1.331,0.517,0.503,2.198,1,8509
"z[305,1]",-0.718,0.462,-1.47,0.049,1,8084
"z[306,1]",0.579,0.529,-0.312,1.429,1,8507
"z[307,1]",1.022,0.502,0.204,1.859,1,8676
"z[308,1]",0.455,0.461,-0.309,1.212,1,8437
"z[309,1]",0.337,0.454,-0.418,1.079,1,7637
"z[310,1]",-1.195,0.486,-1.982,-0.393,1.001,7675
"z[311,1]",-0.064,0.461,-0.825,0.694,1,7708
"z[312,1]",-0.995,0.469,-1.769,-0.226,1,8615
"z[313,1]",-1.074,0.518,-1.927,-0.218,1,7834
"z[314,1]",-1.362,0.492,-2.184,-0.562,1,7039
"z[315,1]",0.797,0.485,-0.016,1.595,1,8379
"z[316,1]",0.287,0.501,-0.532,1.112,1,7820
"z[317,1]",-0.771,0.485,-1.565,0.016,1,8277
"z[318,1]",1.131,0.49,0.346,1.961,1,8100
"z[319,1]",-0.587,0.505,-1.412,0.254,1,7877
"z[320,1]",-0.881,0.489,-1.709,-0.091,1,8598
"z[321,1]",-0.23,0.498,-1.04,0.594,1,7602
"z[322,1]",0.492,0.581,-0.476,1.431,1,7956
"z[323,1]",0.973,0.459,0.21,1.729,1.001,8358
"z[324,1]",-0.955,0.501,-1.789,-0.136,1,8498
"z[325,1]",-0.405,0.463,-1.175,0.348,1.001,8381
"z[326,1]",0.859,0.508,0.017,1.704,1,8179
"z[327,1]",-0.716,0.481,-1.511,0.08,1.001,7927
"z[328,1]",-0.688,0.462,-1.433,0.093,1,7763
"z[329,1]",0.811,0.481,0.022,1.598,1.001,6535
"z[330,1]",0.355,0.487,-0.446,1.153,1,7467
"z[331,1]",-0.568,0.471,-1.355,0.187,1,8375
"z[332,1]",0.785,0.475,0.018,1.58,1,8664
"z[333,1]",0.578,0.468,-0.179,1.341,1,7236
"z[334,1]",-0.237,0.497,-1.052,0.582,1,9039
"z[335,1]",-0.098,0.462,-0.859,0.664,1,8528
"z[336,1]",-0.809,0.501,-1.636,0.025,1,8057
"z[337,1]",-0.595,0.458,-1.344,0.151,1,8547
"z[338,1]",-0.412,0.465,-1.155,0.37,1.001,6726
"z[339,1]",0.602,0.464,-0.142,1.375,1,7605
"z[340,1]",0.961,0.483,0.174,1.766,1,7561
"z[341,1]",0.796,0.499,-0.028,1.629,1.001,6163
"z[342,1]",1.033,0.463,0.266,1.792,1,8541
"z[343,1]",-0.631,0.474,-1.411,0.143,1,8284
"z[344,1]",0.741,0.493,-0.073,1.555,1,8472
"z[345,1]",0.593,0.493,-0.225,1.402,1,8137
"z[346,1]",0.583,0.45,-0.157,1.337,1,8464
"z[347,1]",0.416,0.561,-0.522,1.333,1,8772
"z[348,1]",-0.341,0.461,-1.107,0.417,1.001,8376
"z[349,1]",0.623,0.475,-0.162,1.403,1,8461
"z[350,1]",-0.463,0.491,-1.269,0.342,1,7479
"z[351,1]",-0.617,0.512,-1.462,0.232,1,8739
"z[352,1]",-0.96,0.486,-1.771,-0.168,1.001,5515
"z[353,1]",1.028,0.454,0.289,1.764,1,8293
"z[354,1]",0.092,0.473,-0.676,0.888,1,8214
"z[355,1]",-0.777,0.491,-1.585,0.023,1,8248
"z[356,1]",1.092,0.477,0.312,1.885,1,8160
"z[357,1]",0.343,0.494,-0.482,1.148,1.001,8143
"z[358,1]",0.418,0.658,-0.671,1.517,1,8731
"z[359,1]",-0.839,0.5,-1.645,-0.026,1,9459
"z[360,1]",-0.384,0.496,-1.193,0.434,1,8595
"z[361,1]",-0.046,0.474,-0.818,0.746,1,7909
