parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.026,0.011,0.007,0.043,1,7528
"alpha[2,1]",0.04,0.016,0.013,0.066,1,7196
"alpha[3,1]",0.005,0.029,-0.042,0.052,1,7051
"alpha[1,2]",0.194,0.108,0.021,0.371,1,7847
"alpha[2,2]",-0.501,0.238,-0.893,-0.11,1,7161
"alpha[3,2]",0.651,0.408,-0.02,1.332,1,7156
"alpha[1,3]",-0.071,0.017,-0.099,-0.044,1,5691
"alpha[2,3]",-0.061,0.012,-0.081,-0.042,1,3238
"alpha[3,3]",-0.099,0.018,-0.128,-0.069,1.001,5535
"alpha[1,4]",0.283,0.169,0.013,0.563,1,4965
"alpha[2,4]",0.171,0.172,-0.111,0.46,1.001,3130
"alpha[3,4]",0.248,0.266,-0.188,0.679,1,4734
"mu_beta[1,1]",0.744,0.086,0.604,0.887,1,7521
"mu_beta[2,1]",3.396,0.191,3.079,3.708,1.001,7011
"mu_beta[3,1]",6.202,0.291,5.721,6.673,1.001,7300
"mu_beta[1,2]",0.067,0.039,0.003,0.13,1,8077
"mu_beta[2,2]",0.974,0.104,0.806,1.15,1,7685
"mu_beta[3,2]",2.555,0.275,2.102,3.011,1,7369
"mu_beta[1,3]",8.001,0.124,7.8,8.208,1.001,4476
"mu_beta[2,3]",7.152,0.141,6.917,7.382,1.001,3179
"mu_beta[3,3]",6.219,0.188,5.908,6.526,1,4922
"mu_beta[1,4]",-0.032,0.016,-0.058,-0.006,1,8206
"mu_beta[2,4]",-0.111,0.014,-0.134,-0.088,1,8014
"mu_beta[3,4]",-0.168,0.027,-0.214,-0.123,1.001,8212
"sigma_beta[1,1]",0.508,0.076,0.384,0.632,1.001,5266
"sigma_beta[2,1]",1.57,0.113,1.388,1.758,1,5658
"sigma_beta[3,1]",1.865,0.212,1.523,2.222,1,5311
"sigma_beta[1,2]",0.178,0.068,0.06,0.284,1.003,1202
"sigma_beta[2,2]",1.417,0.103,1.252,1.594,1.001,4276
"sigma_beta[3,2]",2.588,0.257,2.178,3.017,1,5653
"sigma_beta[1,3]",1.162,0.063,1.062,1.269,1,5432
"sigma_beta[2,3]",1.504,0.062,1.407,1.607,1,3888
