parameter,mean,sd,q05,q95,rhat,ess
"sigma_beta[3,3]",1.63,0.101,1.471,1.805,1,4757
"sigma_beta[1,4]",0.095,0.028,0.046,0.139,1,3954
"sigma_beta[2,4]",0.079,0.021,0.045,0.113,1,5591
"sigma_beta[3,4]",0.059,0.044,0.005,0.143,1,4811
"sigma_epsilon[1,1]",0.956,0.032,0.903,1.01,1.001,4992
"sigma_epsilon[2,1]",1.649,0.045,1.576,1.726,1,4925
"sigma_epsilon[3,1]",1.895,0.103,1.733,2.071,1,4224
"sigma_epsilon[1,2]",0.353,0.013,0.332,0.375,1,4979
"sigma_epsilon[2,2]",0.367,0.009,0.353,0.381,1,7653
"sigma_epsilon[3,2]",0.357,0.016,0.332,0.384,1,6838
"L_Rho_beta[1,2,1]",0.229,0.335,-0.308,0.786,1.002,2012
"L_Rho_beta[2,2,1]",0.572,0.116,0.382,0.761,1.001,2464
"L_Rho_beta[3,2,1]",0.536,0.147,0.293,0.78,1.002,2266
"L_Rho_beta[1,3,1]",0.1,0.127,-0.108,0.31,1.004,670
"L_Rho_beta[2,3,1]",-0.203,0.072,-0.321,-0.085,1.009,864
"L_Rho_beta[3,3,1]",-0.47,0.099,-0.624,-0.3,1.007,996
"L_Rho_beta[1,4,1]",0.202,0.255,-0.236,0.602,1.001,3794
"L_Rho_beta[2,4,1]",-0.163,0.225,-0.544,0.203,1.001,5695
"L_Rho_beta[3,4,1]",-0.267,0.383,-0.816,0.458,1,7758
"L_Rho_beta[1,2,2]",0.905,0.13,0.617,1,1.001,2415
"L_Rho_beta[2,2,2]",0.808,0.087,0.649,0.924,1.001,2464
"L_Rho_beta[3,2,2]",0.824,0.105,0.626,0.956,1.002,2266
"L_Rho_beta[1,3,2]",-0.026,0.291,-0.572,0.42,1.011,249
"L_Rho_beta[2,3,2]",-0.25,0.108,-0.426,-0.073,1.014,413
"L_Rho_beta[3,3,2]",-0.051,0.159,-0.294,0.222,1.009,665
"L_Rho_beta[1,4,2]",-0.324,0.358,-0.816,0.371,1.001,1638
"L_Rho_beta[2,4,2]",-0.691,0.197,-0.939,-0.319,1.001,4955
"L_Rho_beta[3,4,2]",0.059,0.409,-0.644,0.708,1,7608
"L_Rho_beta[1,3,3]",0.938,0.092,0.754,0.998,1.011,429
"L_Rho_beta[2,3,3]",0.938,0.027,0.888,0.972,1.003,726
"L_Rho_beta[3,3,3]",0.859,0.056,0.759,0.935,1.006,1261
"L_Rho_beta[1,4,3]",0.364,0.244,-0.041,0.761,1.002,1887
"L_Rho_beta[2,4,3]",0.274,0.193,-0.03,0.606,1.001,4092
"L_Rho_beta[3,4,3]",0.121,0.377,-0.537,0.726,1,7494
"L_Rho_beta[1,4,4]",0.649,0.219,0.23,0.941,1.001,3858
"L_Rho_beta[2,4,4]",0.503,0.203,0.155,0.824,1,5337
"L_Rho_beta[3,4,4]",0.634,0.23,0.21,0.949,1,6039
"L_Rho_epsilon[1,2,1]",-0.039,0.048,-0.117,0.039,1,5848
"L_Rho_epsilon[2,2,1]",-0.014,0.036,-0.074,0.046,1,6753
"L_Rho_epsilon[3,2,1]",-0.115,0.07,-0.229,0.001,1,7403
"L_Rho_epsilon[1,2,2]",0.998,0.002,0.993,1,1,6665
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1,7201
"L_Rho_epsilon[3,2,2]",0.991,0.009,0.973,1,1,7488
"z[1,1]",0.117,0.641,-0.93,1.19,1.001,8454
"z[2,1]",-0.018,0.637,-1.053,1.012,1,8484
"z[3,1]",-0.385,0.732,-1.572,0.837,1,8381
"z[4,1]",0.892,0.821,-0.525,2.194,1.001,3739
"z[5,1]",-0.456,0.647,-1.526,0.599,1,8366
"z[6,1]",-0.334,0.656,-1.402,0.741,1,8309
"z[7,1]",-0.904,0.742,-2.098,0.329,1,8550
"z[8,1]",-0.335,0.793,-1.618,0.977,1,7936
"z[9,1]",1.344,0.768,0.063,2.586,1,3226
"z[10,1]",-1.03,0.673,-2.122,0.09,1,5811
"z[11,1]",0.585,0.765,-0.663,1.822,1.002,2164
"z[12,1]",-0.673,0.705,-1.815,0.496,1,7534
"z[13,1]",0.905,0.721,-0.271,2.114,1,8861
"z[14,1]",-0.394,0.686,-1.53,0.732,1,9018
"z[15,1]",-0.143,0.691,-1.283,0.982,1.001,8227
"z[16,1]",0.493,0.69,-0.633,1.615,1,8872
"z[17,1]",1.728,0.818,0.355,3.068,1,7985
"z[18,1]",0.144,0.751,-1.098,1.391,1,7165
"z[19,1]",-0.148,0.852,-1.572,1.22,1.001,4113
"z[20,1]",0.705,0.727,-0.496,1.905,1,8487
"z[21,1]",0.106,0.789,-1.178,1.419,1,8445
"z[22,1]",-0.683,0.734,-1.884,0.55,1.001,7844
"z[23,1]",-0.012,0.736,-1.193,1.198,1,8001
"z[24,1]",-0.139,0.663,-1.22,0.957,1,7695
"z[25,1]",-0.887,0.678,-1.99,0.233,1,8357
"z[26,1]",-0.556,0.718,-1.724,0.585,1,8587
"z[27,1]",0.918,0.727,-0.283,2.085,1.001,5062
"z[28,1]",-0.289,0.688,-1.394,0.869,1.001,8202
"z[29,1]",0.901,0.799,-0.399,2.225,1,8484
"z[30,1]",1.092,0.741,-0.126,2.301,1,5539
"z[31,1]",-0.136,0.663,-1.219,0.955,1,6751
"z[32,1]",1.902,0.71,0.713,3.039,1,6941
"z[33,1]",-0.678,0.681,-1.798,0.442,1,8686
"z[34,1]",1.668,0.807,0.348,2.978,1,8615
"z[35,1]",-0.088,0.661,-1.175,0.975,1,7237
"z[36,1]",0.507,0.808,-0.802,1.85,1,7985
"z[37,1]",0.105,0.691,-1.049,1.238,1,5671
"z[38,1]",0.365,0.733,-0.837,1.581,1,7448
"z[39,1]",-0.406,0.683,-1.508,0.713,1,7374
"z[40,1]",0.155,0.68,-0.966,1.264,1,7367
"z[41,1]",-0.483,0.72,-1.636,0.722,1,8409
"z[42,1]",-0.731,0.658,-1.8,0.362,1,6801
"z[43,1]",-0.305,0.683,-1.424,0.826,1,8581
"z[44,1]",-0.236,0.73,-1.427,0.964,1,8524
"z[45,1]",-0.357,0.791,-1.657,0.936,1,8605
"z[46,1]",-0.169,0.658,-1.251,0.907,1,4731
"z[47,1]",1.463,0.713,0.283,2.626,1,7404
"z[48,1]",-0.348,0.729,-1.547,0.858,1,8203
"z[49,1]",0.012,0.652,-1.067,1.071,1,7471
"z[50,1]",-0.506,0.681,-1.628,0.61,1,7944
"z[51,1]",-0.666,0.676,-1.772,0.452,1,8769
"z[52,1]",-0.896,0.684,-2.018,0.226,1,8333
"z[53,1]",-0.873,0.638,-1.92,0.186,1,8183
"z[54,1]",-0.559,0.685,-1.668,0.555,1,8220
"z[55,1]",-0.909,0.678,-2.026,0.21,1,7665
"z[56,1]",-0.2,0.69,-1.326,0.937,1,7323
"z[57,1]",-0.412,0.693,-1.553,0.718,1,6773
"z[58,1]",-0.599,0.647,-1.679,0.457,1,8089
"z[59,1]",-0.373,0.639,-1.425,0.666,1,7949
"z[60,1]",-0.376,0.688,-1.49,0.758,1,6270
"z[61,1]",-0.061,0.643,-1.118,0.997,1,7860
"z[62,1]",0.984,0.703,-0.188,2.117,1,7678
"z[63,1]",-0.213,0.657,-1.3,0.867,1,8014
"z[64,1]",-0.15,0.66,-1.218,0.958,1,6010
"z[65,1]",-0.761,0.64,-1.792,0.288,1,8134
"z[66,1]",-0.705,0.659,-1.801,0.363,1,4538
"z[67,1]",-0.351,0.741,-1.581,0.852,1,8405
"z[68,1]",0.113,0.724,-1.072,1.286,1,8166
"z[69,1]",-1.007,0.692,-2.158,0.118,1,8555
"z[70,1]",0.15,0.724,-1.081,1.286,1.001,3842
"z[71,1]",0.095,0.647,-0.975,1.15,1.001,8026
"z[72,1]",1.67,0.724,0.466,2.829,1,8029
"z[73,1]",0.054,0.648,-1.003,1.121,1,7772
"z[74,1]",2.054,0.679,0.936,3.149,1.001,7130
"z[75,1]",0.671,0.684,-0.457,1.771,1.001,5700
"z[76,1]",-0.007,0.693,-1.14,1.12,1,6471
"z[77,1]",2.427,0.745,1.193,3.644,1,7192
"z[78,1]",-0.411,0.696,-1.56,0.746,1,6851
"z[79,1]",0.117,0.696,-1.02,1.262,1,7988
"z[80,1]",1.059,0.676,-0.049,2.149,1,8031
"z[81,1]",-0.496,0.674,-1.577,0.625,1,7566
"z[82,1]",-0.62,0.667,-1.691,0.479,1.001,3400
"z[83,1]",-0.57,0.715,-1.734,0.627,1,8885
"z[84,1]",-0.708,0.674,-1.833,0.396,1,6501
"z[85,1]",0.524,0.65,-0.534,1.584,1.001,7837
"z[86,1]",0.538,0.677,-0.583,1.645,1,8192
"z[87,1]",-0.191,0.673,-1.331,0.917,1,8576
"z[88,1]",0.987,0.657,-0.094,2.046,1,7320
"z[89,1]",-0.718,0.685,-1.836,0.401,1,8290
"z[90,1]",0.773,0.73,-0.41,1.974,1,7768
"z[91,1]",-0.038,0.785,-1.347,1.26,1,8288
"z[92,1]",-0.205,0.689,-1.315,0.947,1.001,5610
"z[93,1]",-0.15,0.656,-1.212,0.925,1,8574
"z[94,1]",0.367,0.747,-0.839,1.595,1.001,7607
"z[95,1]",-0.696,0.713,-1.852,0.487,1,5444
"z[96,1]",0.448,0.722,-0.726,1.632,1,7755
"z[97,1]",-0.122,0.741,-1.339,1.101,1,7976
"z[98,1]",0.123,0.706,-1.009,1.288,1.001,4352
"z[99,1]",0.891,0.654,-0.182,1.984,1.001,8141
"z[100,1]",1.55,0.66,0.444,2.627,1,7071
"z[101,1]",-0.429,0.695,-1.587,0.717,1,6832
"z[102,1]",-0.515,0.651,-1.607,0.535,1,7550
"z[103,1]",-0.662,0.638,-1.702,0.386,1.001,8512
"z[104,1]",-0.432,0.679,-1.519,0.689,1.001,8455
"z[105,1]",0.481,0.67,-0.618,1.577,1,8190
"z[106,1]",-0.152,0.637,-1.195,0.915,1,7910
"z[107,1]",-0.387,0.666,-1.461,0.723,1,6788
"z[108,1]",0.868,0.693,-0.272,2.019,1,8164
"z[109,1]",-0.222,0.684,-1.329,0.898,1,8039
"z[110,1]",0.076,0.749,-1.146,1.315,1.001,7642
"z[111,1]",-0.291,0.68,-1.396,0.817,1,8978
"z[112,1]",-0.62,0.708,-1.777,0.533,1.001,4921
"z[113,1]",0.494,0.794,-0.816,1.803,1,8647
"z[114,1]",0.202,0.731,-0.999,1.421,1,8348
"z[115,1]",0.511,0.74,-0.679,1.753,1,7758
"z[116,1]",1.138,0.741,-0.082,2.349,1,9011
"z[117,1]",-0.444,0.733,-1.652,0.768,1,8365
"z[118,1]",-0.263,0.786,-1.536,1.035,1,8679
"z[119,1]",0.211,0.656,-0.886,1.28,1,8273
"z[120,1]",0.155,0.655,-0.898,1.233,1,7165
"z[121,1]",-0.715,0.649,-1.781,0.364,1,7772
"z[122,1]",-0.2,0.738,-1.409,1.011,1,8793
"z[123,1]",-0.588,0.74,-1.773,0.638,1,8101
"z[124,1]",-0.538,0.724,-1.701,0.667,1,8535
"z[125,1]",-0.867,0.792,-2.17,0.434,1,8667
"z[126,1]",-0.476,0.669,-1.575,0.627,1,5802
"z[127,1]",-0.252,0.733,-1.452,0.942,1,8443
"z[128,1]",1.599,0.753,0.336,2.817,1,8426
"z[129,1]",1.138,0.795,-0.178,2.44,1,8679
"z[130,1]",-0.622,0.661,-1.694,0.482,1,7780
"z[131,1]",-0.6,0.659,-1.693,0.493,1,6145
"z[132,1]",-0.616,0.648,-1.672,0.47,1,7738
"z[133,1]",0.365,0.673,-0.735,1.465,1,8463
"z[134,1]",0.24,0.686,-0.877,1.375,1,8535
"z[135,1]",-0.653,0.719,-1.841,0.54,1,8446
"z[136,1]",0.576,0.718,-0.6,1.752,1,8932
"z[137,1]",-0.793,0.72,-1.974,0.393,1,8939
"z[138,1]",-0.648,0.684,-1.764,0.476,1,8168
"z[139,1]",-0.492,0.677,-1.609,0.609,1,8438
"z[140,1]",0.28,0.732,-0.919,1.489,1,8267
"z[141,1]",0.415,0.741,-0.775,1.647,1,5996
"z[142,1]",-0.413,0.718,-1.594,0.759,1.001,5306
"z[143,1]",-0.045,0.799,-1.375,1.271,1,7182
"z[144,1]",0.406,0.736,-0.805,1.607,1.001,8276
"z[145,1]",0.277,0.77,-0.966,1.551,1,5190
"z[146,1]",-0.835,0.727,-2.037,0.364,1,8709
"z[147,1]",-0.783,0.803,-2.124,0.534,1,7519
"z[148,1]",-0.398,0.686,-1.552,0.718,1.001,5339
"z[149,1]",-0.959,0.753,-2.187,0.287,1.001,3911
"z[150,1]",-0.296,0.68,-1.415,0.832,1,7816
"z[151,1]",-0.621,0.665,-1.732,0.448,1,7357
"z[152,1]",0.343,0.707,-0.808,1.506,1,5474
"z[153,1]",-0.188,0.69,-1.329,0.952,1,8564
"z[154,1]",0.673,0.655,-0.407,1.745,1.001,7201
"z[155,1]",0.099,0.647,-0.972,1.176,1.001,7211
"z[156,1]",-0.681,0.682,-1.807,0.421,1.001,8359
"z[157,1]",0.256,0.75,-0.986,1.463,1.001,5582
"z[158,1]",0.181,0.719,-0.984,1.347,1,7807
"z[159,1]",0.03,0.708,-1.119,1.178,1.001,8621
"z[160,1]",0.235,0.679,-0.9,1.34,1,8703
"z[161,1]",0.169,0.821,-1.181,1.524,1,7402
"z[162,1]",-0.168,0.69,-1.298,0.997,1,7343
"z[163,1]",-0.127,0.678,-1.253,0.965,1.001,3266
"z[164,1]",-0.229,0.715,-1.426,0.946,1,8464
"z[165,1]",0.148,0.696,-0.995,1.307,1,7841
"z[166,1]",-0.78,0.713,-1.942,0.398,1,2904
"z[167,1]",-0.274,0.793,-1.583,1.042,1,8981
"z[168,1]",1.019,0.74,-0.219,2.222,1,8305
"z[169,1]",0.285,0.777,-0.984,1.555,1,8337
"z[170,1]",1.353,0.741,0.126,2.558,1,6579
"z[171,1]",-0.612,0.708,-1.757,0.573,1.001,7571
"z[172,1]",-0.335,0.784,-1.623,0.957,1,2508
"z[173,1]",-0.348,0.741,-1.561,0.871,1,7569
"z[174,1]",0.339,0.786,-0.942,1.66,1,8416
"z[175,1]",-0.606,0.689,-1.741,0.534,1,7836
"z[176,1]",-0.365,0.73,-1.55,0.859,1,7770
"z[177,1]",-0.787,0.657,-1.863,0.283,1,7457
"z[178,1]",1.728,0.72,0.522,2.888,1,7597
"z[179,1]",0.721,0.69,-0.433,1.822,1.001,7370
"z[180,1]",-0.316,0.802,-1.639,0.989,1,8530
"z[181,1]",-0.721,0.747,-1.93,0.506,1.001,6484
"z[182,1]",1.858,0.959,0.246,3.382,1.002,1257
"z[183,1]",1.416,0.685,0.288,2.552,1.001,8614
"z[184,1]",0.182,0.737,-1.03,1.42,1.001,3198
"z[185,1]",0.238,0.715,-0.92,1.436,1,8415
"z[186,1]",0.548,0.659,-0.523,1.631,1.001,7793
"z[187,1]",-0.439,0.645,-1.479,0.639,1.001,7914
"z[188,1]",0.065,0.687,-1.058,1.206,1,8049
"z[189,1]",0.146,0.672,-0.949,1.253,1.001,8612
"z[190,1]",-0.941,0.729,-2.119,0.272,1,7573
"z[191,1]",0.335,0.888,-1.12,1.781,1,8539
"z[192,1]",0.182,0.789,-1.127,1.488,1,8549
"z[193,1]",-0.231,0.777,-1.491,1.057,1,8603
"z[194,1]",-0.532,0.73,-1.755,0.671,1,7783
"z[195,1]",-0.953,0.7,-2.078,0.205,1,8255
"z[196,1]",-0.221,0.675,-1.314,0.893,1,8251
"z[197,1]",-1.083,0.69,-2.201,0.046,1.001,5584
"z[198,1]",0.266,0.488,-0.533,1.071,1.001,5328
"z[199,1]",-0.938,0.482,-1.746,-0.168,1,7158
"z[200,1]",0.211,0.534,-0.652,1.092,1,7137
"z[201,1]",0.487,0.761,-0.791,1.703,1.001,2112
"z[202,1]",-0.306,0.481,-1.092,0.488,1,7671
"z[203,1]",-0.983,0.467,-1.751,-0.226,1,7381
"z[204,1]",-0.56,0.474,-1.336,0.206,1,8838
"z[205,1]",0.145,0.497,-0.674,0.953,1,8146
"z[206,1]",-1.014,0.519,-1.857,-0.162,1.001,7374
"z[207,1]",-1.043,0.476,-1.83,-0.253,1,7838
"z[208,1]",0.489,0.479,-0.287,1.294,1,7663
"z[209,1]",0.468,0.476,-0.306,1.265,1,7689
"z[210,1]",-0.133,0.487,-0.919,0.684,1.001,7032
"z[211,1]",-0.678,0.523,-1.518,0.186,1.001,7620
"z[212,1]",0.112,0.518,-0.73,0.983,1,7669
"z[213,1]",-0.563,0.496,-1.373,0.226,1,8255
"z[214,1]",-0.046,0.556,-0.956,0.86,1,7446
"z[215,1]",-0.483,0.504,-1.312,0.35,1,7938
"z[216,1]",0.508,0.458,-0.235,1.278,1,7774
"z[217,1]",-0.558,0.472,-1.327,0.207,1.001,6608
"z[218,1]",-0.488,0.481,-1.289,0.299,1,7383
"z[219,1]",-0.979,0.477,-1.76,-0.193,1,7662
"z[220,1]",0.861,0.503,0.042,1.685,1,6780
"z[221,1]",1.362,0.556,0.454,2.284,1,7595
"z[222,1]",0.076,0.471,-0.689,0.86,1,7983
"z[223,1]",-0.951,0.469,-1.719,-0.165,1,8031
"z[224,1]",-0.518,0.497,-1.324,0.293,1,8044
"z[225,1]",-0.867,0.467,-1.632,-0.106,1,7856
"z[226,1]",0.222,0.466,-0.543,0.996,1,7923
"z[227,1]",0.251,0.5,-0.567,1.068,1,4659
"z[228,1]",-0.035,0.48,-0.824,0.755,1,6631
"z[229,1]",0.786,0.466,0.021,1.56,1.001,7855
"z[230,1]",0.836,0.483,0.049,1.634,1,7668
"z[231,1]",0.341,0.488,-0.466,1.133,1,7395
"z[232,1]",-0.003,0.473,-0.783,0.792,1,7712
"z[233,1]",0.022,0.487,-0.794,0.812,1,5719
"z[234,1]",-0.226,0.469,-0.984,0.551,1,7486
"z[235,1]",0.136,0.481,-0.676,0.916,1.001,5547
"z[236,1]",-0.207,0.496,-1.027,0.604,1,8218
"z[237,1]",-0.761,0.475,-1.55,0.014,1.001,5603
"z[238,1]",1.846,0.501,1.033,2.645,1,7003
"z[239,1]",-0.631,0.481,-1.419,0.161,1,7438
"z[240,1]",-0.171,0.476,-0.955,0.626,1,8142
"z[241,1]",0.28,0.474,-0.498,1.079,1,8067
"z[242,1]",-0.524,0.57,-1.45,0.415,1,7637
"z[243,1]",0.147,0.499,-0.668,0.953,1.001,7841
"z[244,1]",-0.568,0.482,-1.349,0.223,1,7724
"z[245,1]",-1.423,0.55,-2.323,-0.508,1,8490
"z[246,1]",-0.752,0.485,-1.546,0.043,1,8552
"z[247,1]",-1.017,0.503,-1.838,-0.172,1,8047
"z[248,1]",0.266,0.512,-0.56,1.105,1.002,4798
"z[249,1]",-1.062,0.474,-1.836,-0.286,1,8081
"z[250,1]",-0.252,0.498,-1.057,0.575,1,8316
"z[251,1]",-0.189,0.501,-1,0.637,1.001,7253
"z[252,1]",-0.047,0.525,-0.89,0.823,1,6324
"z[253,1]",1.032,0.528,0.162,1.891,1,7905
"z[254,1]",0.378,0.479,-0.41,1.174,1,8153
"z[255,1]",1.944,0.553,1.026,2.823,1.001,5980
"z[256,1]",-0.34,0.525,-1.214,0.502,1.001,8005
"z[257,1]",1.268,0.465,0.503,2.042,1,8039
"z[258,1]",-0.4,0.503,-1.229,0.426,1,8282
"z[259,1]",0.183,0.503,-0.641,1.008,1,8108
"z[260,1]",-0.961,0.475,-1.754,-0.19,1.001,8422
"z[261,1]",-0.84,0.503,-1.674,-0.011,1,6818
"z[262,1]",-0.519,0.471,-1.299,0.249,1,8112
"z[263,1]",-0.388,0.52,-1.268,0.46,1,7782
"z[264,1]",0.039,0.466,-0.733,0.806,1,8190
"z[265,1]",-0.104,0.561,-1.024,0.823,1,8244
"z[266,1]",-0.653,0.478,-1.435,0.13,1,8302
"z[267,1]",-1.224,0.468,-2.001,-0.454,1,8204
"z[268,1]",1.301,0.647,0.241,2.372,1,8082
"z[269,1]",-0.118,0.516,-0.962,0.746,1,7860
"z[270,1]",0.767,0.49,-0.03,1.573,1.001,7480
"z[271,1]",0.045,0.553,-0.854,0.961,1,8772
"z[272,1]",-0.479,0.512,-1.326,0.355,1,6787
"z[273,1]",0.657,0.585,-0.333,1.598,1,4337
"z[274,1]",1.455,0.48,0.662,2.244,1,8136
"z[275,1]",1.09,0.548,0.2,1.988,1,8618
"z[276,1]",-0.844,0.465,-1.602,-0.077,1,8149
"z[277,1]",2.407,0.495,1.593,3.237,1,7436
"z[278,1]",0.022,0.495,-0.79,0.836,1,5284
"z[279,1]",-0.066,0.516,-0.919,0.762,1,6787
"z[280,1]",3.883,0.559,2.945,4.775,1,6321
"z[281,1]",0.008,0.482,-0.776,0.802,1,7279
"z[282,1]",-0.325,0.497,-1.144,0.501,1,8897
"z[283,1]",0.374,0.463,-0.385,1.131,1,6776
"z[284,1]",-0.154,0.486,-0.956,0.648,1,7014
"z[285,1]",0.526,0.471,-0.249,1.299,1.001,4873
"z[286,1]",0.585,0.464,-0.177,1.362,1,7895
"z[287,1]",1.932,0.537,1.048,2.815,1,8167
"z[288,1]",0.785,0.476,0.005,1.566,1,8128
"z[289,1]",1.77,0.472,1.003,2.557,1,7520
"z[290,1]",-0.488,0.52,-1.334,0.363,1,6640
"z[291,1]",0.356,0.672,-0.732,1.478,1,7299
"z[292,1]",0.487,0.496,-0.316,1.293,1,5734
"z[293,1]",1.938,0.485,1.152,2.73,1,7557
"z[294,1]",-0.258,0.496,-1.08,0.559,1,7856
"z[295,1]",-1.232,0.532,-2.117,-0.372,1.001,6291
"z[296,1]",0.985,0.516,0.131,1.838,1,7809
"z[297,1]",1.033,0.497,0.2,1.86,1.001,7129
"z[298,1]",-0.819,0.502,-1.66,0.009,1.001,5632
"z[299,1]",0.29,0.485,-0.495,1.091,1.001,5466
"z[300,1]",1.398,0.501,0.566,2.221,1,8136
"z[301,1]",0.498,0.566,-0.433,1.409,1,8492
"z[302,1]",1.661,0.575,0.722,2.607,1,8709
"z[303,1]",-0.914,0.47,-1.691,-0.146,1,7335
"z[304,1]",1.349,0.519,0.504,2.225,1,7636
"z[305,1]",-0.757,0.463,-1.506,0.009,1.001,7863
"z[306,1]",0.623,0.526,-0.247,1.466,1,7573
"z[307,1]",0.995,0.496,0.18,1.808,1,8465
"z[308,1]",0.481,0.478,-0.315,1.272,1,7838
"z[309,1]",0.422,0.471,-0.369,1.188,1,6440
"z[310,1]",-1.178,0.499,-1.983,-0.349,1,7104
"z[311,1]",-0.035,0.468,-0.803,0.735,1.001,8071
"z[312,1]",-1.056,0.468,-1.824,-0.288,1,8348
"z[313,1]",-1.065,0.521,-1.938,-0.229,1,8205
"z[314,1]",-1.361,0.493,-2.173,-0.552,1,7696
"z[315,1]",0.921,0.493,0.102,1.73,1.001,6000
"z[316,1]",0.335,0.498,-0.466,1.156,1,7514
"z[317,1]",-0.831,0.481,-1.631,-0.055,1,8213
"z[318,1]",1.123,0.503,0.303,1.958,1,8234
"z[319,1]",-0.611,0.502,-1.444,0.206,1,8195
"z[320,1]",-0.876,0.491,-1.693,-0.069,1,8712
"z[321,1]",-0.239,0.501,-1.081,0.567,1,5982
"z[322,1]",0.462,0.575,-0.49,1.394,1,6451
"z[323,1]",0.963,0.469,0.199,1.738,1,8091
"z[324,1]",-0.913,0.499,-1.721,-0.084,1,7910
"z[325,1]",-0.434,0.471,-1.213,0.338,1,7739
"z[326,1]",0.887,0.513,0.03,1.723,1,8371
"z[327,1]",-0.659,0.496,-1.485,0.158,1,8199
"z[328,1]",-0.636,0.471,-1.411,0.136,1,6886
"z[329,1]",0.743,0.491,-0.069,1.552,1,6508
"z[330,1]",0.342,0.498,-0.482,1.165,1,7044
"z[331,1]",-0.538,0.465,-1.31,0.207,1,7581
"z[332,1]",0.784,0.479,-0.008,1.567,1,8147
"z[333,1]",0.729,0.477,-0.056,1.531,1.001,6793
"z[334,1]",-0.249,0.495,-1.067,0.57,1,8555
"z[335,1]",-0.073,0.47,-0.846,0.705,1.001,7942
"z[336,1]",-0.847,0.498,-1.667,-0.032,1,8676
"z[337,1]",-0.629,0.473,-1.409,0.147,1,7350
"z[338,1]",-0.459,0.471,-1.239,0.307,1,6337
"z[339,1]",0.692,0.475,-0.085,1.479,1,6429
"z[340,1]",0.889,0.493,0.095,1.717,1,7693
"z[341,1]",0.711,0.516,-0.124,1.57,1.001,5469
"z[342,1]",0.997,0.467,0.241,1.778,1,7082
"z[343,1]",-0.666,0.48,-1.459,0.128,1,7451
"z[344,1]",0.702,0.496,-0.109,1.508,1,7599
"z[345,1]",0.567,0.506,-0.26,1.403,1,8067
"z[346,1]",0.568,0.47,-0.191,1.351,1,7321
"z[347,1]",0.429,0.565,-0.5,1.363,1,8369
"z[348,1]",-0.325,0.459,-1.086,0.428,1,7569
"z[349,1]",0.608,0.488,-0.204,1.414,1.001,7907
"z[350,1]",-0.464,0.505,-1.291,0.36,1,7742
"z[351,1]",-0.671,0.524,-1.536,0.192,1,7446
"z[352,1]",-0.935,0.489,-1.746,-0.125,1,5366
"z[353,1]",1.045,0.467,0.289,1.808,1.001,7602
"z[354,1]",0.103,0.473,-0.665,0.905,1,8185
"z[355,1]",-0.689,0.504,-1.51,0.145,1,7511
"z[356,1]",1.123,0.487,0.325,1.925,1,7658
"z[357,1]",0.317,0.498,-0.495,1.121,1.001,8214
"z[358,1]",0.404,0.662,-0.681,1.481,1,8932
"z[359,1]",-0.82,0.499,-1.643,0.009,1,7873
"z[360,1]",-0.348,0.5,-1.163,0.473,1,8664
"z[361,1]",0.009,0.478,-0.757,0.814,1,6353
"z[362,1]",0.712,0.556,-0.213,1.616,1,8810
